Record Length	2500	Points	0	4,72		Record Length	2500	Points	0	0,004		Record Length	2500	Points	0	4,08		Record Length	2500	Points	0	38	
Sample Interval	0,002	s	0,002	4,72		Sample Interval	0,002	s	0,002	0,008		Sample Interval	0,002	s	0,002	4,08		Sample Interval	0,002	s	0,002	38	
Trigger Point	0,000000	Samples	0,004	4,72		Trigger Point	0,000000	Samples	0,004	0,004		Trigger Point	0,000000	Samples	0,004	4,08		Trigger Point	0,000000	Samples	0,004	38	
			0,006	4,72					0,006	0,008					0,006	4,08					0,006	38	
			0,008	4,72					0,008	0,008					0,008	4,08					0,008	40	
			0,01	4,72					0,01	0,004					0,01	4,08					0,01	40	
Source	CH1		0,012	4,72		Source	CH2		0,012	0,004		Source	CH3		0,012	4,08		Source	CH4		0,012	40	
Vertical Units	Volts		0,014	4,72		Vertical Units	Volts		0,014	0,004		Vertical Units	Volts		0,014	4,08		Vertical Units	Volts		0,014	40	
Vertical Scale	2.0000000		0,016	4,72		Vertical Scale	100.0000047E-3		0,016	0,008		Vertical Scale	2.0000000		0,016	4,08		Vertical Scale	50.00000000		0,016	40	
Vertical Offset	0		0,018	4,72		Vertical Offset	0		0,018	0,016		Vertical Offset	0		0,018	4,08		Vertical Offset	0		0,018	40	
Horizontal Units	s		0,02	4,72		Horizontal Units	s		0,02	0,028		Horizontal Units	s		0,02	4,08		Horizontal Units	s		0,02	40	
Horizontal Scale	500.000023749E-3		0,022	4,72		Horizontal Scale	500.000023749E-3		0,022	0,016		Horizontal Scale	500.000023749E-3		0,022	4,16		Horizontal Scale	500.000023749E-3		0,022	40	
Pt Fmt	Y		0,024	4,72		Pt Fmt	Y		0,024	0,016		Pt Fmt	Y		0,024	4,16		Pt Fmt	Y		0,024	40	
Yzero	-40.00000000E-3		0,026	4,72		Yzero	-3.20000000		0,026	0,016		Yzero	0.0		0,026	4,16		Yzero	880.000000000E-3		0,026	40	
Probe Atten	10,000000		0,028	4,72		Probe Atten	10,000000		0,028	0,012		Probe Atten	10,000000		0,028	4,16		Probe Atten	10,000000		0,028	40	
			0,03	4,72					0,03	0,024					0,03	4,16					0,03	42	
