Record Length	2500	Points	0	4,72		Record Length	2500	Points	0	0,008		Record Length	2500	Points	0	-10,24		Record Length	2500	Points	0	-300	
Sample Interval	0,002	s	0,002	4,72		Sample Interval	0,002	s	0,002	0,012		Sample Interval	0,002	s	0,002	4,56		Sample Interval	0,002	s	0,002	46	
Trigger Point	0,000000	Samples	0,004	4,72		Trigger Point	0,000000	Samples	0,004	0		Trigger Point	0,000000	Samples	0,004	4,64		Trigger Point	0,000000	Samples	0,004	46	
			0,006	4,72					0,006	0					0,006	4,64					0,006	46	
			0,008	4,72					0,008	0,008					0,008	4,64					0,008	46	
			0,01	4,72					0,01	0,012					0,01	4,64					0,01	46	
Source	CH1		0,012	4,72		Source	CH2		0,012	0,004		Source	CH3		0,012	4,72		Source	CH4		0,012	46	
Vertical Units	Volts		0,014	4,72		Vertical Units	Volts		0,014	0,008		Vertical Units	Volts		0,014	4,64		Vertical Units	Volts		0,014	46	
Vertical Scale	2.0000000		0,016	4,72		Vertical Scale	100.0000047E-3		0,016	0,016		Vertical Scale	2.0000000		0,016	4,64		Vertical Scale	50.00000000		0,016	46	
Vertical Offset	0		0,018	4,72		Vertical Offset	0		0,018	0,02		Vertical Offset	0		0,018	4,64		Vertical Offset	0		0,018	46	
Horizontal Units	s		0,02	4,72		Horizontal Units	s		0,02	0,008		Horizontal Units	s		0,02	4,64		Horizontal Units	s		0,02	48	
Horizontal Scale	500.000023749E-3		0,022	4,72		Horizontal Scale	500.000023749E-3		0,022	0,012		Horizontal Scale	500.000023749E-3		0,022	4,64		Horizontal Scale	500.000023749E-3		0,022	46	
Pt Fmt	Y		0,024	4,72		Pt Fmt	Y		0,024	0,008		Pt Fmt	Y		0,024	4,64		Pt Fmt	Y		0,024	48	
Yzero	-40.00000000E-3		0,026	4,72		Yzero	-3.20000000		0,026	0,004		Yzero	0.0		0,026	4,64		Yzero	880.000000000E-3		0,026	48	
Probe Atten	10,000000		0,028	4,72		Probe Atten	10,000000		0,028	0,016		Probe Atten	10,000000		0,028	4,64		Probe Atten	10,000000		0,028	48	
			0,03	4,72					0,03	0,016					0,03	4,64					0,03	48	
Note	TBS 1104 - 12:01:53 PM   8/14/2018		0,032	4,72		Note	TBS 1104 - 12:01:53 PM   8/14/2018		0,032	0,012		Note	TBS 1104 - 12:01:53 PM   8/14/2018		0,032	4,64		Note	TBS 1104 - 12:01:53 PM   8/14/2018		0,032	48	
			0,034	4,72					0,034	0,012					0,034	4,64					0,034	48	
			0,036	4,72					0,036	0,024					0,036	4,64					0,036	48	
			0,038	4,72					0,038	0,02					0,038	4,64					0,038	48	
			0,04	4,72					0,04	0,02					0,04	4,64					0,04	48	
			0,042	4,72					0,042	0,028					0,042	4,64					0,042	50	
			0,044	4,72					0,044	0,032					0,044	4,64					0,044	50	
