Record Length,2500,Points,0.0,-5.07999992,,Record Length,2500,Points,0.0,-136.0000074E-3,,Record Length,2500,Points,0.0,-1.2200000,,Record Length,2500,Points,0.0,-120.0000000,
Sample Interval,4.00000019E-3,s,4.00000019E-3,-5.07999992,,Sample Interval,4.00000019E-3,s,4.00000019E-3,-136.0000074E-3,,Sample Interval,4.00000019E-3,s,4.00000019E-3,-1.2200000,,Sample Interval,4.00000019E-3,s,4.00000019E-3,-120.0000000,
Trigger Point,0.0,Samples,8.000000380E-3,-5.07999992,,Trigger Point,0.0,Samples,8.000000380E-3,-136.0000074E-3,,Trigger Point,0.0,Samples,8.000000380E-3,-1.2200000,,Trigger Point,0.0,Samples,8.000000380E-3,-120.0000000,
,,,12.0000001E-3,-5.07999992,,,,,12.0000001E-3,-136.0000074E-3,,,,,12.0000001E-3,-1.2200000,,,,,12.0000001E-3,-120.0000000,
,,,16.0000008E-3,-5.07999992,,,,,16.0000008E-3,-136.0000074E-3,,,,,16.0000008E-3,-1.2200000,,,,,16.0000008E-3,-120.0000000,
,,,20.0000014E-3,-5.07999992,,,,,20.0000014E-3,-136.0000074E-3,,,,,20.0000014E-3,-1.2200000,,,,,20.0000014E-3,-120.0000000,
Source,CH1,,24.00000021E-3,-5.07999992,,Source,CH2,,24.00000021E-3,-136.0000074E-3,,Source,CH3,,24.00000021E-3,-1.2200000,,Source,CH4,,24.00000021E-3,-120.0000000,
Vertical Units,Volts,,28.00000086E-3,-5.07999992,,Vertical Units,Volts,,28.00000086E-3,-136.0000074E-3,,Vertical Units,Volts,,28.00000086E-3,-1.2200000,,Vertical Units,Volts,,28.00000086E-3,-120.0000000,
Vertical Scale,999.999977648E-3,,32.00000152E-3,-5.07999992,,Vertical Scale,100.0000047E-3,,32.00000152E-3,-136.0000074E-3,,Vertical Scale,499.999988824E-3,,32.00000152E-3,-1.2200000,,Vertical Scale,20.0000003,,32.00000152E-3,-120.0000000,
Vertical Offset,0,,36.00000218E-3,-5.07999992,,Vertical Offset,0,,36.00000218E-3,-136.0000074E-3,,Vertical Offset,0,,36.00000218E-3,-1.2200000,,Vertical Offset,0,,36.00000218E-3,-120.0000000,
Horizontal Units,s,,40.00000283E-3,-5.07999992,,Horizontal Units,s,,40.00000283E-3,-136.0000074E-3,,Horizontal Units,s,,40.00000283E-3,-1.2200000,,Horizontal Units,s,,40.00000283E-3,-120.0000000,
Horizontal Scale,1.0000000,,44.00000349E-3,-5.07999992,,Horizontal Scale,1.0000000,,44.00000349E-3,-136.0000074E-3,,Horizontal Scale,1.0000000,,44.00000349E-3,-1.2200000,,Horizontal Scale,1.0000000,,44.00000349E-3,-120.0000000,
Pt Fmt,Y,,48.00000042E-3,-5.07999992,,Pt Fmt,Y,,48.00000042E-3,-136.0000074E-3,,Pt Fmt,Y,,48.00000042E-3,-1.2200000,,Pt Fmt,Y,,48.00000042E-3,-120.0000000,
Yzero,-40.00000000E-3,,52.00000107E-3,-5.07999992,,Yzero,-3.76000000,,52.00000107E-3,-136.0000074E-3,,Yzero,-2.6800000,,52.00000107E-3,-1.2200000,,Yzero,880.000000000E-3,,52.00000107E-3,-120.0000000,
Probe Atten,10.0000000,,56.000001729E-3,-5.07999992,,Probe Atten,10.0000000,,56.000001729E-3,-136.0000074E-3,,Probe Atten,10.0000000,,56.000001729E-3,-1.2200000,,Probe Atten,10.0000000,,56.000001729E-3,-120.0000000,
,,,60.000002384E-3,-5.07999992,,,,,60.000002384E-3,-136.0000074E-3,,,,,60.000002384E-3,-1.2200000,,,,,60.000002384E-3,-120.0000000,
Note,TBS 1104 - 2:07:23 PM   8/14/2018,,64.000003040E-3,-5.07999992,,Note,TBS 1104 - 2:07:23 PM   8/14/2018,,64.000003040E-3,-136.0000074E-3,,Note,TBS 1104 - 2:07:23 PM   8/14/2018,,64.000003040E-3,-1.2200000,,Note,TBS 1104 - 2:07:23 PM   8/14/2018,,64.000003040E-3,-120.0000000,
