    nm         	nm
4.990260e+001	-1.375182e+000
4.980494e+001	-1.247258e+000
4.970728e+001	-1.268578e+000
4.960962e+001	-1.428483e+000
4.951197e+001	-1.535086e+000
4.941431e+001	-1.556407e+000
4.931665e+001	-1.674559e+000
4.921900e+001	-1.744739e+000
4.912134e+001	-1.822915e+000
4.902368e+001	-1.895761e+000
4.892603e+001	-1.975713e+000
4.882837e+001	-2.053889e+000
4.873071e+001	-2.129399e+000
4.863305e+001	-2.202245e+000
4.853540e+001	-2.270649e+000
4.843774e+001	-2.345271e+000
4.834008e+001	-2.412786e+000
4.824243e+001	-2.482967e+000
4.814477e+001	-2.563808e+000
4.804711e+001	-2.641983e+000
4.794946e+001	-2.727266e+000
4.785180e+001	-2.823209e+000
4.775414e+001	-2.911156e+000
4.765648e+001	-3.012429e+000
4.755883e+001	-3.111037e+000
4.746117e+001	-3.207869e+000
4.736351e+001	-3.310030e+000
4.726586e+001	-3.381987e+000
4.716820e+001	-3.485037e+000
4.707054e+001	-3.579203e+000
4.697289e+001	-3.661821e+000
4.687523e+001	-3.760429e+000
4.677757e+001	-3.850153e+000
4.667992e+001	-3.948761e+000
4.658226e+001	-4.049146e+000
4.648460e+001	-4.129987e+000
4.638694e+001	-4.220599e+000
4.628929e+001	-4.304994e+000
4.619163e+001	-4.386723e+000
4.609397e+001	-4.492438e+000
4.599632e+001	-4.567060e+000
4.589866e+001	-4.670110e+000
4.580100e+001	-4.763387e+000
4.570335e+001	-4.860219e+000
4.560569e+001	-4.968598e+000
4.550803e+001	-5.052105e+000
4.541037e+001	-5.150712e+000
4.531272e+001	-5.243990e+000
4.521506e+001	-5.337268e+000
4.511740e+001	-5.446537e+000
4.501975e+001	-5.536261e+000
4.492209e+001	-5.636645e+000
4.482443e+001	-5.738807e+000
4.472678e+001	-5.832085e+000
4.462912e+001	-5.942241e+000
4.453146e+001	-6.023082e+000
4.443380e+001	-6.107476e+000
4.433615e+001	-6.199866e+000
4.423849e+001	-6.280707e+000
4.414083e+001	-6.375761e+000
4.404318e+001	-6.461932e+000
4.394552e+001	-6.559652e+000
4.384786e+001	-6.665366e+000
4.375021e+001	-6.761310e+000
4.365255e+001	-6.875908e+000
4.355489e+001	-6.963856e+000
4.345723e+001	-7.071347e+000
4.335958e+001	-7.175285e+000
4.326192e+001	-7.269452e+000
4.316426e+001	-7.380497e+000
4.306661e+001	-7.471109e+000
4.296895e+001	-7.574159e+000
4.287129e+001	-7.673655e+000
4.277364e+001	-7.761603e+000
4.267598e+001	-7.873536e+000
4.257832e+001	-7.956154e+000
4.248066e+001	-8.042325e+000
4.238301e+001	-8.149817e+000
4.228535e+001	-8.222662e+000
4.218769e+001	-8.322158e+000
4.209004e+001	-8.412771e+000
4.199238e+001	-8.509602e+000
4.189472e+001	-8.622424e+000
4.179707e+001	-8.705930e+000
4.169941e+001	-8.808091e+000
4.160175e+001	-8.905811e+000
4.150409e+001	-8.994647e+000
4.140644e+001	-9.094143e+000
4.130878e+001	-9.178538e+000
4.121112e+001	-9.268262e+000
4.111347e+001	-9.362428e+000
4.101581e+001	-9.448599e+000
4.091815e+001	-9.548096e+000
4.082050e+001	-9.636043e+000
4.072284e+001	-9.735539e+000
4.062518e+001	-9.839478e+000
4.052752e+001	-9.936309e+000
4.042987e+001	-1.003936e+001
4.033221e+001	-1.011931e+001
4.023455e+001	-1.021703e+001
4.013690e+001	-1.031297e+001
4.003924e+001	-1.040980e+001
3.994158e+001	-1.051285e+001
3.984393e+001	-1.060436e+001
3.974627e+001	-1.070474e+001
3.964861e+001	-1.080601e+001
3.955095e+001	-1.089307e+001
3.945330e+001	-1.099346e+001
3.935564e+001	-1.107874e+001
3.925798e+001	-1.116935e+001
3.916033e+001	-1.128040e+001
3.906267e+001	-1.137545e+001
3.896501e+001	-1.147850e+001
3.886736e+001	-1.157267e+001
3.876970e+001	-1.167749e+001
3.867204e+001	-1.179298e+001
3.857438e+001	-1.188537e+001
3.847673e+001	-1.198576e+001
3.837907e+001	-1.207903e+001
3.828141e+001	-1.216609e+001
3.818376e+001	-1.226470e+001
3.808610e+001	-1.235709e+001
3.798844e+001	-1.245037e+001
3.789079e+001	-1.254365e+001
3.779313e+001	-1.263692e+001
3.769547e+001	-1.273909e+001
3.759781e+001	-1.282970e+001
3.750016e+001	-1.291942e+001
3.740250e+001	-1.301625e+001
3.730484e+001	-1.310598e+001
3.720719e+001	-1.320814e+001
3.710953e+001	-1.330408e+001
3.701187e+001	-1.340180e+001
3.691422e+001	-1.349686e+001
3.681656e+001	-1.359724e+001
3.671890e+001	-1.370562e+001
3.662124e+001	-1.380956e+001
3.652359e+001	-1.390817e+001
3.642593e+001	-1.400855e+001
3.632827e+001	-1.410894e+001
3.623062e+001	-1.421021e+001
3.613296e+001	-1.430704e+001
3.603530e+001	-1.440032e+001
3.593765e+001	-1.450248e+001
3.583999e+001	-1.460553e+001
3.574233e+001	-1.470947e+001
3.564467e+001	-1.480097e+001
3.554702e+001	-1.489336e+001
3.544936e+001	-1.499285e+001
3.535170e+001	-1.508258e+001
3.525405e+001	-1.517053e+001
3.515639e+001	-1.525759e+001
3.505873e+001	-1.535353e+001
3.496108e+001	-1.545303e+001
3.486342e+001	-1.555252e+001
3.476576e+001	-1.565291e+001
3.466810e+001	-1.575596e+001
3.457045e+001	-1.586256e+001
3.447279e+001	-1.596916e+001
3.437513e+001	-1.606866e+001
3.427748e+001	-1.616194e+001
3.417982e+001	-1.626232e+001
3.408216e+001	-1.636182e+001
3.398451e+001	-1.645954e+001
3.388685e+001	-1.655193e+001
3.378919e+001	-1.664609e+001
3.369153e+001	-1.674026e+001
3.359388e+001	-1.683531e+001
3.349622e+001	-1.692593e+001
3.339856e+001	-1.700943e+001
3.330091e+001	-1.709738e+001
3.320325e+001	-1.718355e+001
3.310559e+001	-1.728660e+001
3.300794e+001	-1.738876e+001
3.291028e+001	-1.748204e+001
3.281262e+001	-1.757887e+001
3.271496e+001	-1.768370e+001
3.261731e+001	-1.780007e+001
3.251965e+001	-1.789957e+001
3.242199e+001	-1.799640e+001
3.232434e+001	-1.809767e+001
3.222668e+001	-1.820872e+001
3.212902e+001	-1.831177e+001
3.203137e+001	-1.841127e+001
3.193371e+001	-1.850898e+001
3.183605e+001	-1.861115e+001
3.173840e+001	-1.872308e+001
3.164074e+001	-1.883057e+001
3.154308e+001	-1.893007e+001
3.144542e+001	-1.901802e+001
3.134777e+001	-1.911573e+001
3.125011e+001	-1.920812e+001
3.115245e+001	-1.929963e+001
3.105480e+001	-1.938935e+001
3.095714e+001	-1.947907e+001
3.085948e+001	-1.957946e+001
3.076183e+001	-1.966918e+001
3.066417e+001	-1.976335e+001
3.056651e+001	-1.985929e+001
3.046885e+001	-1.995168e+001
3.037120e+001	-2.004762e+001
3.027354e+001	-2.015067e+001
3.017588e+001	-2.025461e+001
3.007823e+001	-2.035500e+001
2.998057e+001	-2.045538e+001
2.988291e+001	-2.055754e+001
2.978526e+001	-2.066059e+001
2.968760e+001	-2.075387e+001
2.958994e+001	-2.085070e+001
2.949228e+001	-2.094842e+001
2.939463e+001	-2.104081e+001
2.929697e+001	-2.112876e+001
2.919931e+001	-2.121937e+001
2.910166e+001	-2.130554e+001
2.900400e+001	-2.139171e+001
2.890634e+001	-2.148410e+001
2.880869e+001	-2.158005e+001
2.871103e+001	-2.166799e+001
2.861337e+001	-2.176571e+001
2.851571e+001	-2.186432e+001
2.841806e+001	-2.196115e+001
2.832040e+001	-2.204910e+001
2.822274e+001	-2.213083e+001
2.812509e+001	-2.223210e+001
2.802743e+001	-2.232627e+001
2.792977e+001	-2.241422e+001
2.783212e+001	-2.250483e+001
2.773446e+001	-2.260166e+001
2.763680e+001	-2.269316e+001
2.753914e+001	-2.279266e+001
2.744149e+001	-2.287794e+001
2.734383e+001	-2.297655e+001
2.724617e+001	-2.306894e+001
2.714852e+001	-2.316577e+001
2.705086e+001	-2.327148e+001
2.695320e+001	-2.335766e+001
2.685555e+001	-2.345893e+001
2.675789e+001	-2.355754e+001
2.666023e+001	-2.366147e+001
2.656257e+001	-2.376008e+001
2.646492e+001	-2.385691e+001
2.636726e+001	-2.394575e+001
2.626960e+001	-2.403991e+001
2.617195e+001	-2.412875e+001
2.607429e+001	-2.423091e+001
2.597663e+001	-2.432419e+001
2.587898e+001	-2.441480e+001
2.578132e+001	-2.452052e+001
2.568366e+001	-2.461646e+001
2.558600e+001	-2.472218e+001
2.548835e+001	-2.481012e+001
2.539069e+001	-2.490251e+001
2.529303e+001	-2.500556e+001
2.519538e+001	-2.509973e+001
2.509772e+001	-2.519567e+001
2.500006e+001	-2.528717e+001
2.490241e+001	-2.537690e+001
2.480475e+001	-2.547639e+001
2.470709e+001	-2.557145e+001
2.460943e+001	-2.566739e+001
2.451178e+001	-2.576245e+001
2.441412e+001	-2.584951e+001
2.431646e+001	-2.594989e+001
2.421881e+001	-2.603606e+001
2.412115e+001	-2.613023e+001
2.402349e+001	-2.622617e+001
2.392584e+001	-2.632211e+001
2.382818e+001	-2.642694e+001
2.373052e+001	-2.652199e+001
2.363286e+001	-2.662682e+001
2.353521e+001	-2.671921e+001
2.343755e+001	-2.680805e+001
2.333989e+001	-2.691110e+001
2.324224e+001	-2.700349e+001
2.314458e+001	-2.709854e+001
2.304692e+001	-2.719537e+001
2.294927e+001	-2.728687e+001
2.285161e+001	-2.738903e+001
2.275395e+001	-2.747965e+001
2.265629e+001	-2.756848e+001
2.255864e+001	-2.767064e+001
2.246098e+001	-2.775770e+001
2.236332e+001	-2.786075e+001
2.226567e+001	-2.795314e+001
2.216801e+001	-2.803398e+001
2.207035e+001	-2.813703e+001
2.197270e+001	-2.822498e+001
2.187504e+001	-2.832714e+001
2.177738e+001	-2.841687e+001
2.167972e+001	-2.851103e+001
2.158207e+001	-2.861408e+001
2.148441e+001	-2.871091e+001
2.138675e+001	-2.880597e+001
2.128910e+001	-2.889747e+001
2.119144e+001	-2.898808e+001
2.109378e+001	-2.909024e+001
2.099613e+001	-2.919063e+001
2.089847e+001	-2.928746e+001
2.080081e+001	-2.938429e+001
2.070315e+001	-2.948023e+001
2.060550e+001	-2.958506e+001
2.050784e+001	-2.967656e+001
2.041018e+001	-2.977250e+001
2.031253e+001	-2.986134e+001
2.021487e+001	-2.995018e+001
2.011721e+001	-3.004612e+001
2.001956e+001	-3.013318e+001
1.992190e+001	-3.021935e+001
1.982424e+001	-3.030730e+001
1.972658e+001	-3.039258e+001
1.962893e+001	-3.049385e+001
1.953127e+001	-3.058357e+001
1.943361e+001	-3.067597e+001
1.933596e+001	-3.076747e+001
1.923830e+001	-3.085808e+001
1.914064e+001	-3.095669e+001
1.904299e+001	-3.104375e+001
1.894533e+001	-3.113347e+001
1.884767e+001	-3.122586e+001
1.875001e+001	-3.132269e+001
