    nm         	nm
4.968254e+001	1.905162e+001
4.958531e+001	1.889673e+001
4.948808e+001	1.883716e+001
4.939086e+001	1.881333e+001
4.929363e+001	1.870610e+001
4.919640e+001	1.855121e+001
4.909917e+001	1.854723e+001
4.900195e+001	1.845589e+001
4.890472e+001	1.837149e+001
4.880749e+001	1.828511e+001
4.871027e+001	1.819476e+001
4.861304e+001	1.810242e+001
4.851581e+001	1.801008e+001
4.841858e+001	1.792072e+001
4.832136e+001	1.783235e+001
4.822413e+001	1.773703e+001
4.812690e+001	1.763973e+001
4.802968e+001	1.754441e+001
4.793245e+001	1.745307e+001
4.783522e+001	1.736172e+001
4.773799e+001	1.726243e+001
4.764077e+001	1.716513e+001
4.754354e+001	1.707180e+001
4.744631e+001	1.697846e+001
4.734909e+001	1.688414e+001
4.725186e+001	1.678386e+001
4.715463e+001	1.668457e+001
4.705741e+001	1.659422e+001
4.696018e+001	1.650485e+001
4.686295e+001	1.641152e+001
4.676572e+001	1.631323e+001
4.666850e+001	1.621890e+001
4.657127e+001	1.613153e+001
4.647404e+001	1.604415e+001
4.637682e+001	1.594784e+001
4.627959e+001	1.585054e+001
4.618236e+001	1.576118e+001
4.608513e+001	1.567579e+001
4.598791e+001	1.558345e+001
4.589068e+001	1.548615e+001
4.579345e+001	1.538785e+001
4.569623e+001	1.529452e+001
4.559900e+001	1.520317e+001
4.550177e+001	1.510488e+001
4.540454e+001	1.499864e+001
4.530732e+001	1.489339e+001
4.521009e+001	1.479807e+001
4.511286e+001	1.470275e+001
4.501564e+001	1.460148e+001
4.491841e+001	1.450020e+001
4.482118e+001	1.440588e+001
4.472395e+001	1.431056e+001
4.462673e+001	1.421822e+001
4.452950e+001	1.412291e+001
4.443227e+001	1.402163e+001
4.433505e+001	1.392333e+001
4.423782e+001	1.383397e+001
4.414059e+001	1.374362e+001
4.404336e+001	1.364433e+001
4.394614e+001	1.354405e+001
4.384891e+001	1.344972e+001
4.375168e+001	1.335838e+001
4.365446e+001	1.326008e+001
4.355723e+001	1.315881e+001
4.346000e+001	1.305753e+001
4.336277e+001	1.296122e+001
4.326555e+001	1.286690e+001
4.316832e+001	1.276860e+001
4.307109e+001	1.266534e+001
4.297387e+001	1.256704e+001
4.287664e+001	1.247470e+001
4.277941e+001	1.237839e+001
4.268218e+001	1.228010e+001
4.258496e+001	1.218180e+001
4.248773e+001	1.208648e+001
4.239050e+001	1.199514e+001
4.229328e+001	1.190081e+001
4.219605e+001	1.180450e+001
4.209882e+001	1.171018e+001
4.200160e+001	1.161684e+001
4.190437e+001	1.152848e+001
4.180714e+001	1.143713e+001
4.170991e+001	1.133883e+001
4.161269e+001	1.124352e+001
4.151546e+001	1.115018e+001
4.141823e+001	1.105387e+001
4.132101e+001	1.095359e+001
4.122378e+001	1.085132e+001
4.112655e+001	1.075104e+001
4.102932e+001	1.065473e+001
4.093210e+001	1.055743e+001
4.083487e+001	1.045913e+001
4.073764e+001	1.035786e+001
4.064042e+001	1.025757e+001
4.054319e+001	1.016325e+001
4.044596e+001	1.006892e+001
4.034873e+001	9.967650e+000
4.025151e+001	9.866374e+000
4.015428e+001	9.773043e+000
4.005705e+001	9.681696e+000
3.995983e+001	9.589358e+000
3.986260e+001	9.491061e+000
3.976537e+001	9.391772e+000
3.966814e+001	9.299433e+000
3.957092e+001	9.209080e+000
3.947369e+001	9.112769e+000
3.937646e+001	9.010501e+000
3.927924e+001	8.912205e+000
3.918201e+001	8.820859e+000
3.908478e+001	8.727526e+000
3.898755e+001	8.626252e+000
3.889033e+001	8.525969e+000
3.879310e+001	8.430652e+000
3.869587e+001	8.334341e+000
3.859865e+001	8.240017e+000
3.850142e+001	8.138741e+000
3.840419e+001	8.034488e+000
3.830696e+001	7.938177e+000
3.820974e+001	7.846831e+000
3.811251e+001	7.752506e+000
3.801528e+001	7.654210e+000
3.791806e+001	7.558892e+000
3.782083e+001	7.467546e+000
3.772360e+001	7.378186e+000
3.762637e+001	7.284854e+000
3.752915e+001	7.187550e+000
3.743192e+001	7.090247e+000
3.733469e+001	6.997908e+000
3.723747e+001	6.907555e+000
3.714024e+001	6.812237e+000
3.704301e+001	6.709969e+000
3.694579e+001	6.612665e+000
3.684856e+001	6.521319e+000
3.675133e+001	6.424016e+000
3.665410e+001	6.325720e+000
3.655688e+001	6.225437e+000
3.645965e+001	6.129127e+000
3.636242e+001	6.034802e+000
3.626520e+001	5.935513e+000
3.616797e+001	5.835230e+000
3.607074e+001	5.738920e+000
3.597351e+001	5.642609e+000
3.587629e+001	5.550270e+000
3.577906e+001	5.453960e+000
