    nm         	nm
3.099406e+002	2.115115e+002
3.093341e+002	2.113409e+002
3.087276e+002	2.112769e+002
3.081210e+002	2.111810e+002
3.075145e+002	2.109998e+002
3.069079e+002	2.107119e+002
3.063014e+002	2.105876e+002
3.056948e+002	2.103815e+002
3.050883e+002	2.101700e+002
3.044817e+002	2.099515e+002
3.038752e+002	2.097179e+002
3.032686e+002	2.094620e+002
3.026621e+002	2.091937e+002
3.020555e+002	2.089210e+002
3.014490e+002	2.086456e+002
3.008424e+002	2.083542e+002
3.002359e+002	2.080575e+002
2.996293e+002	2.077359e+002
2.990228e+002	2.073939e+002
2.984162e+002	2.070537e+002
2.978097e+002	2.066903e+002
2.972031e+002	2.063101e+002
2.965966e+002	2.059183e+002
2.959900e+002	2.055141e+002
2.953835e+002	2.051028e+002
2.947770e+002	2.046871e+002
2.941704e+002	2.042518e+002
2.935639e+002	2.038067e+002
2.929573e+002	2.033537e+002
2.923508e+002	2.028953e+002
2.917442e+002	2.024244e+002
2.911377e+002	2.019394e+002
2.905311e+002	2.014508e+002
2.899246e+002	2.009746e+002
2.893180e+002	2.004780e+002
2.887115e+002	1.999805e+002
2.881049e+002	1.994937e+002
2.874984e+002	1.989829e+002
2.868918e+002	1.984783e+002
2.862853e+002	1.979755e+002
2.856787e+002	1.974638e+002
2.850722e+002	1.969495e+002
2.844656e+002	1.964369e+002
2.838591e+002	1.959216e+002
2.832525e+002	1.954153e+002
2.826460e+002	1.948858e+002
2.820395e+002	1.943750e+002
2.814329e+002	1.938660e+002
2.808264e+002	1.933329e+002
2.802198e+002	1.928061e+002
2.796133e+002	1.922687e+002
2.790067e+002	1.917303e+002
2.784002e+002	1.911964e+002
2.777936e+002	1.906590e+002
2.771871e+002	1.901286e+002
2.765805e+002	1.896027e+002
2.759740e+002	1.890786e+002
2.753674e+002	1.885509e+002
2.747609e+002	1.880037e+002
2.741543e+002	1.874547e+002
2.735478e+002	1.869252e+002
2.729412e+002	1.863886e+002
2.723347e+002	1.858547e+002
2.717281e+002	1.853155e+002
2.711216e+002	1.847780e+002
2.705150e+002	1.842424e+002
2.699085e+002	1.837013e+002
2.693019e+002	1.831657e+002
2.686954e+002	1.826113e+002
2.680889e+002	1.820579e+002
2.674823e+002	1.815195e+002
2.668758e+002	1.809776e+002
2.662692e+002	1.804233e+002
2.656627e+002	1.798690e+002
2.650561e+002	1.793173e+002
2.644496e+002	1.787701e+002
2.638430e+002	1.782237e+002
2.632365e+002	1.776774e+002
2.626299e+002	1.771213e+002
2.620234e+002	1.765563e+002
