    µm         	nm
0.000000e+000	2.029833e+001
1.644692e-002	1.471498e+001
3.289385e-002	1.215812e+001
4.934077e-002	2.421189e+001
6.578770e-002	1.236685e+001
8.223462e-002	1.675003e+001
9.868154e-002	1.414099e+001
1.151285e-001	1.445408e+001
1.315754e-001	1.716748e+001
1.480223e-001	2.228120e+001
1.644692e-001	1.247121e+001
1.809162e-001	2.019396e+001
1.973631e-001	1.189722e+001
2.138100e-001	1.085360e+001
2.302569e-001	1.361919e+001
2.467038e-001	1.596732e+001
2.631508e-001	1.351482e+001
2.795977e-001	1.252339e+001
2.960446e-001	2.082013e+001
3.124916e-001	1.513243e+001
3.289385e-001	1.388009e+001
3.453854e-001	2.400316e+001
3.618323e-001	1.476716e+001
3.782793e-001	1.988088e+001
3.947262e-001	2.358572e+001
4.111731e-001	1.518461e+001
4.276200e-001	1.643695e+001
4.440670e-001	1.946343e+001
4.605139e-001	1.367137e+001
4.769608e-001	2.175939e+001
4.934077e-001	1.565424e+001
5.098547e-001	1.320174e+001
5.263016e-001	1.706312e+001
5.427485e-001	1.581078e+001
5.591954e-001	1.314956e+001
5.756423e-001	1.382791e+001
5.920892e-001	1.314956e+001
6.085362e-001	1.961997e+001
6.249831e-001	1.586296e+001
6.414300e-001	2.149848e+001
6.578770e-001	1.925471e+001
6.743239e-001	1.382791e+001
6.907708e-001	1.481934e+001
7.072177e-001	1.988088e+001
7.236646e-001	1.330610e+001
7.401115e-001	1.382791e+001
7.565585e-001	1.664567e+001
7.730054e-001	1.930689e+001
7.894523e-001	1.591514e+001
8.058993e-001	1.471498e+001
8.223462e-001	1.784583e+001
8.387931e-001	2.400316e+001
8.552400e-001	1.617604e+001
8.716870e-001	3.183028e+001
8.881339e-001	1.241903e+001
9.045808e-001	1.121887e+001
9.210277e-001	5.322440e+000
9.374747e-001	-8.088022e+000
9.539216e-001	-1.367137e+001
9.703685e-001	-1.638477e+001
9.868154e-001	-1.721966e+001
1.003262e+000	-1.888944e+001
1.019709e+000	-1.768929e+001
1.036156e+000	-2.160285e+001
1.052603e+000	-2.556859e+001
1.069050e+000	-2.880379e+001
1.085497e+000	-3.376097e+001
1.101944e+000	-4.080538e+001
1.118391e+000	-4.758888e+001
1.134838e+000	-5.181552e+001
1.151285e+000	-5.567690e+001
1.167732e+000	-6.089498e+001
1.184178e+000	-6.428673e+001
1.200625e+000	-6.486072e+001
1.217072e+000	-6.397364e+001
1.233519e+000	-6.266912e+001
1.249966e+000	-6.319093e+001
1.266413e+000	-6.345184e+001
1.282860e+000	-6.621742e+001
1.299307e+000	-7.508815e+001
1.315754e+000	-8.129766e+001
1.332201e+000	-8.213256e+001
1.348648e+000	-7.007880e+001
1.365095e+000	-8.286309e+001
1.381542e+000	-8.322836e+001
1.397989e+000	-8.077586e+001
1.414435e+000	-8.093240e+001
1.430882e+000	-8.265437e+001
1.447329e+000	-8.004533e+001
1.463776e+000	-8.072368e+001
1.480223e+000	-8.234128e+001
1.496670e+000	-7.988879e+001
1.513117e+000	-7.811464e+001
1.529564e+000	-7.900171e+001
1.546011e+000	-7.143549e+001
1.562458e+000	-7.274001e+001
1.578905e+000	-6.679141e+001
1.595352e+000	-6.157333e+001
1.611799e+000	-5.839030e+001
1.628246e+000	-4.565819e+001
1.644692e+000	-5.071972e+001
1.661139e+000	-4.503202e+001
1.677586e+000	-4.054447e+001
1.694033e+000	-4.680616e+001
1.710480e+000	-4.127500e+001
1.726927e+000	-3.856160e+001
1.743374e+000	-4.174463e+001
1.759821e+000	-3.923995e+001
1.776268e+000	-3.089103e+001
1.792715e+000	-3.626565e+001
1.809162e+000	-3.094321e+001
1.825609e+000	-1.836764e+001
1.842055e+000	-2.593385e+001
1.858502e+000	-2.337699e+001
1.874949e+000	-1.648913e+001
1.891396e+000	-1.174068e+001
1.907843e+000	-1.434972e+001
1.924290e+000	-1.226249e+001
1.940737e+000	-7.096587e+000
1.957184e+000	-4.174463e+000
1.973631e+000	-2.504678e+000
1.990078e+000	1.231467e+001
2.006525e+000	-4.591909e+000
2.022972e+000	-6.261694e-001
2.039419e+000	2.609039e-001
2.055865e+000	-7.148768e+000
2.072312e+000	1.565424e+000
2.088759e+000	-5.896429e+000
2.105206e+000	-7.670575e+000
2.121653e+000	-4.331005e+000
2.138100e+000	-1.664567e+001
2.154547e+000	-1.304520e+001
2.170994e+000	-2.139412e+001
2.187441e+000	-2.776018e+001
2.203888e+000	-2.901252e+001
2.220335e+000	-3.047358e+001
2.236782e+000	-3.897905e+001
2.253229e+000	-4.346660e+001
2.269675e+000	-5.207643e+001
2.286122e+000	-5.254605e+001
2.302569e+000	-4.649308e+001
2.319016e+000	-4.210990e+001
2.335463e+000	-3.997048e+001
2.351910e+000	-3.908341e+001
2.368357e+000	-3.360443e+001
2.384804e+000	-3.271735e+001
2.401251e+000	-3.955304e+001
2.417698e+000	-3.637001e+001
2.434145e+000	-3.861378e+001
2.450592e+000	-3.391751e+001
2.467038e+000	-2.259428e+001
2.483486e+000	-2.149848e+001
2.499932e+000	-1.601950e+001
2.516379e+000	-1.241903e+001
2.532826e+000	-1.059270e+001
2.549273e+000	6.783502e-001
2.565720e+000	-6.366056e+000
2.582167e+000	-4.435367e+000
2.598614e+000	4.591909e+000
2.615061e+000	1.236685e+001
2.631508e+000	1.033180e+001
2.647955e+000	2.478587e+001
2.664402e+000	1.701094e+001
2.680849e+000	2.290736e+001
2.697295e+000	2.337699e+001
2.713742e+000	2.687310e+001
2.730189e+000	3.819634e+001
2.746636e+000	2.666438e+001
2.763083e+000	3.537857e+001
2.779530e+000	3.031704e+001
