    µm         	nm
0.000000e+000	1.909817e+001
1.644692e-002	1.935907e+001
3.289385e-002	1.925471e+001
4.934077e-002	1.967216e+001
6.578770e-002	1.998524e+001
8.223462e-002	1.993306e+001
9.868154e-002	2.008960e+001
1.151285e-001	2.014178e+001
1.315754e-001	2.029833e+001
1.480223e-001	2.040269e+001
1.644692e-001	2.040269e+001
1.809162e-001	2.061141e+001
1.973631e-001	2.076795e+001
2.138100e-001	2.082013e+001
2.302569e-001	2.071577e+001
2.467038e-001	2.055923e+001
2.631508e-001	2.082013e+001
2.795977e-001	2.071577e+001
2.960446e-001	2.071577e+001
3.124916e-001	2.076795e+001
3.289385e-001	2.035051e+001
3.453854e-001	2.071577e+001
3.618323e-001	2.082013e+001
3.782793e-001	2.071577e+001
3.947262e-001	2.087232e+001
4.111731e-001	2.076795e+001
4.276200e-001	2.024615e+001
4.440670e-001	2.045487e+001
4.605139e-001	2.045487e+001
4.769608e-001	2.061141e+001
4.934077e-001	2.055923e+001
5.098547e-001	2.050705e+001
5.263016e-001	2.061141e+001
5.427485e-001	2.149848e+001
5.591954e-001	2.207247e+001
5.756423e-001	2.175939e+001
5.920892e-001	2.149848e+001
6.085362e-001	2.128976e+001
6.249831e-001	2.144630e+001
6.414300e-001	2.149848e+001
6.578770e-001	2.170721e+001
6.743239e-001	2.191593e+001
6.907708e-001	2.196811e+001
7.072177e-001	2.165503e+001
7.236646e-001	2.160285e+001
7.401115e-001	2.144630e+001
7.565585e-001	2.165503e+001
7.730054e-001	2.181157e+001
7.894523e-001	2.165503e+001
8.058993e-001	2.160285e+001
8.223462e-001	2.149848e+001
8.387931e-001	2.170721e+001
8.552400e-001	2.207247e+001
8.716870e-001	2.202029e+001
8.881339e-001	2.243774e+001
9.045808e-001	2.228120e+001
9.210277e-001	2.212465e+001
9.374747e-001	2.254210e+001
9.539216e-001	2.207247e+001
9.703685e-001	2.144630e+001
9.868154e-001	2.165503e+001
1.003262e+000	2.170721e+001
1.019709e+000	2.233338e+001
1.036156e+000	2.186375e+001
1.052603e+000	2.050705e+001
1.069050e+000	1.831546e+001
1.085497e+000	1.612386e+001
1.101944e+000	1.388009e+001
1.118391e+000	1.168850e+001
1.134838e+000	9.444722e+000
1.151285e+000	7.305310e+000
1.167732e+000	5.113717e+000
1.184178e+000	2.922124e+000
1.200625e+000	6.783502e-001
1.217072e+000	-1.565424e+000
1.233519e+000	-3.704836e+000
1.249966e+000	-5.948610e+000
1.266413e+000	-8.088022e+000
1.282860e+000	-1.027962e+001
1.299307e+000	-1.241903e+001
1.315754e+000	-1.455844e+001
1.332201e+000	-1.664567e+001
1.348648e+000	-1.878508e+001
1.365095e+000	-2.087232e+001
1.381542e+000	-2.301173e+001
1.397989e+000	-2.515114e+001
1.414435e+000	-2.729055e+001
1.430882e+000	-2.942996e+001
1.447329e+000	-3.156937e+001
1.463776e+000	-3.365661e+001
1.480223e+000	-3.584820e+001
1.496670e+000	-3.793543e+001
1.513117e+000	-4.002266e+001
1.529564e+000	-4.210990e+001
1.546011e+000	-4.424931e+001
1.562458e+000	-4.628436e+001
1.578905e+000	-4.842377e+001
1.595352e+000	-5.045882e+001
1.611799e+000	-5.254605e+001
1.628246e+000	-5.452892e+001
1.644692e+000	-5.666833e+001
1.661139e+000	-5.870339e+001
1.677586e+000	-6.079062e+001
1.694033e+000	-6.287785e+001
1.710480e+000	-6.491290e+001
1.726927e+000	-6.700013e+001
1.743374e+000	-6.898300e+001
1.759821e+000	-7.107023e+001
1.776268e+000	-7.268783e+001
1.792715e+000	-6.929609e+001
1.809162e+000	-6.449545e+001
1.825609e+000	-6.115588e+001
1.842055e+000	-5.729450e+001
1.858502e+000	-5.317222e+001
1.874949e+000	-5.061536e+001
1.891396e+000	-5.030228e+001
1.907843e+000	-4.847595e+001
1.924290e+000	-4.477112e+001
1.940737e+000	-4.273607e+001
1.957184e+000	-4.111846e+001
1.973631e+000	-3.960522e+001
1.990078e+000	-3.923995e+001
2.006525e+000	-3.866596e+001
2.022972e+000	-3.751799e+001
2.039419e+000	-3.715272e+001
2.055865e+000	-3.798761e+001
2.072312e+000	-3.814415e+001
2.088759e+000	-3.772671e+001
2.105206e+000	-3.548293e+001
2.121653e+000	-3.365661e+001
2.138100e+000	-3.188246e+001
2.154547e+000	-2.979523e+001
2.170994e+000	-2.619475e+001
2.187441e+000	-2.316827e+001
2.203888e+000	-2.207247e+001
2.220335e+000	-2.217683e+001
2.236782e+000	-2.269864e+001
2.253229e+000	-2.264646e+001
2.269675e+000	-2.228120e+001
2.286122e+000	-2.217683e+001
2.302569e+000	-2.181157e+001
2.319016e+000	-2.191593e+001
2.335463e+000	-2.342917e+001
2.351910e+000	-2.436843e+001
2.368357e+000	-2.619475e+001
2.384804e+000	-2.828199e+001
2.401251e+000	-3.042140e+001
2.417698e+000	-3.250863e+001
2.434145e+000	-3.464804e+001
2.450592e+000	-3.668309e+001
2.467038e+000	-3.877032e+001
2.483486e+000	-4.080538e+001
2.499932e+000	-4.289261e+001
2.516379e+000	-4.492766e+001
2.532826e+000	-4.680616e+001
2.549273e+000	-4.524074e+001
2.565720e+000	-4.200554e+001
2.582167e+000	-3.663091e+001
2.598614e+000	-3.083884e+001
2.615061e+000	-2.776018e+001
2.631508e+000	-2.692529e+001
2.647955e+000	-2.776018e+001
2.664402e+000	-2.572513e+001
2.680849e+000	-2.280300e+001
2.697295e+000	-1.899381e+001
2.713742e+000	-1.241903e+001
2.730189e+000	-7.774937e+000
2.746636e+000	-4.852813e+000
2.763083e+000	1.617604e+000
2.779530e+000	7.827118e+000
2.795977e+000	1.132323e+001
2.812424e+000	1.607168e+001
2.828871e+000	2.155067e+001
2.845318e+000	2.468151e+001
2.861765e+000	2.614257e+001
2.878212e+000	2.682092e+001
2.894659e+000	2.692529e+001
2.911105e+000	2.661220e+001
2.927552e+000	2.692529e+001
2.943999e+000	2.666438e+001
2.960446e+000	2.619475e+001
2.976893e+000	2.635130e+001
2.993340e+000	2.603821e+001
3.009787e+000	2.603821e+001
3.026234e+000	2.645566e+001
3.042681e+000	2.671656e+001
3.059128e+000	2.650784e+001
3.075575e+000	2.635130e+001
3.092022e+000	2.629912e+001
3.108468e+000	2.671656e+001
3.124916e+000	2.650784e+001
3.141362e+000	2.629912e+001
3.157809e+000	2.640348e+001
3.174256e+000	2.614257e+001
3.190703e+000	2.582949e+001
3.207150e+000	2.635130e+001
3.223597e+000	2.614257e+001
3.240044e+000	2.572513e+001
3.256491e+000	2.588167e+001
3.272938e+000	2.598603e+001
3.289385e+000	2.619475e+001
3.305832e+000	2.682092e+001
3.322279e+000	2.645566e+001
3.338725e+000	2.666438e+001
3.355173e+000	2.697747e+001
3.371619e+000	2.697747e+001
3.388066e+000	2.671656e+001
3.404513e+000	2.635130e+001
3.420960e+000	2.645566e+001
3.437407e+000	2.666438e+001
3.453854e+000	2.640348e+001
3.470301e+000	2.619475e+001
3.486748e+000	2.614257e+001
3.503195e+000	2.588167e+001
3.519642e+000	2.609039e+001
3.536089e+000	2.635130e+001
3.552536e+000	2.661220e+001
3.568982e+000	2.666438e+001
3.585429e+000	2.692529e+001
3.601876e+000	2.661220e+001
3.618323e+000	2.629912e+001
3.634770e+000	2.640348e+001
3.651217e+000	2.708183e+001
3.667664e+000	2.697747e+001
3.684111e+000	2.661220e+001
3.700558e+000	2.671656e+001
3.717005e+000	2.729055e+001
3.733452e+000	2.702965e+001
3.749899e+000	2.671656e+001
3.766346e+000	2.671656e+001
3.782792e+000	2.729055e+001
3.799239e+000	2.744709e+001
3.815686e+000	2.765582e+001
3.832133e+000	2.739491e+001
3.848580e+000	2.729055e+001
3.865027e+000	2.687310e+001
3.881474e+000	2.682092e+001
3.897921e+000	2.723837e+001
3.914368e+000	2.734273e+001
3.930815e+000	2.713401e+001
3.947262e+000	2.739491e+001
3.963708e+000	2.723837e+001
3.980156e+000	2.723837e+001
3.996603e+000	2.692529e+001
4.013049e+000	2.656002e+001
4.029496e+000	2.718619e+001
4.045943e+000	2.749927e+001
4.062390e+000	2.791672e+001
4.078837e+000	2.822981e+001
4.095284e+000	2.807326e+001
4.111731e+000	2.812544e+001
4.128178e+000	2.760364e+001
4.144625e+000	2.744709e+001
4.161072e+000	2.791672e+001
4.177519e+000	2.786454e+001
4.193966e+000	2.807326e+001
4.210412e+000	2.776018e+001
4.226859e+000	2.833417e+001
4.243306e+000	2.838635e+001
4.259753e+000	2.843853e+001
4.276200e+000	2.859507e+001
4.292647e+000	2.864725e+001
4.309094e+000	2.843853e+001
4.325541e+000	2.828199e+001
4.341988e+000	2.838635e+001
4.358435e+000	2.796890e+001
4.374882e+000	2.749927e+001
4.391329e+000	2.744709e+001
4.407776e+000	2.781236e+001
4.424222e+000	2.817763e+001
4.440669e+000	2.796890e+001
4.457117e+000	2.802108e+001
4.473563e+000	2.822981e+001
4.490010e+000	2.781236e+001
4.506457e+000	2.666438e+001
4.522904e+000	2.452497e+001
4.539351e+000	2.233338e+001
4.555798e+000	2.008960e+001
4.572245e+000	1.789801e+001
4.588692e+000	1.565424e+001
4.605139e+000	1.351482e+001
4.621586e+000	1.127105e+001
4.638032e+000	9.131638e+000
4.654480e+000	6.887864e+000
4.670927e+000	4.748451e+000
4.687373e+000	2.556859e+000
4.703820e+000	4.174463e-001
4.720267e+000	-1.774147e+000
4.736714e+000	-3.913559e+000
4.753161e+000	-6.105152e+000
4.769608e+000	-8.192384e+000
4.786055e+000	-1.038398e+001
4.802502e+000	-1.247121e+001
4.818949e+000	-1.466280e+001
4.835395e+000	-1.675003e+001
4.851843e+000	-1.894163e+001
4.868290e+000	-2.102886e+001
4.884736e+000	-2.322045e+001
4.901183e+000	-2.535986e+001
4.917630e+000	-2.749927e+001
4.934077e+000	-2.963869e+001
4.950524e+000	-3.172592e+001
4.966971e+000	-3.386533e+001
4.983418e+000	-3.600474e+001
4.999865e+000	-3.809198e+001
5.016312e+000	-4.017921e+001
5.032759e+000	-4.231862e+001
5.049206e+000	-4.435367e+001
5.065653e+000	-4.644090e+001
5.082100e+000	-4.852813e+001
5.098546e+000	-5.061536e+001
5.114993e+000	-5.270260e+001
5.131440e+000	-5.478983e+001
5.147887e+000	-5.687706e+001
5.164334e+000	-5.896429e+001
5.180781e+000	-6.094716e+001
5.197228e+000	-6.303439e+001
5.213675e+000	-6.506944e+001
5.230122e+000	-6.715667e+001
5.246569e+000	-6.840901e+001
5.263016e+000	-6.413018e+001
5.279463e+000	-5.985136e+001
5.295909e+000	-5.552036e+001
5.312356e+000	-4.717143e+001
5.328803e+000	-3.824852e+001
5.345250e+000	-3.036922e+001
5.361697e+000	-2.588167e+001
5.378144e+000	-2.379444e+001
5.394591e+000	-2.259428e+001
5.411038e+000	-2.243774e+001
5.427485e+000	-2.170721e+001
5.443932e+000	-2.186375e+001
5.460379e+000	-2.301173e+001
5.476826e+000	-2.410752e+001
5.493273e+000	-2.421189e+001
5.509719e+000	-2.369008e+001
5.526166e+000	-2.415970e+001
5.542614e+000	-2.603821e+001
5.559060e+000	-2.817763e+001
5.575507e+000	-3.036922e+001
5.591954e+000	-3.245645e+001
5.608401e+000	-3.459586e+001
5.624848e+000	-3.668309e+001
5.641295e+000	-3.882251e+001
5.657742e+000	-4.090974e+001
5.674189e+000	-4.304915e+001
5.690636e+000	-4.513638e+001
5.707082e+000	-4.727579e+001
5.723529e+000	-4.931085e+001
5.739977e+000	-5.145026e+001
5.756423e+000	-5.348531e+001
5.772870e+000	-5.557254e+001
5.789317e+000	-5.760759e+001
5.805764e+000	-5.969482e+001
5.822211e+000	-6.178205e+001
5.838658e+000	-6.386928e+001
5.855105e+000	-6.600870e+001
5.871552e+000	-6.762630e+001
5.887999e+000	-6.778284e+001
5.904446e+000	-6.793938e+001
5.920892e+000	-6.799156e+001
5.937340e+000	-6.778284e+001
5.953787e+000	-6.767848e+001
5.970233e+000	-6.752194e+001
5.986680e+000	-6.746976e+001
6.003127e+000	-6.741757e+001
6.019574e+000	-6.715667e+001
6.036021e+000	-6.653050e+001
6.052468e+000	-6.209514e+001
6.068915e+000	-5.259823e+001
6.085362e+000	-4.377968e+001
6.101809e+000	-3.720490e+001
6.118255e+000	-3.376097e+001
6.134703e+000	-3.266517e+001
6.151150e+000	-2.395098e+001
6.167596e+000	-9.340360e+000
6.184043e+000	-5.218079e-001
6.200490e+000	2.765582e+000
6.216937e+000	1.064488e+001
6.233384e+000	1.706312e+001
6.249831e+000	2.076795e+001
6.266278e+000	2.614257e+001
6.282725e+000	3.125629e+001
6.299172e+000	3.381315e+001
6.315619e+000	3.459586e+001
6.332066e+000	3.454368e+001
6.348513e+000	3.407405e+001
6.364960e+000	3.323916e+001
6.381406e+000	3.235209e+001
6.397853e+000	3.203900e+001
6.414301e+000	3.266517e+001
6.430747e+000	3.276953e+001
6.447194e+000	3.308262e+001
6.463641e+000	3.376097e+001
6.480088e+000	3.391751e+001
6.496535e+000	3.381315e+001
6.512982e+000	3.386533e+001
6.529429e+000	3.396969e+001
6.545876e+000	3.417842e+001
6.562323e+000	3.454368e+001
6.578769e+000	3.412623e+001
6.595216e+000	3.417842e+001
6.611664e+000	3.428278e+001
6.628110e+000	3.360443e+001
6.644557e+000	3.370879e+001
6.661004e+000	3.360443e+001
6.677451e+000	3.339570e+001
6.693898e+000	3.381315e+001
6.710345e+000	3.438714e+001
6.726792e+000	3.396969e+001
6.743239e+000	3.323916e+001
6.759686e+000	3.381315e+001
6.776133e+000	3.350006e+001
6.792579e+000	3.297826e+001
6.809027e+000	3.303044e+001
6.825474e+000	3.360443e+001
6.841920e+000	3.407405e+001
6.858367e+000	3.381315e+001
6.874814e+000	3.386533e+001
6.891261e+000	3.417842e+001
6.907708e+000	3.376097e+001
6.924155e+000	3.396969e+001
6.940602e+000	3.376097e+001
6.957049e+000	3.402187e+001
6.973496e+000	3.391751e+001
6.989942e+000	3.417842e+001
7.006390e+000	3.402187e+001
7.022837e+000	3.391751e+001
7.039283e+000	3.407405e+001
7.055730e+000	3.402187e+001
7.072177e+000	3.396969e+001
7.088624e+000	3.407405e+001
7.105071e+000	3.417842e+001
7.121518e+000	3.428278e+001
7.137965e+000	3.407405e+001
7.154412e+000	3.443932e+001
7.170859e+000	3.376097e+001
7.187306e+000	3.370879e+001
7.203753e+000	3.443932e+001
7.220200e+000	3.459586e+001
7.236647e+000	3.428278e+001
7.253093e+000	3.417842e+001
7.269540e+000	3.417842e+001
7.285987e+000	3.423060e+001
7.302434e+000	3.470022e+001
7.318881e+000	3.490895e+001
7.335328e+000	3.496113e+001
7.351775e+000	3.511767e+001
7.368222e+000	3.511767e+001
7.384669e+000	3.543076e+001
7.401116e+000	3.548293e+001
7.417563e+000	3.537857e+001
7.434010e+000	3.480459e+001
7.450456e+000	3.490895e+001
7.466903e+000	3.464804e+001
7.483350e+000	3.454368e+001
7.499797e+000	3.470022e+001
7.516244e+000	3.464804e+001
7.532691e+000	3.501331e+001
7.549138e+000	3.527421e+001
7.565585e+000	3.501331e+001
7.582032e+000	3.475240e+001
7.598479e+000	3.485676e+001
7.614926e+000	3.496113e+001
7.631373e+000	3.527421e+001
7.647820e+000	3.537857e+001
7.664266e+000	3.522203e+001
7.680714e+000	3.506549e+001
7.697160e+000	3.548293e+001
7.713607e+000	3.595256e+001
7.730054e+000	3.579602e+001
7.746501e+000	3.553512e+001
7.762948e+000	3.590038e+001
7.779395e+000	3.657873e+001
7.795842e+000	3.715272e+001
7.812288e+000	3.657873e+001
7.828736e+000	3.584820e+001
7.845183e+000	3.626565e+001
7.861629e+000	3.704836e+001
7.878077e+000	3.757017e+001
7.894523e+000	3.772671e+001
7.910970e+000	3.663091e+001
7.927417e+000	3.459586e+001
7.943864e+000	3.240427e+001
7.960311e+000	3.016050e+001
7.976758e+000	2.796890e+001
7.993205e+000	2.567295e+001
8.009652e+000	2.353353e+001
8.026099e+000	2.128976e+001
8.042546e+000	1.909817e+001
8.058993e+000	1.690658e+001
8.075440e+000	1.471498e+001
8.091886e+000	1.247121e+001
8.108334e+000	1.022743e+001
8.124780e+000	8.088022e+000
8.141227e+000	5.896429e+000
8.157675e+000	3.757016e+000
8.174121e+000	1.565424e+000
8.190568e+000	-5.739886e-001
8.207015e+000	-2.765582e+000
8.223462e+000	-4.904994e+000
8.239909e+000	-7.044406e+000
8.256356e+000	-9.183818e+000
8.272803e+000	-1.137541e+001
8.289249e+000	-1.346264e+001
8.305697e+000	-1.560205e+001
8.322143e+000	-1.768929e+001
8.338590e+000	-1.982870e+001
8.355038e+000	-2.191593e+001
8.371484e+000	-2.405534e+001
8.387931e+000	-2.614257e+001
8.404378e+000	-2.828199e+001
