    µm         	nm
0.000000e+000	3.407405e+001
1.644692e-002	3.386533e+001
3.289385e-002	3.407405e+001
4.934077e-002	3.417842e+001
6.578770e-002	3.433496e+001
8.223462e-002	3.433496e+001
9.868154e-002	3.438714e+001
1.151285e-001	3.501331e+001
1.315754e-001	3.454368e+001
1.480223e-001	3.438714e+001
1.644692e-001	3.433496e+001
1.809162e-001	3.423060e+001
1.973631e-001	3.381315e+001
2.138100e-001	3.412623e+001
2.302569e-001	3.423060e+001
2.467038e-001	3.475240e+001
2.631508e-001	3.475240e+001
2.795977e-001	3.433496e+001
2.960446e-001	3.417842e+001
3.124916e-001	3.381315e+001
3.289385e-001	3.360443e+001
3.453854e-001	3.417842e+001
3.618323e-001	3.490895e+001
3.782793e-001	3.417842e+001
3.947262e-001	3.391751e+001
4.111731e-001	3.433496e+001
4.276200e-001	3.386533e+001
4.440670e-001	3.433496e+001
4.605139e-001	3.464804e+001
4.769608e-001	3.443932e+001
4.934077e-001	3.464804e+001
5.098547e-001	3.449150e+001
5.263016e-001	3.449150e+001
5.427485e-001	3.475240e+001
5.591954e-001	3.459586e+001
5.756423e-001	3.433496e+001
5.920892e-001	3.454368e+001
6.085362e-001	3.423060e+001
6.249831e-001	3.407405e+001
6.414300e-001	3.423060e+001
6.578770e-001	3.438714e+001
6.743239e-001	3.470022e+001
6.907708e-001	3.438714e+001
7.072177e-001	3.417842e+001
7.236646e-001	3.423060e+001
7.401115e-001	3.370879e+001
7.565585e-001	3.391751e+001
7.730054e-001	3.360443e+001
7.894523e-001	3.391751e+001
8.058993e-001	3.443932e+001
8.223462e-001	3.470022e+001
8.387931e-001	3.402187e+001
8.552400e-001	3.386533e+001
8.716870e-001	3.391751e+001
8.881339e-001	3.370879e+001
9.045808e-001	3.443932e+001
9.210277e-001	3.423060e+001
9.374747e-001	3.360443e+001
9.539216e-001	3.423060e+001
9.703685e-001	3.428278e+001
9.868154e-001	3.407405e+001
1.003262e+000	3.423060e+001
1.019709e+000	3.433496e+001
1.036156e+000	3.454368e+001
1.052603e+000	3.407405e+001
1.069050e+000	3.370879e+001
1.085497e+000	3.412623e+001
1.101944e+000	3.365661e+001
1.118391e+000	3.396969e+001
1.134838e+000	3.496113e+001
1.151285e+000	3.563948e+001
1.167732e+000	3.459586e+001
1.184178e+000	3.485676e+001
1.200625e+000	3.402187e+001
1.217072e+000	3.412623e+001
1.233519e+000	3.412623e+001
1.249966e+000	3.381315e+001
1.266413e+000	3.360443e+001
1.282860e+000	3.386533e+001
1.299307e+000	3.412623e+001
1.315754e+000	3.423060e+001
1.332201e+000	3.396969e+001
1.348648e+000	3.480459e+001
1.365095e+000	3.449150e+001
1.381542e+000	3.438714e+001
1.397989e+000	3.438714e+001
1.414435e+000	3.433496e+001
1.430882e+000	3.402187e+001
1.447329e+000	3.391751e+001
1.463776e+000	3.350006e+001
1.480223e+000	3.402187e+001
1.496670e+000	3.360443e+001
1.513117e+000	3.470022e+001
1.529564e+000	3.490895e+001
1.546011e+000	3.537857e+001
1.562458e+000	3.480459e+001
1.578905e+000	3.370879e+001
1.595352e+000	3.146501e+001
1.611799e+000	2.661220e+001
1.628246e+000	1.847200e+001
1.644692e+000	1.205376e+001
1.661139e+000	7.827118e+000
1.677586e+000	4.748451e+000
1.694033e+000	3.130847e+000
1.710480e+000	1.461062e+000
1.726927e+000	1.095797e+000
1.743374e+000	-5.739886e-001
1.759821e+000	-4.800632e+000
1.776268e+000	-9.862169e+000
1.792715e+000	-1.575860e+001
1.809162e+000	-2.248992e+001
1.825609e+000	-2.932560e+001
1.842055e+000	-3.412623e+001
1.858502e+000	-3.950085e+001
1.874949e+000	-4.158809e+001
1.891396e+000	-4.122282e+001
1.907843e+000	-4.148373e+001
1.924290e+000	-4.096192e+001
1.940737e+000	-4.080538e+001
1.957184e+000	-4.101410e+001
1.973631e+000	-4.398840e+001
1.990078e+000	-5.249387e+001
2.006525e+000	-6.402583e+001
2.022972e+000	-6.459982e+001
2.039419e+000	-6.579997e+001
2.055865e+000	-6.600870e+001
2.072312e+000	-6.611306e+001
2.088759e+000	-6.626960e+001
2.105206e+000	-6.600870e+001
2.121653e+000	-6.606088e+001
2.138100e+000	-6.585216e+001
2.154547e+000	-6.559125e+001
2.170994e+000	-6.564343e+001
2.187441e+000	-6.595651e+001
2.203888e+000	-6.548689e+001
2.220335e+000	-6.517380e+001
2.236782e+000	-6.585216e+001
2.253229e+000	-6.600870e+001
2.269675e+000	-6.611306e+001
2.286122e+000	-6.574779e+001
2.302569e+000	-6.585216e+001
2.319016e+000	-6.574779e+001
2.335463e+000	-6.579997e+001
2.351910e+000	-6.585216e+001
2.368357e+000	-6.579997e+001
2.384804e+000	-6.600870e+001
2.401251e+000	-6.611306e+001
2.417698e+000	-6.606088e+001
2.434145e+000	-6.564343e+001
2.450592e+000	-6.475636e+001
2.467038e+000	-6.522598e+001
2.483486e+000	-6.564343e+001
2.499932e+000	-6.595651e+001
2.516379e+000	-6.595651e+001
2.532826e+000	-6.559125e+001
2.549273e+000	-6.538252e+001
2.565720e+000	-6.538252e+001
2.582167e+000	-6.496508e+001
2.598614e+000	-6.496508e+001
2.615061e+000	-6.470417e+001
2.631508e+000	-6.522598e+001
2.647955e+000	-6.517380e+001
2.664402e+000	-6.569561e+001
2.680849e+000	-6.579997e+001
2.697295e+000	-6.574779e+001
2.713742e+000	-6.569561e+001
2.730189e+000	-6.553907e+001
2.746636e+000	-6.501726e+001
2.763083e+000	-6.527817e+001
2.779530e+000	-6.559125e+001
2.795977e+000	-6.543470e+001
2.812424e+000	-6.522598e+001
2.828871e+000	-6.522598e+001
2.845318e+000	-6.564343e+001
2.861765e+000	-6.569561e+001
2.878212e+000	-6.564343e+001
2.894659e+000	-6.553907e+001
2.911105e+000	-6.533035e+001
2.927552e+000	-6.543470e+001
2.943999e+000	-6.595651e+001
2.960446e+000	-6.564343e+001
2.976893e+000	-6.548689e+001
2.993340e+000	-6.553907e+001
3.009787e+000	-6.553907e+001
3.026234e+000	-6.538252e+001
3.042681e+000	-6.496508e+001
3.059128e+000	-6.345184e+001
3.075575e+000	-6.418237e+001
3.092022e+000	-6.538252e+001
3.108468e+000	-6.527817e+001
3.124916e+000	-6.439109e+001
3.141362e+000	-5.578126e+001
3.157809e+000	-4.936302e+001
3.174256e+000	-4.435367e+001
3.190703e+000	-4.044011e+001
3.207150e+000	-3.381315e+001
