    kHz         	 V
2.332140e+002	2.048645e-001
2.332185e+002	2.069092e-001
2.332231e+002	2.059326e-001
2.332277e+002	2.068176e-001
2.332323e+002	2.074585e-001
2.332369e+002	2.080078e-001
2.332415e+002	2.076111e-001
2.332461e+002	2.090759e-001
2.332507e+002	2.088928e-001
2.332553e+002	2.100830e-001
2.332598e+002	2.095337e-001
2.332644e+002	2.105713e-001
2.332690e+002	2.111816e-001
2.332736e+002	2.110291e-001
2.332782e+002	2.122192e-001
2.332828e+002	2.121582e-001
2.332874e+002	2.123108e-001
2.332920e+002	2.136841e-001
2.332965e+002	2.135620e-001
2.333011e+002	2.142334e-001
2.333057e+002	2.146606e-001
2.333103e+002	2.148132e-001
2.333149e+002	2.156677e-001
2.333195e+002	2.143250e-001
2.333241e+002	2.166443e-001
2.333287e+002	2.166138e-001
2.333333e+002	2.169800e-001
2.333379e+002	2.179871e-001
2.333424e+002	2.175598e-001
2.333470e+002	2.186584e-001
2.333516e+002	2.183228e-001
2.333562e+002	2.194214e-001
2.333608e+002	2.184448e-001
2.333654e+002	2.199097e-001
2.333700e+002	2.195435e-001
2.333746e+002	2.209473e-001
2.333792e+002	2.206421e-001
2.333837e+002	2.219543e-001
2.333883e+002	2.216797e-001
2.333929e+002	2.212524e-001
2.333975e+002	2.227783e-001
2.334021e+002	2.237244e-001
2.334067e+002	2.236633e-001
2.334113e+002	2.239380e-001
2.334159e+002	2.241516e-001
2.334205e+002	2.238159e-001
2.334250e+002	2.239380e-001
2.334296e+002	2.256165e-001
2.334342e+002	2.257080e-001
2.334388e+002	2.250671e-001
2.334434e+002	2.255554e-001
2.334480e+002	2.270203e-001
2.334526e+002	2.270203e-001
2.334572e+002	2.267151e-001
2.334617e+002	2.275696e-001
2.334663e+002	2.272339e-001
2.334709e+002	2.279663e-001
2.334755e+002	2.281494e-001
2.334801e+002	2.291870e-001
2.334847e+002	2.287903e-001
2.334893e+002	2.297363e-001
2.334939e+002	2.298584e-001
2.334985e+002	2.298584e-001
2.335030e+002	2.303772e-001
2.335076e+002	2.315979e-001
2.335122e+002	2.316895e-001
2.335168e+002	2.309570e-001
2.335214e+002	2.325745e-001
2.335260e+002	2.325439e-001
2.335306e+002	2.328491e-001
2.335352e+002	2.342529e-001
2.335398e+002	2.325745e-001
2.335444e+002	2.333069e-001
2.335489e+002	2.341309e-001
2.335535e+002	2.348022e-001
2.335581e+002	2.344971e-001
2.335627e+002	2.352905e-001
2.335673e+002	2.359314e-001
2.335719e+002	2.374878e-001
2.335765e+002	2.374878e-001
2.335811e+002	2.363892e-001
2.335857e+002	2.363892e-001
2.335902e+002	2.372742e-001
2.335948e+002	2.380981e-001
2.335994e+002	2.386169e-001
2.336040e+002	2.393494e-001
2.336086e+002	2.395325e-001
2.336132e+002	2.401123e-001
2.336178e+002	2.405701e-001
2.336224e+002	2.403259e-001
2.336270e+002	2.409668e-001
2.336315e+002	2.420349e-001
2.336361e+002	2.416077e-001
2.336407e+002	2.420044e-001
2.336453e+002	2.427979e-001
2.336499e+002	2.429810e-001
2.336545e+002	2.435303e-001
2.336591e+002	2.432861e-001
2.336637e+002	2.438660e-001
2.336683e+002	2.456360e-001
2.336728e+002	2.448730e-001
2.336774e+002	2.460632e-001
2.336820e+002	2.466431e-001
2.336866e+002	2.460327e-001
2.336912e+002	2.473450e-001
2.336958e+002	2.467346e-001
2.337004e+002	2.484436e-001
2.337050e+002	2.486572e-001
2.337095e+002	2.490234e-001
2.337141e+002	2.499390e-001
2.337187e+002	2.505493e-001
2.337233e+002	2.507019e-001
2.337279e+002	2.521667e-001
2.337325e+002	2.514038e-001
2.337371e+002	2.530823e-001
2.337417e+002	2.532654e-001
2.337463e+002	2.546387e-001
2.337509e+002	2.547607e-001
2.337554e+002	2.556152e-001
2.337600e+002	2.552490e-001
2.337646e+002	2.564392e-001
2.337692e+002	2.562866e-001
2.337738e+002	2.575989e-001
2.337784e+002	2.585449e-001
2.337830e+002	2.590027e-001
2.337876e+002	2.604065e-001
2.337922e+002	2.604065e-001
2.337967e+002	2.605286e-001
2.338013e+002	2.612000e-001
2.338059e+002	2.624207e-001
2.338105e+002	2.638245e-001
2.338151e+002	2.639160e-001
2.338197e+002	2.660522e-001
2.338243e+002	2.655640e-001
2.338289e+002	2.666016e-001
2.338335e+002	2.668152e-001
2.338380e+002	2.678223e-001
2.338426e+002	2.688599e-001
2.338472e+002	2.697449e-001
2.338518e+002	2.716980e-001
2.338564e+002	2.714539e-001
2.338610e+002	2.715759e-001
2.338656e+002	2.728882e-001
2.338702e+002	2.741089e-001
2.338748e+002	2.747192e-001
2.338793e+002	2.751160e-001
2.338839e+002	2.771301e-001
2.338885e+002	2.783508e-001
2.338931e+002	2.775879e-001
2.338977e+002	2.788696e-001
2.339023e+002	2.798767e-001
2.339069e+002	2.819519e-001
2.339115e+002	2.824402e-001
2.339160e+002	2.831421e-001
2.339206e+002	2.850342e-001
2.339252e+002	2.850952e-001
2.339298e+002	2.859802e-001
2.339344e+002	2.867737e-001
2.339390e+002	2.886658e-001
2.339436e+002	2.905579e-001
2.339482e+002	2.906799e-001
2.339528e+002	2.918091e-001
2.339573e+002	2.934875e-001
2.339619e+002	2.947693e-001
2.339665e+002	2.953796e-001
2.339711e+002	2.966003e-001
2.339757e+002	2.975464e-001
2.339803e+002	2.995911e-001
2.339849e+002	3.002625e-001
2.339895e+002	3.017578e-001
2.339941e+002	3.037109e-001
2.339987e+002	3.038635e-001
2.340032e+002	3.061218e-001
2.340078e+002	3.069458e-001
2.340124e+002	3.085022e-001
2.340170e+002	3.099976e-001
2.340216e+002	3.114014e-001
2.340262e+002	3.118591e-001
2.340308e+002	3.144226e-001
2.340354e+002	3.147278e-001
2.340400e+002	3.164978e-001
2.340445e+002	3.183899e-001
2.340491e+002	3.201904e-001
2.340537e+002	3.209534e-001
2.340583e+002	3.236694e-001
2.340629e+002	3.245239e-001
2.340675e+002	3.258057e-001
2.340721e+002	3.281250e-001
2.340767e+002	3.295898e-001
2.340813e+002	3.317261e-001
2.340858e+002	3.327026e-001
2.340904e+002	3.343811e-001
2.340950e+002	3.359375e-001
2.340996e+002	3.376770e-001
2.341042e+002	3.396301e-001
2.341088e+002	3.413391e-001
2.341134e+002	3.439331e-001
2.341180e+002	3.444214e-001
2.341225e+002	3.482666e-001
2.341271e+002	3.487549e-001
2.341317e+002	3.509521e-001
2.341363e+002	3.519592e-001
2.341409e+002	3.539734e-001
2.341455e+002	3.567200e-001
2.341501e+002	3.587036e-001
2.341547e+002	3.599243e-001
2.341593e+002	3.618164e-001
2.341638e+002	3.639526e-001
2.341684e+002	3.655701e-001
2.341730e+002	3.678894e-001
2.341776e+002	3.703918e-001
2.341822e+002	3.723450e-001
2.341868e+002	3.735352e-001
2.341914e+002	3.762207e-001
2.341960e+002	3.780212e-001
2.342006e+002	3.800354e-001
2.342052e+002	3.826294e-001
2.342097e+002	3.841858e-001
2.342143e+002	3.865967e-001
2.342189e+002	3.893433e-001
2.342235e+002	3.899231e-001
2.342281e+002	3.927307e-001
2.342327e+002	3.947449e-001
2.342373e+002	3.977051e-001
2.342419e+002	3.996887e-001
2.342465e+002	4.024353e-001
2.342510e+002	4.042358e-001
2.342556e+002	4.067688e-001
2.342602e+002	4.088440e-001
2.342648e+002	4.106750e-001
2.342694e+002	4.132080e-001
2.342740e+002	4.158936e-001
2.342786e+002	4.176941e-001
2.342832e+002	4.207153e-001
2.342878e+002	4.226379e-001
2.342923e+002	4.255066e-001
2.342969e+002	4.278564e-001
2.343015e+002	4.291992e-001
2.343061e+002	4.323120e-001
2.343107e+002	4.345093e-001
2.343153e+002	4.365540e-001
2.343199e+002	4.388123e-001
2.343245e+002	4.416809e-001
2.343290e+002	4.434204e-001
2.343336e+002	4.450378e-001
2.343382e+002	4.469604e-001
2.343428e+002	4.498596e-001
2.343474e+002	4.522400e-001
2.343520e+002	4.541931e-001
2.343566e+002	4.560852e-001
2.343612e+002	4.583435e-001
2.343658e+002	4.614868e-001
2.343703e+002	4.622803e-001
2.343749e+002	4.644165e-001
2.343795e+002	4.661865e-001
2.343841e+002	4.685059e-001
2.343887e+002	4.700623e-001
2.343933e+002	4.719849e-001
2.343979e+002	4.743042e-001
2.344025e+002	4.751587e-001
2.344071e+002	4.780273e-001
2.344117e+002	4.792786e-001
2.344162e+002	4.810181e-001
2.344208e+002	4.809265e-001
2.344254e+002	4.835510e-001
2.344300e+002	4.842834e-001
2.344346e+002	4.855042e-001
2.344392e+002	4.865723e-001
2.344438e+002	4.888000e-001
2.344484e+002	4.889832e-001
2.344530e+002	4.895020e-001
2.344575e+002	4.911499e-001
2.344621e+002	4.912109e-001
2.344667e+002	4.931335e-001
2.344713e+002	4.925232e-001
2.344759e+002	4.940796e-001
2.344805e+002	4.941406e-001
2.344851e+002	4.940796e-001
2.344897e+002	4.947815e-001
2.344942e+002	4.944458e-001
2.344988e+002	4.942627e-001
2.345034e+002	4.957581e-001
2.345080e+002	4.950867e-001
2.345126e+002	4.947815e-001
2.345172e+002	4.941406e-001
2.345218e+002	4.916077e-001
2.345264e+002	4.919739e-001
2.345310e+002	4.911499e-001
2.345355e+002	4.904175e-001
2.345401e+002	4.897156e-001
2.345447e+002	4.883118e-001
2.345493e+002	4.868774e-001
2.345539e+002	4.846497e-001
2.345585e+002	4.843750e-001
2.345631e+002	4.812317e-001
2.345677e+002	4.809265e-001
2.345723e+002	4.783325e-001
2.345768e+002	4.766541e-001
2.345814e+002	4.743958e-001
2.345860e+002	4.722595e-001
2.345906e+002	4.698486e-001
2.345952e+002	4.679871e-001
2.345998e+002	4.644470e-001
2.346044e+002	4.628601e-001
2.346090e+002	4.603271e-001
2.346136e+002	4.575195e-001
2.346182e+002	4.541016e-001
2.346227e+002	4.515076e-001
2.346273e+002	4.486389e-001
2.346319e+002	4.461365e-001
2.346365e+002	4.428711e-001
2.346411e+002	4.387512e-001
2.346457e+002	4.360962e-001
2.346503e+002	4.327698e-001
2.346549e+002	4.295654e-001
2.346595e+002	4.266357e-001
2.346640e+002	4.232788e-001
2.346686e+002	4.194031e-001
2.346732e+002	4.160767e-001
2.346778e+002	4.134827e-001
2.346824e+002	4.095459e-001
2.346870e+002	4.057617e-001
2.346916e+002	4.030457e-001
2.346962e+002	3.983765e-001
2.347008e+002	3.943481e-001
2.347053e+002	3.914795e-001
2.347099e+002	3.869324e-001
2.347145e+002	3.834839e-001
2.347191e+002	3.801270e-001
2.347237e+002	3.768005e-001
2.347283e+002	3.733215e-001
2.347329e+002	3.695374e-001
2.347375e+002	3.653564e-001
2.347420e+002	3.630371e-001
2.347466e+002	3.587646e-001
2.347512e+002	3.551636e-001
2.347558e+002	3.517151e-001
2.347604e+002	3.488770e-001
2.347650e+002	3.450317e-001
2.347696e+002	3.414307e-001
2.347742e+002	3.382568e-001
2.347788e+002	3.330688e-001
2.347833e+002	3.310242e-001
2.347879e+002	3.278198e-001
2.347925e+002	3.233337e-001
2.347971e+002	3.206482e-001
2.348017e+002	3.174438e-001
2.348063e+002	3.138123e-001
2.348109e+002	3.104553e-001
2.348155e+002	3.070374e-001
2.348201e+002	3.036194e-001
2.348247e+002	3.018494e-001
2.348292e+002	2.971191e-001
2.348338e+002	2.946472e-001
2.348384e+002	2.921753e-001
2.348430e+002	2.890320e-001
2.348476e+002	2.858276e-001
2.348522e+002	2.836914e-001
2.348568e+002	2.799377e-001
2.348614e+002	2.778015e-001
2.348660e+002	2.734070e-001
2.348705e+002	2.716064e-001
2.348751e+002	2.685852e-001
2.348797e+002	2.663879e-001
2.348843e+002	2.630615e-001
2.348889e+002	2.609253e-001
2.348935e+002	2.581177e-001
2.348981e+002	2.547302e-001
2.349027e+002	2.519531e-001
2.349073e+002	2.505493e-001
2.349118e+002	2.479858e-001
2.349164e+002	2.446594e-001
2.349210e+002	2.424622e-001
2.349256e+002	2.404785e-001
2.349302e+002	2.376404e-001
2.349348e+002	2.347717e-001
2.349394e+002	2.327881e-001
2.349440e+002	2.302856e-001
2.349485e+002	2.278442e-001
2.349531e+002	2.267761e-001
2.349577e+002	2.234497e-001
2.349623e+002	2.219543e-001
2.349669e+002	2.193909e-001
2.349715e+002	2.172546e-001
2.349761e+002	2.146606e-001
2.349807e+002	2.134094e-001
2.349853e+002	2.110901e-001
2.349898e+002	2.089844e-001
2.349944e+002	2.071533e-001
2.349990e+002	2.051697e-001
2.350036e+002	2.028198e-001
2.350082e+002	2.010803e-001
2.350128e+002	1.997070e-001
2.350174e+002	1.974182e-001
2.350220e+002	1.962891e-001
2.350266e+002	1.939697e-001
2.350311e+002	1.923523e-001
2.350357e+002	1.907654e-001
2.350403e+002	1.887207e-001
2.350449e+002	1.866150e-001
2.350495e+002	1.848450e-001
2.350541e+002	1.843872e-001
2.350587e+002	1.824951e-001
2.350633e+002	1.803589e-001
2.350679e+002	1.792297e-001
2.350725e+002	1.781616e-001
2.350770e+002	1.758118e-001
2.350816e+002	1.739502e-001
2.350862e+002	1.725464e-001
2.350908e+002	1.716919e-001
2.350954e+002	1.701050e-001
2.351000e+002	1.694641e-001
2.351046e+002	1.672668e-001
2.351092e+002	1.648865e-001
2.351138e+002	1.652222e-001
2.351183e+002	1.630859e-001
