    kHz         	 V
2.369296e+002	2.413940e-001
2.369343e+002	2.427979e-001
2.369390e+002	2.434387e-001
2.369436e+002	2.438049e-001
2.369483e+002	2.448120e-001
2.369529e+002	2.444153e-001
2.369576e+002	2.446899e-001
2.369623e+002	2.462158e-001
2.369669e+002	2.471008e-001
2.369716e+002	2.467651e-001
2.369762e+002	2.475891e-001
2.369809e+002	2.483826e-001
2.369856e+002	2.487488e-001
2.369902e+002	2.499390e-001
2.369949e+002	2.505188e-001
2.369996e+002	2.503967e-001
2.370042e+002	2.509155e-001
2.370089e+002	2.505798e-001
2.370135e+002	2.518921e-001
2.370182e+002	2.519531e-001
2.370229e+002	2.535400e-001
2.370275e+002	2.527466e-001
2.370322e+002	2.533569e-001
2.370369e+002	2.533569e-001
2.370415e+002	2.540588e-001
2.370462e+002	2.542114e-001
2.370508e+002	2.544861e-001
2.370555e+002	2.551575e-001
2.370602e+002	2.565918e-001
2.370648e+002	2.567139e-001
2.370695e+002	2.565308e-001
2.370741e+002	2.573242e-001
2.370788e+002	2.576294e-001
2.370835e+002	2.576294e-001
2.370881e+002	2.581177e-001
2.370928e+002	2.581177e-001
2.370975e+002	2.589417e-001
2.371021e+002	2.584534e-001
2.371068e+002	2.586365e-001
2.371114e+002	2.589417e-001
2.371161e+002	2.594910e-001
2.371208e+002	2.586060e-001
2.371254e+002	2.593689e-001
2.371301e+002	2.607422e-001
2.371348e+002	2.609253e-001
2.371394e+002	2.602234e-001
2.371441e+002	2.598572e-001
2.371487e+002	2.609863e-001
2.371534e+002	2.612915e-001
2.371581e+002	2.607727e-001
2.371627e+002	2.603760e-001
2.371674e+002	2.608948e-001
2.371720e+002	2.604065e-001
2.371767e+002	2.617493e-001
2.371814e+002	2.609558e-001
2.371860e+002	2.616882e-001
2.371907e+002	2.621155e-001
2.371954e+002	2.612610e-001
2.372000e+002	2.619934e-001
2.372047e+002	2.614441e-001
2.372093e+002	2.612000e-001
2.372140e+002	2.622681e-001
2.372187e+002	2.619934e-001
2.372233e+002	2.623291e-001
2.372280e+002	2.620544e-001
2.372327e+002	2.610168e-001
2.372373e+002	2.615967e-001
2.372420e+002	2.618103e-001
2.372466e+002	2.630920e-001
2.372513e+002	2.622681e-001
2.372560e+002	2.617798e-001
2.372606e+002	2.626648e-001
2.372653e+002	2.626648e-001
2.372700e+002	2.622986e-001
2.372746e+002	2.626648e-001
2.372793e+002	2.630310e-001
2.372839e+002	2.631531e-001
2.372886e+002	2.634277e-001
2.372933e+002	2.630310e-001
2.372979e+002	2.625122e-001
2.373026e+002	2.620850e-001
2.373073e+002	2.637024e-001
2.373119e+002	2.637329e-001
2.373166e+002	2.631531e-001
2.373212e+002	2.637634e-001
2.373259e+002	2.628784e-001
