    kHz         	 V
2.368650e+002	2.546997e-001
2.368696e+002	2.507629e-001
2.368743e+002	2.514343e-001
2.368790e+002	2.506409e-001
2.368836e+002	2.510681e-001
2.368883e+002	2.521057e-001
2.368929e+002	2.513123e-001
2.368976e+002	2.524414e-001
2.369023e+002	2.521057e-001
2.369069e+002	2.522888e-001
2.369116e+002	2.518921e-001
2.369162e+002	2.525330e-001
2.369209e+002	2.528381e-001
2.369256e+002	2.517395e-001
2.369302e+002	2.519226e-001
2.369349e+002	2.522888e-001
2.369395e+002	2.533875e-001
2.369442e+002	2.530518e-001
2.369489e+002	2.525330e-001
2.369535e+002	2.524719e-001
2.369582e+002	2.525330e-001
2.369629e+002	2.530823e-001
2.369675e+002	2.522583e-001
2.369722e+002	2.528687e-001
2.369768e+002	2.535400e-001
2.369815e+002	2.525024e-001
2.369862e+002	2.526550e-001
2.369908e+002	2.530823e-001
2.369955e+002	2.526245e-001
2.370002e+002	2.528381e-001
2.370048e+002	2.525635e-001
2.370095e+002	2.533569e-001
2.370141e+002	2.533264e-001
2.370188e+002	2.525330e-001
2.370235e+002	2.530212e-001
2.370281e+002	2.523193e-001
2.370328e+002	2.529297e-001
2.370374e+002	2.520447e-001
2.370421e+002	2.528076e-001
2.370468e+002	2.528381e-001
2.370514e+002	2.532349e-001
2.370561e+002	2.525330e-001
2.370608e+002	2.532654e-001
2.370654e+002	2.524719e-001
2.370701e+002	2.537842e-001
2.370747e+002	2.522583e-001
2.370794e+002	2.536011e-001
2.370841e+002	2.526245e-001
2.370887e+002	2.531433e-001
2.370934e+002	2.528992e-001
2.370980e+002	2.532654e-001
2.371027e+002	2.527466e-001
2.371074e+002	2.530212e-001
2.371120e+002	2.535706e-001
2.371167e+002	2.531738e-001
2.371213e+002	2.530212e-001
2.371260e+002	2.531128e-001
2.371307e+002	2.526550e-001
2.371353e+002	2.534485e-001
2.371400e+002	2.533875e-001
2.371447e+002	2.527466e-001
2.371493e+002	2.535706e-001
2.371540e+002	2.523193e-001
2.371586e+002	2.527771e-001
2.371633e+002	2.524109e-001
2.371680e+002	2.533875e-001
2.371726e+002	2.529602e-001
2.371773e+002	2.531128e-001
2.371819e+002	2.537537e-001
2.371866e+002	2.536926e-001
2.371913e+002	2.539673e-001
2.371959e+002	2.535706e-001
2.372006e+002	2.533875e-001
2.372053e+002	2.547302e-001
2.372099e+002	2.538757e-001
2.372146e+002	2.542419e-001
2.372192e+002	2.544250e-001
2.372239e+002	2.541504e-001
2.372286e+002	2.551270e-001
