X	Y
0	-14874180.000000000
1	-14884381.000000000
2	-14719501.000000000
3	-14590108.000000000
4	-14472518.000000000
5	-14349928.000000000
6	-14202604.000000000
7	-14089612.000000000
8	-14012771.000000000
9	-13931082.000000000
10	-13873056.000000000
11	-13822070.000000000
12	-13802372.000000000
13	-13802980.000000000
14	-13838089.000000000
15	-13858331.000000000
16	-13899331.000000000
17	-13950089.000000000
18	-14002334.000000000
19	-14038163.000000000
20	-14079294.000000000
21	-14123955.000000000
22	-14168817.000000000
23	-14203285.000000000
24	-14245745.000000000
25	-14278227.000000000
26	-14309303.000000000
27	-14333195.000000000
28	-14358484.000000000
29	-14378472.000000000
30	-14397396.000000000
31	-14409572.000000000
32	-14419700.000000000
33	-14427903.000000000
34	-14434158.000000000
35	-14441266.000000000
36	-14444255.000000000
37	-14442754.000000000
38	-14437504.000000000
39	-14435427.000000000
40	-14430682.000000000
41	-14440666.000000000
42	-14446172.000000000
43	-14453279.000000000
44	-14448334.000000000
45	-14450648.000000000
46	-14452953.000000000
47	-14452818.000000000
48	-14454053.000000000
49	-14457574.000000000
50	-14456226.000000000
51	-14456424.000000000
52	-14456879.000000000
53	-14456377.000000000
54	-14458434.000000000
55	-14454845.000000000
56	-14456698.000000000
57	-14455227.000000000
58	-14454465.000000000
59	-14447801.000000000
60	-14445174.000000000
61	-14443956.000000000
62	-14446004.000000000
63	-14443373.000000000
64	-14439892.000000000
65	-14424390.000000000
66	-14413695.000000000
67	-14405362.000000000
68	-14398372.000000000
69	-14403283.000000000
70	-14405954.000000000
71	-14410790.000000000
72	-14416363.000000000
73	-14415692.000000000
74	-14391449.000000000
75	-14349838.000000000
76	-14289735.000000000
77	-14197511.000000000
78	-14085474.000000000
79	-13958235.000000000
80	-13835714.000000000
81	-13710386.000000000
82	-13594006.000000000
83	-13492295.000000000
84	-13419081.000000000
85	-13363938.000000000
86	-13330699.000000000
87	-13318079.000000000
88	-13340269.000000000
89	-13384450.000000000
90	-13447238.000000000
91	-13494616.000000000
92	-13549854.000000000
93	-13622550.000000000
94	-13700139.000000000
95	-13778266.000000000
96	-13851296.000000000
97	-13916528.000000000
98	-13990520.000000000
99	-14053964.000000000
100	-14108660.000000000
101	-14155267.000000000
102	-14194585.000000000
103	-14232823.000000000
104	-14260781.000000000
105	-14280759.000000000
106	-14304065.000000000
107	-14331985.000000000
108	-14352204.000000000
109	-14376592.000000000
110	-14392924.000000000
111	-14408806.000000000
112	-14415283.000000000
113	-14423148.000000000
114	-14422842.000000000
115	-14423799.000000000
116	-14432207.000000000
117	-14436308.000000000
118	-14445871.000000000
119	-14445759.000000000
120	-14447939.000000000
121	-14450186.000000000
122	-14449797.000000000
123	-14450627.000000000
124	-14455508.000000000
125	-14458273.000000000
126	-14461034.000000000
127	-14460844.000000000
128	-14458774.000000000
129	-14457188.000000000
130	-14457330.000000000
131	-14458558.000000000
132	-14456503.000000000
133	-14453414.000000000
134	-14446231.000000000
135	-14443674.000000000
136	-14437670.000000000
137	-14433723.000000000
138	-14431490.000000000
139	-14426053.000000000
140	-14422189.000000000
141	-14422824.000000000
142	-14418054.000000000
143	-14408613.000000000
144	-14396958.000000000
145	-14387851.000000000
146	-14381623.000000000
147	-14379796.000000000
148	-14385149.000000000
149	-14390352.000000000
150	-14398170.000000000
151	-14386075.000000000
152	-14366121.000000000
153	-14345862.000000000
154	-14309522.000000000
155	-14225463.000000000
156	-14116965.000000000
157	-13995961.000000000
158	-13861472.000000000
159	-13742749.000000000
160	-13614018.000000000
161	-13503338.000000000
162	-13413997.000000000
163	-13357646.000000000
164	-13320909.000000000
165	-13301248.000000000
166	-13302309.000000000
167	-13327840.000000000
168	-13387763.000000000
169	-13450033.000000000
170	-13511232.000000000
171	-13581142.000000000
172	-13659372.000000000
173	-13730127.000000000
174	-13803935.000000000
175	-13877594.000000000
176	-13947109.000000000
177	-14016292.000000000
178	-14072110.000000000
179	-14125941.000000000
180	-14181764.000000000
181	-14228365.000000000
182	-14265873.000000000
183	-14300132.000000000
184	-14335223.000000000
185	-14363903.000000000
186	-14385914.000000000
187	-14411088.000000000
188	-14437475.000000000
189	-14463409.000000000
190	-14485386.000000000
191	-14506635.000000000
192	-14522651.000000000
193	-14527065.000000000
194	-14533550.000000000
195	-14533119.000000000
196	-14533388.000000000
197	-14537046.000000000
198	-14541481.000000000
199	-14546476.000000000
200	-14549633.000000000
201	-14554503.000000000
202	-14566099.000000000
203	-14569766.000000000
204	-14575467.000000000
205	-14578160.000000000
206	-14579832.000000000
207	-14578240.000000000
208	-14580848.000000000
209	-14588462.000000000
210	-14599598.000000000
211	-14601762.000000000
212	-14606099.000000000
213	-14607811.000000000
214	-14609843.000000000
215	-14615099.000000000
216	-14620372.000000000
217	-14624102.000000000
218	-14626927.000000000
219	-14622138.000000000
220	-14619382.000000000
221	-14619827.000000000
222	-14622843.000000000
223	-14616805.000000000
