X	Y
0	-12824759.000000000
1	-12644505.000000000
2	-12456466.000000000
3	-12349611.000000000
4	-12211626.000000000
5	-12134046.000000000
6	-12083684.000000000
7	-12027854.000000000
8	-11929709.000000000
9	-11865200.000000000
10	-11801349.000000000
11	-11778743.000000000
12	-11779298.000000000
13	-11786716.000000000
14	-11768167.000000000
15	-11747322.000000000
16	-11745497.000000000
17	-11740578.000000000
18	-11709166.000000000
19	-11714922.000000000
20	-11716071.000000000
21	-11687014.000000000
22	-11668511.000000000
23	-11652992.000000000
24	-11620795.000000000
25	-11576672.000000000
26	-11534146.000000000
27	-11492587.000000000
28	-11459540.000000000
29	-11433153.000000000
30	-11410404.000000000
31	-11387137.000000000
32	-11365821.000000000
33	-11343330.000000000
34	-11322459.000000000
35	-11301202.000000000
36	-11289653.000000000
37	-11276393.000000000
38	-11266316.000000000
39	-11269184.000000000
40	-11268994.000000000
41	-11268326.000000000
42	-11263757.000000000
43	-11261414.000000000
44	-11259105.000000000
45	-11254896.000000000
46	-11247105.000000000
47	-11244588.000000000
48	-11231907.000000000
49	-11220190.000000000
50	-11211637.000000000
51	-11189152.000000000
52	-11174052.000000000
53	-11173239.000000000
54	-11166061.000000000
55	-11148619.000000000
56	-11134469.000000000
57	-11089851.000000000
58	-11023113.000000000
59	-10937965.000000000
60	-10830857.000000000
61	-10710185.000000000
62	-10578978.000000000
63	-10426757.000000000
64	-10258525.000000000
65	-10094612.000000000
66	-9935515.000000000
67	-9802397.000000000
68	-9690939.000000000
69	-9594834.000000000
70	-9508332.000000000
71	-9464971.000000000
72	-9444062.000000000
73	-9449911.000000000
74	-9476509.000000000
75	-9534545.000000000
76	-9606430.000000000
77	-9691832.000000000
78	-9776595.000000000
79	-9869943.000000000
80	-9970329.000000000
81	-10071060.000000000
82	-10164859.000000000
83	-10253128.000000000
84	-10345515.000000000
85	-10422073.000000000
86	-10501808.000000000
87	-10573345.000000000
88	-10650829.000000000
89	-10726054.000000000
90	-10780671.000000000
91	-10827897.000000000
92	-10886929.000000000
93	-10946552.000000000
94	-11002365.000000000
95	-11049398.000000000
96	-11098650.000000000
97	-11142975.000000000
98	-11188193.000000000
99	-11233408.000000000
100	-11268117.000000000
101	-11307814.000000000
102	-11339432.000000000
103	-11364342.000000000
104	-11380913.000000000
105	-11392895.000000000
106	-11402352.000000000
107	-11408993.000000000
108	-11410973.000000000
109	-11412886.000000000
110	-11406111.000000000
111	-11403694.000000000
112	-11400998.000000000
113	-11399975.000000000
114	-11402010.000000000
115	-11410957.000000000
116	-11425880.000000000
117	-11445872.000000000
118	-11475030.000000000
119	-11489178.000000000
120	-11503822.000000000
121	-11518202.000000000
122	-11535621.000000000
123	-11546908.000000000
124	-11555620.000000000
125	-11552679.000000000
126	-11557215.000000000
127	-11560144.000000000
128	-11569514.000000000
129	-11573745.000000000
130	-11581806.000000000
131	-11589094.000000000
132	-11595135.000000000
133	-11605711.000000000
134	-11602488.000000000
135	-11598559.000000000
136	-11587282.000000000
137	-11553049.000000000
138	-11505582.000000000
139	-11434298.000000000
140	-11329584.000000000
141	-11211502.000000000
142	-11077722.000000000
143	-10924003.000000000
144	-10758300.000000000
145	-10602160.000000000
146	-10444100.000000000
147	-10302415.000000000
148	-10177105.000000000
149	-10081826.000000000
150	-10024256.000000000
151	-9992899.000000000
152	-9993597.000000000
153	-10017371.000000000
154	-10068010.000000000
155	-10149891.000000000
156	-10237258.000000000
157	-10330869.000000000
158	-10448011.000000000
159	-10565418.000000000
160	-10678982.000000000
161	-10792295.000000000
162	-10886426.000000000
163	-10992151.000000000
164	-11093904.000000000
165	-11186287.000000000
166	-11264175.000000000
167	-11344881.000000000
168	-11405775.000000000
169	-11473554.000000000
170	-11546332.000000000
171	-11615994.000000000
172	-11673414.000000000
173	-11751772.000000000
174	-11815127.000000000
175	-11892357.000000000
176	-11956407.000000000
177	-12023484.000000000
178	-12082419.000000000
179	-12146351.000000000
180	-12205680.000000000
181	-12264031.000000000
182	-12297583.000000000
183	-12331072.000000000
184	-12361976.000000000
185	-12396524.000000000
186	-12414877.000000000
187	-12431710.000000000
188	-12441568.000000000
189	-12453796.000000000
190	-12459933.000000000
191	-12470565.000000000
192	-12492111.000000000
193	-12503067.000000000
194	-12511078.000000000
195	-12509773.000000000
196	-12522493.000000000
197	-12546071.000000000
198	-12573600.000000000
199	-12597096.000000000
200	-12621615.000000000
201	-12645279.000000000
202	-12672882.000000000
203	-12687784.000000000
204	-12693036.000000000
205	-12694893.000000000
206	-12708203.000000000
207	-12716897.000000000
208	-12719769.000000000
209	-12717646.000000000
210	-12721771.000000000
211	-12727887.000000000
212	-12746845.000000000
213	-12773819.000000000
214	-12794608.000000000
215	-12809931.000000000
216	-12822026.000000000
217	-12840200.000000000
218	-12829580.000000000
219	-12800344.000000000
220	-12750780.000000000
221	-12663114.000000000
222	-12543248.000000000
223	-12399749.000000000
224	-12247843.000000000
225	-12085254.000000000
226	-11902625.000000000
227	-11734720.000000000
228	-11561754.000000000
229	-11410264.000000000
230	-11289432.000000000
231	-11196244.000000000
232	-11132935.000000000
233	-11100739.000000000
234	-11088362.000000000
235	-11113828.000000000
236	-11171799.000000000
237	-11269683.000000000
238	-11365604.000000000
239	-11482505.000000000
240	-11611901.000000000
241	-11748364.000000000
242	-11887745.000000000
243	-12022303.000000000
244	-12154622.000000000
245	-12276928.000000000
246	-12386949.000000000
247	-12475510.000000000
248	-12563502.000000000
249	-12646249.000000000
250	-12723003.000000000
251	-12786572.000000000
252	-12820165.000000000
253	-12869603.000000000
254	-12944477.000000000
255	-12994895.000000000
256	-13047279.000000000
257	-13096930.000000000
258	-13140690.000000000
259	-13192928.000000000
260	-13246535.000000000
261	-13303369.000000000
262	-13353576.000000000
263	-13386248.000000000
264	-13417591.000000000
265	-13453580.000000000
266	-13486867.000000000
267	-13521194.000000000
268	-13540289.000000000
269	-13553460.000000000
270	-13569271.000000000
271	-13582044.000000000
272	-13592674.000000000
273	-13592590.000000000
274	-13600786.000000000
275	-13608652.000000000
276	-13606180.000000000
277	-13607768.000000000
278	-13631753.000000000
279	-13657292.000000000
280	-13684362.000000000
281	-13713748.000000000
282	-13732806.000000000
283	-13760948.000000000
284	-13777704.000000000
285	-13794601.000000000
286	-13809206.000000000
287	-13819191.000000000
288	-13827415.000000000
289	-13828040.000000000
290	-13823749.000000000
291	-13815149.000000000
292	-13803490.000000000
293	-13795781.000000000
294	-13806740.000000000
295	-13809618.000000000
296	-13810128.000000000
297	-13818636.000000000
298	-13842028.000000000
299	-13863368.000000000
300	-13874961.000000000
301	-13869191.000000000
302	-13841410.000000000
303	-13781874.000000000
304	-13688405.000000000
305	-13573797.000000000
306	-13435764.000000000
307	-13282972.000000000
308	-13100307.000000000
309	-12905985.000000000
310	-12704069.000000000
311	-12528380.000000000
312	-12365377.000000000
313	-12201739.000000000
314	-12064213.000000000
315	-11955531.000000000
316	-11891825.000000000
317	-11856511.000000000
318	-11866021.000000000
319	-11909427.000000000
320	-11985409.000000000
321	-12086728.000000000
322	-12213037.000000000
323	-12332071.000000000
324	-12464106.000000000
325	-12603478.000000000
326	-12746809.000000000
327	-12871811.000000000
328	-12991935.000000000
329	-13105381.000000000
330	-13207792.000000000
331	-13302361.000000000
332	-13379423.000000000
333	-13450627.000000000
334	-13515381.000000000
335	-13567052.000000000
336	-13607248.000000000
337	-13649599.000000000
338	-13699186.000000000
339	-13750336.000000000
340	-13783929.000000000
341	-13815344.000000000
342	-13857119.000000000
