X	Y
0	-12990378.000000000
1	-12696476.000000000
2	-12464390.000000000
3	-12272508.000000000
4	-12094144.000000000
5	-11977348.000000000
6	-11854636.000000000
7	-11775062.000000000
8	-11710379.000000000
9	-11680036.000000000
10	-11610448.000000000
11	-11563206.000000000
12	-11546858.000000000
13	-11487633.000000000
14	-11441618.000000000
15	-11387422.000000000
16	-11308324.000000000
17	-11231863.000000000
18	-11126970.000000000
19	-11000720.000000000
20	-10834729.000000000
21	-10654373.000000000
22	-10483054.000000000
23	-10297955.000000000
24	-10129826.000000000
25	-9962433.000000000
26	-9815925.000000000
27	-9709907.000000000
28	-9641136.000000000
29	-9609459.000000000
30	-9583463.000000000
31	-9578945.000000000
32	-9617215.000000000
33	-9691285.000000000
34	-9751792.000000000
35	-9819590.000000000
36	-9874624.000000000
37	-9930965.000000000
38	-9985415.000000000
39	-10033477.000000000
40	-10080409.000000000
41	-10130452.000000000
42	-10190531.000000000
43	-10246490.000000000
44	-10300387.000000000
45	-10371529.000000000
46	-10424771.000000000
47	-10457307.000000000
48	-10460320.000000000
49	-10427161.000000000
50	-10362546.000000000
51	-10275277.000000000
52	-10169772.000000000
53	-10039050.000000000
54	-9906995.000000000
55	-9782458.000000000
56	-9654412.000000000
57	-9551585.000000000
58	-9467636.000000000
59	-9404569.000000000
60	-9357315.000000000
61	-9339186.000000000
62	-9359878.000000000
63	-9395462.000000000
64	-9455668.000000000
65	-9527048.000000000
66	-9597968.000000000
67	-9710006.000000000
68	-9813368.000000000
69	-9913430.000000000
70	-9999600.000000000
71	-10080286.000000000
72	-10159754.000000000
73	-10231714.000000000
74	-10284337.000000000
75	-10318636.000000000
76	-10349676.000000000
77	-10383741.000000000
78	-10405333.000000000
79	-10441677.000000000
80	-10480678.000000000
81	-10498202.000000000
82	-10511710.000000000
83	-10511446.000000000
84	-10518144.000000000
85	-10517946.000000000
86	-10516909.000000000
87	-10538529.000000000
88	-10572712.000000000
89	-10612864.000000000
90	-10650979.000000000
91	-10698409.000000000
92	-10728911.000000000
93	-10754909.000000000
94	-10761843.000000000
95	-10733570.000000000
96	-10680417.000000000
97	-10595403.000000000
98	-10479504.000000000
99	-10355537.000000000
100	-10217582.000000000
101	-10080896.000000000
102	-9950966.000000000
103	-9843076.000000000
104	-9743813.000000000
105	-9679138.000000000
106	-9637918.000000000
107	-9633105.000000000
108	-9650625.000000000
109	-9688628.000000000
110	-9757836.000000000
111	-9843952.000000000
112	-9931689.000000000
113	-10043710.000000000
114	-10145447.000000000
115	-10251117.000000000
116	-10336001.000000000
117	-10403076.000000000
118	-10479105.000000000
119	-10554640.000000000
120	-10623387.000000000
121	-10697812.000000000
122	-10773969.000000000
123	-10858430.000000000
124	-10952516.000000000
125	-11025456.000000000
126	-11069131.000000000
127	-11091203.000000000
128	-11084888.000000000
129	-11043828.000000000
130	-10965463.000000000
131	-10860044.000000000
132	-10747594.000000000
133	-10613017.000000000
134	-10489660.000000000
135	-10376965.000000000
136	-10276267.000000000
137	-10186841.000000000
138	-10139161.000000000
139	-10108497.000000000
140	-10093547.000000000
141	-10117164.000000000
142	-10168447.000000000
143	-10240683.000000000
144	-10324352.000000000
145	-10430610.000000000
146	-10536236.000000000
147	-10640316.000000000
148	-10755030.000000000
149	-10862262.000000000
150	-10960187.000000000
151	-11051820.000000000
152	-11141854.000000000
153	-11224763.000000000
154	-11293291.000000000
155	-11340674.000000000
156	-11381796.000000000
157	-11421559.000000000
158	-11470688.000000000
159	-11516881.000000000
160	-11544608.000000000
161	-11577256.000000000
162	-11611820.000000000
163	-11630049.000000000
164	-11648901.000000000
165	-11667809.000000000
166	-11687557.000000000
167	-11714490.000000000
168	-11756923.000000000
169	-11810041.000000000
170	-11869140.000000000
171	-11928695.000000000
172	-11982210.000000000
173	-12027347.000000000
174	-12054793.000000000
175	-12044132.000000000
176	-11996533.000000000
177	-11913247.000000000
178	-11812090.000000000
179	-11690536.000000000
180	-11553215.000000000
181	-11421009.000000000
182	-11302646.000000000
183	-11209876.000000000
184	-11127035.000000000
185	-11056869.000000000
186	-11027020.000000000
187	-11014742.000000000
188	-11031396.000000000
189	-11078145.000000000
190	-11154890.000000000
191	-11252224.000000000
192	-11341776.000000000
193	-11459645.000000000
194	-11563538.000000000
195	-11679111.000000000
196	-11790377.000000000
197	-11886729.000000000
198	-11990998.000000000
199	-12064164.000000000
200	-12164527.000000000
201	-12247933.000000000
202	-12333925.000000000
203	-12414149.000000000
204	-12501862.000000000
205	-12577984.000000000
206	-12644882.000000000
207	-12690296.000000000
208	-12718484.000000000
209	-12717466.000000000
210	-12677077.000000000
211	-12586803.000000000
212	-12486769.000000000
213	-12359127.000000000
214	-12222651.000000000
215	-12093429.000000000
216	-11960435.000000000
217	-11837995.000000000
218	-11715753.000000000
219	-11639874.000000000
220	-11596883.000000000
221	-11587421.000000000
222	-11595226.000000000
223	-11643161.000000000
224	-11723353.000000000
225	-11809065.000000000
226	-11909218.000000000
227	-12038667.000000000
228	-12166482.000000000
229	-12300610.000000000
230	-12431529.000000000
231	-12544771.000000000
232	-12656610.000000000
233	-12740366.000000000
234	-12803683.000000000
235	-12868050.000000000
236	-12917658.000000000
237	-12973046.000000000
238	-13023097.000000000
239	-13060654.000000000
240	-13100118.000000000
241	-13134943.000000000
242	-13162056.000000000
243	-13173198.000000000
244	-13181470.000000000
245	-13193937.000000000
246	-13204060.000000000
247	-13193616.000000000
248	-13203049.000000000
249	-13228904.000000000
250	-13266744.000000000
251	-13292540.000000000
252	-13336839.000000000
253	-13393385.000000000
254	-13432379.000000000
255	-13472556.000000000
256	-13480050.000000000
257	-13461728.000000000
258	-13422663.000000000
259	-13355429.000000000
260	-13248554.000000000
261	-13125631.000000000
262	-12995482.000000000
263	-12865600.000000000
264	-12739877.000000000
265	-12622936.000000000
266	-12515587.000000000
267	-12428034.000000000
268	-12358170.000000000
269	-12319067.000000000
270	-12310931.000000000
271	-12348898.000000000
272	-12417635.000000000
273	-12497481.000000000
274	-12563021.000000000
275	-12657011.000000000
276	-12773607.000000000
277	-12862120.000000000
278	-12956586.000000000
279	-13044714.000000000
280	-13130166.000000000
281	-13198665.000000000
282	-13274197.000000000
283	-13344524.000000000
284	-13423948.000000000
285	-13502295.000000000
286	-13581358.000000000
287	-13646350.000000000
288	-13721965.000000000
289	-13776915.000000000
290	-13809313.000000000
291	-13820769.000000000
292	-13786388.000000000
293	-13727424.000000000
294	-13631114.000000000
295	-13506593.000000000
296	-13360113.000000000
297	-13226012.000000000
298	-13071083.000000000
299	-12934593.000000000
300	-12805111.000000000
301	-12691225.000000000
302	-12591303.000000000
303	-12532617.000000000
304	-12500384.000000000
305	-12491776.000000000
306	-12508002.000000000
307	-12571432.000000000
308	-12645456.000000000
309	-12730587.000000000
310	-12831130.000000000
311	-12933282.000000000
312	-13036827.000000000
313	-13157650.000000000
314	-13264357.000000000
315	-13362419.000000000
316	-13468488.000000000
317	-13553600.000000000
318	-13628223.000000000
319	-13687054.000000000
320	-13730124.000000000
321	-13774183.000000000
322	-13799404.000000000
323	-13825927.000000000
324	-13849370.000000000
325	-13872498.000000000
326	-13893707.000000000
327	-13907770.000000000
328	-13920627.000000000
329	-13918112.000000000
330	-13917796.000000000
331	-13919713.000000000
332	-13908804.000000000
333	-13903796.000000000
334	-13911647.000000000
335	-13930655.000000000
336	-13946906.000000000
337	-13982329.000000000
338	-14015170.000000000
339	-14038032.000000000
340	-14036881.000000000
341	-14020077.000000000
342	-13981705.000000000
343	-13895513.000000000
344	-13763578.000000000
345	-13618901.000000000
346	-13464984.000000000
347	-13304819.000000000
348	-13147728.000000000
349	-13007382.000000000
350	-12881295.000000000
351	-12772726.000000000
352	-12698336.000000000
353	-12657489.000000000
354	-12640080.000000000
355	-12656004.000000000
356	-12696148.000000000
357	-12755689.000000000
358	-12825487.000000000
359	-12910689.000000000
360	-13020595.000000000
361	-13140704.000000000
362	-13246450.000000000
363	-13344570.000000000
364	-13432835.000000000
365	-13526557.000000000
366	-13599242.000000000
367	-13655577.000000000
368	-13713271.000000000
369	-13782079.000000000
370	-13847823.000000000
371	-13902634.000000000
372	-13966063.000000000
373	-14024416.000000000
374	-14068572.000000000
375	-14094362.000000000
376	-14087352.000000000
377	-14045061.000000000
378	-13985179.000000000
379	-13883401.000000000
380	-13757176.000000000
381	-13601079.000000000
382	-13439914.000000000
383	-13281485.000000000
384	-13125620.000000000
385	-12966747.000000000
386	-12837791.000000000
387	-12735932.000000000
388	-12652989.000000000
389	-12607800.000000000
390	-12593041.000000000
391	-12609066.000000000
392	-12650193.000000000
393	-12719539.000000000
394	-12799449.000000000
395	-12892727.000000000
396	-12997645.000000000
397	-13103853.000000000
398	-13230706.000000000
399	-13347344.000000000
400	-13469069.000000000
401	-13570488.000000000
402	-13661370.000000000
403	-13738709.000000000
404	-13814293.000000000
405	-13875507.000000000
406	-13931653.000000000
407	-13946569.000000000
408	-13964333.000000000
409	-13984311.000000000
410	-14006778.000000000
411	-14015788.000000000
412	-14028688.000000000
413	-14040281.000000000
414	-14049440.000000000
415	-14045706.000000000
416	-14036421.000000000
417	-14042273.000000000
418	-14041720.000000000
419	-14036827.000000000
420	-14048281.000000000
421	-14042713.000000000
422	-14064092.000000000
423	-14092199.000000000
424	-14121640.000000000
425	-14150100.000000000
426	-14164408.000000000
427	-14156203.000000000
428	-14113439.000000000
429	-14037095.000000000
430	-13917867.000000000
431	-13775328.000000000
432	-13614548.000000000
433	-13462216.000000000
434	-13309936.000000000
435	-13148113.000000000
436	-13000341.000000000
437	-12889734.000000000
438	-12798310.000000000
439	-12733742.000000000
440	-12698345.000000000
441	-12685098.000000000
442	-12708025.000000000
443	-12754524.000000000
444	-12819302.000000000
445	-12909449.000000000
446	-13000753.000000000
447	-13107482.000000000
448	-13228310.000000000
449	-13356844.000000000
450	-13480143.000000000
451	-13578584.000000000
452	-13660538.000000000
453	-13731016.000000000
454	-13795621.000000000
455	-13861929.000000000
456	-13934760.000000000
457	-13998490.000000000
458	-14058265.000000000
459	-14105633.000000000
460	-14157955.000000000
461	-14193961.000000000
462	-14203666.000000000
463	-14201682.000000000
464	-14183401.000000000
465	-14124099.000000000
466	-14028557.000000000
467	-13900389.000000000
468	-13754936.000000000
469	-13598555.000000000
470	-13427212.000000000
471	-13264024.000000000
472	-13092337.000000000
473	-12955585.000000000
474	-12838104.000000000
475	-12750553.000000000
476	-12694350.000000000
477	-12670961.000000000
478	-12668348.000000000
479	-12690528.000000000
480	-12731222.000000000
481	-12801810.000000000
482	-12898626.000000000
483	-12995675.000000000
484	-13113514.000000000
485	-13223618.000000000
486	-13343820.000000000
487	-13456645.000000000
488	-13575906.000000000
489	-13690808.000000000
490	-13788230.000000000
491	-13873403.000000000
492	-13950121.000000000
493	-14013095.000000000
