X	Y
0	-16444738.000000000
1	-16479533.000000000
2	-16496403.000000000
3	-16496049.000000000
4	-16499643.000000000
5	-16495903.000000000
6	-16493831.000000000
7	-16495573.000000000
8	-16515187.000000000
9	-16506791.000000000
10	-16491211.000000000
11	-16480545.000000000
12	-16473588.000000000
13	-16481740.000000000
14	-16490383.000000000
15	-16501328.000000000
16	-16519276.000000000
17	-16516146.000000000
18	-16517843.000000000
19	-16523401.000000000
20	-16521738.000000000
21	-16515675.000000000
22	-16502571.000000000
23	-16503348.000000000
24	-16520360.000000000
25	-16522790.000000000
26	-16520277.000000000
27	-16509432.000000000
28	-16506884.000000000
29	-16508450.000000000
30	-16506787.000000000
31	-16499241.000000000
32	-16492673.000000000
33	-16488893.000000000
34	-16510005.000000000
35	-16509798.000000000
36	-16508316.000000000
37	-16503677.000000000
38	-16505017.000000000
39	-16504895.000000000
40	-16503034.000000000
41	-16505536.000000000
42	-16517614.000000000
43	-16517235.000000000
44	-16518715.000000000
45	-16519212.000000000
46	-16508351.000000000
47	-16506926.000000000
48	-16497720.000000000
49	-16507401.000000000
50	-16504013.000000000
51	-16507064.000000000
52	-16505309.000000000
53	-16507032.000000000
54	-16507514.000000000
55	-16511423.000000000
56	-16521219.000000000
57	-16507473.000000000
58	-16499514.000000000
59	-16502324.000000000
60	-16503739.000000000
61	-16490127.000000000
62	-16493641.000000000
63	-16504242.000000000
64	-16500354.000000000
65	-16492229.000000000
66	-16499567.000000000
67	-16488689.000000000
68	-16479227.000000000
69	-16469652.000000000
70	-16460006.000000000
71	-16446272.000000000
72	-16438995.000000000
73	-16462123.000000000
74	-16468162.000000000
75	-16481380.000000000
76	-16477384.000000000
77	-16477197.000000000
78	-16487365.000000000
79	-16484286.000000000
80	-16492155.000000000
81	-16480580.000000000
82	-16481465.000000000
83	-16496060.000000000
84	-16500773.000000000
85	-16499662.000000000
86	-16494600.000000000
87	-16490557.000000000
88	-16493785.000000000
89	-16487693.000000000
90	-16485607.000000000
91	-16489348.000000000
92	-16476635.000000000
93	-16468032.000000000
94	-16466689.000000000
95	-16474201.000000000
96	-16472565.000000000
97	-16450924.000000000
98	-16437070.000000000
99	-16432321.000000000
100	-16430390.000000000
101	-16443616.000000000
102	-16442377.000000000
103	-16443442.000000000
104	-16459540.000000000
105	-16464422.000000000
106	-16457806.000000000
107	-16457996.000000000
108	-16446279.000000000
109	-16431710.000000000
110	-16425560.000000000
111	-16429880.000000000
112	-16406442.000000000
113	-16383766.000000000
114	-16386094.000000000
115	-16357573.000000000
116	-16210227.000000000
117	-15885094.000000000
118	-15334459.000000000
119	-14509760.000000000
120	-13472949.000000000
121	-12447445.000000000
122	-11608665.000000000
123	-11033432.000000000
124	-10771021.000000000
125	-10765256.000000000
126	-10987474.000000000
127	-11429999.000000000
128	-12037797.000000000
129	-12777579.000000000
130	-13568011.000000000
131	-14323823.000000000
132	-14959120.000000000
133	-15447883.000000000
134	-15810743.000000000
135	-16045409.000000000
136	-16168852.000000000
137	-16245943.000000000
138	-16244463.000000000
139	-16236607.000000000
140	-16246718.000000000
141	-16297971.000000000
142	-16347141.000000000
143	-16363410.000000000
144	-16395005.000000000
145	-16399796.000000000
146	-16404364.000000000
147	-16394486.000000000
148	-16408914.000000000
149	-16421644.000000000
150	-16418474.000000000
151	-16417513.000000000
152	-16438010.000000000
153	-16434790.000000000
154	-16447930.000000000
155	-16453639.000000000
156	-16467250.000000000
157	-16462886.000000000
158	-16445154.000000000
159	-16430520.000000000
160	-16439843.000000000
161	-16438299.000000000
162	-16446752.000000000
163	-16459952.000000000
164	-16451604.000000000
165	-16458678.000000000
166	-16470507.000000000
167	-16471328.000000000
168	-16453143.000000000
169	-16460176.000000000
170	-16458570.000000000
171	-16459472.000000000
172	-16465421.000000000
173	-16461241.000000000
174	-16458115.000000000
175	-16465803.000000000
176	-16453845.000000000
177	-16451882.000000000
178	-16458721.000000000
179	-16453388.000000000
180	-16453160.000000000
181	-16466905.000000000
182	-16474244.000000000
183	-16471415.000000000
184	-16464412.000000000
185	-16458417.000000000
186	-16461402.000000000
187	-16473088.000000000
188	-16480111.000000000
189	-16486897.000000000
190	-16480113.000000000
191	-16475200.000000000
192	-16466715.000000000
193	-16484447.000000000
194	-16478720.000000000
195	-16461706.000000000
196	-16460977.000000000
197	-16463021.000000000
198	-16461462.000000000
199	-16451161.000000000
200	-16446065.000000000
201	-16436896.000000000
202	-16440832.000000000
203	-16445375.000000000
204	-16459034.000000000
205	-16452164.000000000
206	-16444304.000000000
207	-16429770.000000000
208	-16430711.000000000
209	-16434475.000000000
210	-16434442.000000000
211	-16434910.000000000
212	-16441436.000000000
213	-16443674.000000000
214	-16448045.000000000
215	-16452015.000000000
216	-16450190.000000000
217	-16452199.000000000
218	-16450492.000000000
219	-16432006.000000000
220	-16442354.000000000
221	-16444469.000000000
222	-16424153.000000000
223	-16422159.000000000
224	-16425601.000000000
225	-16439492.000000000
226	-16433448.000000000
227	-16424525.000000000
228	-16437232.000000000
229	-16439373.000000000
230	-16434823.000000000
231	-16419205.000000000
232	-16420535.000000000
233	-16428990.000000000
234	-16420542.000000000
235	-16378010.000000000
236	-16372565.000000000
237	-16396227.000000000
238	-16408380.000000000
239	-16410547.000000000
240	-16378339.000000000
241	-16383166.000000000
242	-16390830.000000000
243	-16391978.000000000
244	-16397779.000000000
245	-16400256.000000000
246	-16418640.000000000
247	-16411754.000000000
248	-16398858.000000000
249	-16392214.000000000
250	-16390743.000000000
251	-16387990.000000000
252	-16377740.000000000
253	-16358550.000000000
254	-16363131.000000000
255	-16389473.000000000
256	-16398664.000000000
257	-16389659.000000000
258	-16384987.000000000
259	-16386221.000000000
260	-16380862.000000000
261	-16383603.000000000
262	-16390671.000000000
263	-16389442.000000000
264	-16378258.000000000
265	-16370633.000000000
266	-16386340.000000000
267	-16382059.000000000
268	-16385217.000000000
269	-16378439.000000000
270	-16369763.000000000
271	-16352122.000000000
272	-16357124.000000000
273	-16372770.000000000
274	-16383297.000000000
275	-16391309.000000000
276	-16394694.000000000
277	-16398159.000000000
278	-16391068.000000000
279	-16387656.000000000
280	-16394263.000000000
281	-16411331.000000000
282	-16400093.000000000
283	-16379647.000000000
284	-16386203.000000000
285	-16395056.000000000
286	-16399613.000000000
287	-16407753.000000000
288	-16412830.000000000
289	-16411084.000000000
290	-16402546.000000000
291	-16415914.000000000
292	-16407122.000000000
293	-16406210.000000000
294	-16410092.000000000
295	-16412837.000000000
296	-16397052.000000000
297	-16398703.000000000
298	-16406272.000000000
299	-16421941.000000000
300	-16409876.000000000
301	-16405177.000000000
302	-16401735.000000000
303	-16403865.000000000
304	-16428954.000000000
305	-16431526.000000000
306	-16424027.000000000
307	-16435557.000000000
308	-16439104.000000000
309	-16438383.000000000
310	-16428310.000000000
311	-16411926.000000000
312	-16408981.000000000
313	-16414302.000000000
314	-16409687.000000000
315	-16411085.000000000
316	-16413036.000000000
317	-16412411.000000000
318	-16402136.000000000
319	-16407776.000000000
320	-16406625.000000000
321	-16415961.000000000
322	-16415969.000000000
323	-16405616.000000000
324	-16396964.000000000
325	-16401792.000000000
326	-16405287.000000000
327	-16416215.000000000
328	-16417273.000000000
329	-16413807.000000000
330	-16419966.000000000
331	-16422974.000000000
332	-16429478.000000000
333	-16425857.000000000
334	-16411378.000000000
335	-16408995.000000000
336	-16422354.000000000
337	-16410764.000000000
338	-16408385.000000000
339	-16405575.000000000
340	-16399200.000000000
341	-16398616.000000000
342	-16391294.000000000
343	-16390971.000000000
344	-16400162.000000000
345	-16410961.000000000
346	-16404087.000000000
347	-16403464.000000000
348	-16406391.000000000
349	-16394193.000000000
350	-16387273.000000000
351	-16389917.000000000
352	-16377182.000000000
353	-16368690.000000000
354	-16361608.000000000
355	-16352885.000000000
356	-16350093.000000000
357	-16342182.000000000
358	-16339431.000000000
359	-16338239.000000000
360	-16335759.000000000
361	-16303207.000000000
362	-16280498.000000000
363	-16274974.000000000
364	-16266955.000000000
365	-16266602.000000000
366	-16254997.000000000
367	-16254055.000000000
368	-16246100.000000000
369	-16252778.000000000
370	-16268600.000000000
371	-16267980.000000000
372	-16260811.000000000
373	-16258048.000000000
374	-16228731.000000000
375	-16210045.000000000
376	-16198727.000000000
377	-16174014.000000000
378	-16144710.000000000
379	-16130309.000000000
380	-16103778.000000000
381	-16092059.000000000
382	-16089294.000000000
383	-16085711.000000000
384	-16089579.000000000
385	-16096969.000000000
386	-16094171.000000000
387	-16082792.000000000
388	-16067998.000000000
