X	Y
0	-16600748.000000000
1	-16618060.000000000
2	-16630523.000000000
3	-16650120.000000000
4	-16664769.000000000
5	-16667789.000000000
6	-16667403.000000000
7	-16657059.000000000
8	-16648256.000000000
9	-16648770.000000000
10	-16648192.000000000
11	-16647935.000000000
12	-16646264.000000000
13	-16646329.000000000
14	-16647999.000000000
15	-16648642.000000000
16	-16648329.000000000
17	-16650192.000000000
18	-16648586.000000000
19	-16648518.000000000
20	-16646658.000000000
21	-16646594.000000000
22	-16645952.000000000
23	-16645758.000000000
24	-16646273.000000000
25	-16646529.000000000
26	-16647558.000000000
27	-16648457.000000000
28	-16648586.000000000
29	-16649228.000000000
30	-16648971.000000000
31	-16648843.000000000
32	-16647232.000000000
33	-16649156.000000000
34	-16647674.000000000
35	-16649156.000000000
36	-16648192.000000000
37	-16646714.000000000
38	-16647678.000000000
39	-16646200.000000000
40	-16647936.000000000
41	-16648514.000000000
42	-16648449.000000000
43	-16648256.000000000
44	-16648128.000000000
45	-16647357.000000000
46	-16646714.000000000
47	-16646139.000000000
48	-16648706.000000000
49	-16648706.000000000
50	-16648192.000000000
51	-16648963.000000000
52	-16648706.000000000
53	-16650248.000000000
54	-16651019.000000000
55	-16651790.000000000
56	-16651598.000000000
57	-16652626.000000000
58	-16651533.000000000
59	-16650312.000000000
60	-16648642.000000000
61	-16647357.000000000
62	-16648770.000000000
63	-16649220.000000000
64	-16650385.000000000
65	-16648650.000000000
66	-16647879.000000000
67	-16647301.000000000
68	-16646144.000000000
69	-16645180.000000000
70	-16644409.000000000
71	-16644088.000000000
72	-16645116.000000000
73	-16647558.000000000
74	-16648072.000000000
75	-16648907.000000000
76	-16647429.000000000
77	-16646273.000000000
78	-16647301.000000000
79	-16648521.000000000
80	-16650129.000000000
81	-16647876.000000000
82	-16646981.000000000
83	-16646146.000000000
84	-16645632.000000000
85	-16646467.000000000
86	-16647366.000000000
87	-16648201.000000000
88	-16648008.000000000
89	-16649872.000000000
90	-16649487.000000000
91	-16649230.000000000
92	-16648845.000000000
93	-16649101.000000000
94	-16650004.000000000
95	-16650065.000000000
96	-16651156.000000000
97	-16651413.000000000
98	-16649100.000000000
99	-16649357.000000000
100	-16648457.000000000
101	-16648007.000000000
102	-16648907.000000000
103	-16648393.000000000
104	-16646979.000000000
105	-16648843.000000000
106	-16649614.000000000
107	-16649614.000000000
108	-16649228.000000000
109	-16648457.000000000
110	-16649228.000000000
111	-16648586.000000000
112	-16645008.000000000
113	-16648977.000000000
114	-16660526.000000000
115	-16647378.000000000
116	-16631389.000000000
117	-16575742.000000000
118	-16499688.000000000
119	-16416536.000000000
120	-16344724.000000000
121	-16314611.000000000
122	-16252870.000000000
123	-16229351.000000000
124	-16236447.000000000
125	-16265752.000000000
126	-16258262.000000000
127	-16320966.000000000
128	-16408312.000000000
129	-16516000.000000000
130	-16591921.000000000
131	-16630450.000000000
132	-16643362.000000000
133	-16647409.000000000
134	-16661657.000000000
135	-16650079.000000000
136	-16649814.000000000
137	-16646344.000000000
138	-16659364.000000000
139	-16663078.000000000
140	-16665512.000000000
141	-16666090.000000000
142	-16674276.000000000
143	-16674193.000000000
144	-16650992.000000000
145	-16648184.000000000
146	-16648324.000000000
147	-16649030.000000000
148	-16649030.000000000
149	-16648260.000000000
150	-16646907.000000000
151	-16646136.000000000
152	-16648899.000000000
153	-16650634.000000000
154	-16649991.000000000
155	-16648192.000000000
156	-16646007.000000000
157	-16647036.000000000
158	-16649091.000000000
159	-16651148.000000000
