X	Y
0	-2489780.500000000
1	-2194207.750000000
2	-1977497.250000000
3	-1775677.500000000
4	-1621229.625000000
5	-1502033.500000000
6	-1382199.000000000
7	-1200328.000000000
8	-1030510.250000000
9	-880961.562500000
10	-749739.375000000
11	-637377.187500000
12	-541668.312500000
13	-464807.968750000
14	-389208.781250000
15	-340484.000000000
16	-299095.625000000
17	-289765.250000000
18	-287154.531250000
19	-292674.468750000
20	-304401.281250000
21	-316060.968750000
22	-349948.937500000
23	-394372.812500000
24	-461115.875000000
25	-562627.062500000
26	-669075.625000000
27	-798716.000000000
28	-944414.000000000
29	-1123136.000000000
30	-1310558.875000000
31	-1522377.625000000
32	-1748823.750000000
33	-1962184.250000000
34	-2175080.750000000
35	-2407893.500000000
36	-2639432.000000000
37	-2869026.250000000
38	-3103575.750000000
39	-3331729.500000000
40	-3574825.750000000
41	-3795106.750000000
42	-4017724.000000000
43	-4226763.500000000
44	-4435432.000000000
45	-4648349.000000000
46	-4854692.000000000
47	-5034280.500000000
48	-5128416.000000000
49	-5227301.000000000
50	-5320562.000000000
51	-5387869.500000000
52	-5464364.000000000
53	-5528975.500000000
54	-5587435.500000000
55	-5638181.500000000
56	-5679377.000000000
57	-5715295.500000000
58	-5751791.000000000
59	-5787886.000000000
60	-5806943.500000000
61	-5808222.000000000
62	-5800587.000000000
63	-5790092.500000000
64	-5776817.500000000
65	-5780959.000000000
66	-5797726.000000000
67	-5844075.500000000
68	-5892418.500000000
69	-5971186.500000000
70	-6050958.500000000
71	-6142702.000000000
72	-6219352.000000000
73	-6270280.000000000
74	-6295120.000000000
75	-6296411.000000000
76	-6267711.000000000
77	-6212785.500000000
78	-6139564.000000000
79	-6065529.500000000
80	-5986825.000000000
81	-5906858.000000000
82	-5832196.500000000
83	-5771466.000000000
84	-5730967.500000000
85	-5725777.500000000
86	-5741285.000000000
87	-5789558.500000000
88	-5850481.000000000
89	-5938509.500000000
90	-6036108.500000000
91	-6148531.000000000
92	-6253529.500000000
93	-6375047.000000000
94	-6489351.500000000
95	-6597628.000000000
96	-6698654.000000000
97	-6781701.500000000
98	-6850345.000000000
99	-6916825.500000000
100	-6970191.000000000
101	-7020211.500000000
102	-7065333.000000000
103	-7097671.500000000
104	-7125706.500000000
105	-7165531.000000000
106	-7198605.000000000
107	-7239247.000000000
108	-7282148.500000000
109	-7344192.000000000
110	-7408616.000000000
111	-7461621.500000000
112	-7507651.000000000
113	-7560575.500000000
114	-7597888.500000000
115	-7639089.500000000
116	-7685177.500000000
117	-7738126.000000000
118	-7794314.000000000
119	-7849651.000000000
120	-7895476.000000000
121	-7953125.500000000
122	-7991660.500000000
123	-8019190.500000000
124	-8028202.500000000
125	-8024691.000000000
126	-8024374.000000000
127	-8010394.000000000
128	-7993145.500000000
129	-7976660.500000000
130	-7950710.000000000
131	-7903678.000000000
132	-7845835.500000000
133	-7776554.000000000
134	-7700860.000000000
135	-7646371.000000000
136	-7606704.500000000
137	-7584886.000000000
138	-7594613.500000000
139	-7635088.500000000
140	-7687152.000000000
141	-7740716.000000000
142	-7788024.500000000
143	-7825546.500000000
144	-7849083.500000000
145	-7857849.000000000
146	-7834759.500000000
147	-7776976.000000000
148	-7688604.500000000
149	-7595734.000000000
150	-7474882.000000000
151	-7356192.000000000
152	-7241348.500000000
153	-7125196.500000000
154	-7022592.500000000
155	-6945821.000000000
156	-6891162.500000000
157	-6866386.000000000
158	-6875940.500000000
159	-6908427.500000000
160	-6978713.500000000
161	-7072175.000000000
162	-7166517.000000000
163	-7280480.000000000
164	-7410881.500000000
165	-7535765.500000000
166	-7644898.000000000
167	-7746788.500000000
168	-7830668.500000000
169	-7896888.500000000
170	-7958891.000000000
171	-8010230.500000000
172	-8045854.000000000
173	-8067883.500000000
174	-8085191.000000000
175	-8098066.000000000
176	-8111297.500000000
177	-8124857.000000000
178	-8145072.000000000
179	-8174336.000000000
180	-8207762.500000000
181	-8243738.500000000
182	-8271874.000000000
183	-8323080.500000000
184	-8378945.000000000
185	-8427155.000000000
186	-8474682.000000000
187	-8522695.000000000
188	-8561688.000000000
189	-8599753.000000000
190	-8635110.000000000
191	-8679269.000000000
192	-8721586.000000000
193	-8762750.000000000
194	-8807796.000000000
195	-8840247.000000000
196	-8865610.000000000
197	-8887725.000000000
198	-8880452.000000000
199	-8875597.000000000
200	-8842265.000000000
201	-8802723.000000000
202	-8748965.000000000
203	-8695728.000000000
204	-8632872.000000000
205	-8554947.000000000
206	-8485344.000000000
207	-8414542.000000000
208	-8349100.000000000
209	-8286219.000000000
210	-8239541.500000000
211	-8201995.000000000
212	-8180570.500000000
213	-8180521.500000000
214	-8185384.000000000
215	-8197792.000000000
216	-8207619.000000000
217	-8209992.500000000
218	-8185083.000000000
219	-8149865.500000000
220	-8102972.500000000
221	-8007669.000000000
222	-7895485.500000000
223	-7754302.500000000
224	-7616245.500000000
225	-7478010.500000000
226	-7343753.500000000
227	-7219192.000000000
228	-7109224.000000000
229	-7034764.000000000
230	-6984864.000000000
231	-6975633.000000000
232	-6979748.000000000
233	-7015558.500000000
234	-7070580.000000000
235	-7142561.500000000
236	-7240265.500000000
237	-7358645.500000000
238	-7472361.500000000
239	-7592625.000000000
240	-7687163.500000000
241	-7775422.500000000
242	-7847051.000000000
243	-7906941.000000000
244	-7945734.500000000
245	-7978530.000000000
246	-7983996.000000000
247	-7986926.500000000
248	-7977671.000000000
249	-7964605.500000000
250	-7953330.500000000
251	-7942386.500000000
252	-7928223.000000000
253	-7914988.500000000
254	-7921662.500000000
255	-7939667.500000000
256	-7966246.500000000
257	-7998307.000000000
258	-8042615.500000000
259	-8079674.000000000
260	-8139709.500000000
261	-8190965.000000000
262	-8238326.500000000
263	-8296765.000000000
264	-8345100.000000000
265	-8394906.000000000
266	-8452055.000000000
267	-8523239.000000000
268	-8588028.000000000
269	-8643673.000000000
270	-8680124.000000000
271	-8688514.000000000
272	-8687297.000000000
273	-8666791.000000000
274	-8626552.000000000
275	-8575233.000000000
276	-8512098.000000000
277	-8444586.000000000
278	-8375752.500000000
279	-8265767.000000000
280	-8150044.000000000
281	-8032613.000000000
282	-7921023.000000000
283	-7807077.000000000
284	-7711927.000000000
285	-7632478.500000000
286	-7582060.500000000
287	-7572197.000000000
288	-7603981.000000000
289	-7652075.000000000
290	-7699482.500000000
291	-7716436.000000000
292	-7729879.000000000
293	-7725597.000000000
294	-7679354.500000000
295	-7588401.000000000
296	-7460092.500000000
297	-7315738.500000000
298	-7143085.500000000
299	-6958067.500000000
300	-6797445.500000000
301	-6639816.500000000
302	-6498557.500000000
303	-6386096.500000000
304	-6297959.500000000
305	-6238291.000000000
306	-6236681.500000000
307	-6263155.000000000
308	-6361488.500000000
309	-6480952.000000000
310	-6618346.500000000
311	-6789632.000000000
312	-6949991.000000000
313	-7108845.000000000
314	-7245570.000000000
315	-7351256.500000000
316	-7432557.500000000
317	-7496858.500000000
318	-7536513.000000000
319	-7549943.500000000
320	-7539534.000000000
321	-7513182.000000000
322	-7474949.500000000
323	-7444404.500000000
324	-7409068.000000000
325	-7401895.000000000
326	-7404601.500000000
327	-7425096.500000000
328	-7448071.500000000
329	-7484726.500000000
330	-7544513.000000000
331	-7618002.000000000
332	-7701375.500000000
333	-7789645.000000000
334	-7876135.500000000
335	-7958608.000000000
336	-8033820.500000000
337	-8120685.000000000
338	-8211735.000000000
339	-8314936.000000000
340	-8420890.000000000
341	-8517448.000000000
342	-8610940.000000000
343	-8676963.000000000
344	-8731315.000000000
345	-8743742.000000000
346	-8721773.000000000
347	-8674088.000000000
348	-8611933.000000000
349	-8529935.000000000
350	-8439382.000000000
351	-8339392.000000000
352	-8228500.000000000
353	-8092968.000000000
354	-7933687.500000000
355	-7780732.500000000
356	-7641973.000000000
357	-7526369.000000000
358	-7441869.000000000
359	-7409936.500000000
360	-7425316.500000000
361	-7480036.000000000
362	-7568301.500000000
363	-7690004.000000000
364	-7795579.500000000
365	-7877215.500000000
366	-7913500.500000000
367	-7904512.000000000
368	-7830503.500000000
369	-7709233.000000000
370	-7539061.000000000
371	-7342420.000000000
372	-7145289.000000000
373	-6941161.000000000
374	-6752884.500000000
375	-6586004.500000000
376	-6444627.500000000
377	-6355633.000000000
378	-6316472.500000000
379	-6328600.000000000
380	-6383362.500000000
381	-6482770.500000000
382	-6612006.500000000
383	-6779349.000000000
384	-6962524.500000000
385	-7174656.500000000
386	-7394065.500000000
387	-7593517.500000000
388	-7763089.500000000
389	-7868913.500000000
390	-7959787.500000000
391	-8017644.000000000
392	-8058817.500000000
393	-8079881.500000000
394	-8068474.500000000
395	-8049924.000000000
396	-8021718.500000000
397	-7986948.000000000
398	-7966965.500000000
399	-7961966.500000000
400	-7970817.500000000
401	-7998232.000000000
402	-8039959.000000000
403	-8095068.000000000
404	-8162448.000000000
405	-8234627.500000000
406	-8327831.500000000
407	-8428482.000000000
408	-8520379.000000000
409	-8608805.000000000
410	-8687583.000000000
411	-8772025.000000000
412	-8857867.000000000
413	-8954877.000000000
414	-9058942.000000000
415	-9159645.000000000
416	-9249484.000000000
417	-9333624.000000000
418	-9383847.000000000
419	-9405035.000000000
420	-9404017.000000000
421	-9361274.000000000
422	-9282044.000000000
423	-9181664.000000000
424	-9085940.000000000
425	-8985798.000000000
426	-8871912.000000000
427	-8731528.000000000
428	-8595535.000000000
429	-8450073.000000000
430	-8314403.000000000
431	-8197832.500000000
432	-8099900.500000000
433	-8038995.000000000
434	-8009741.500000000
435	-8036655.500000000
436	-8094219.000000000
437	-8192894.000000000
438	-8311643.000000000
439	-8401652.000000000
440	-8458851.000000000
441	-8473934.000000000
442	-8434781.000000000
443	-8343148.000000000
444	-8208989.500000000
