X	Y
0	-14649769.000000000
1	-14544297.000000000
2	-14509140.000000000
3	-14505080.000000000
4	-14438478.000000000
5	-14360605.000000000
6	-14289014.000000000
7	-14176641.000000000
8	-14038710.000000000
9	-13901676.000000000
10	-13758695.000000000
11	-13630640.000000000
12	-13523472.000000000
13	-13419652.000000000
14	-13321601.000000000
15	-13251379.000000000
16	-13213449.000000000
17	-13202274.000000000
18	-13231272.000000000
19	-13283378.000000000
20	-13346229.000000000
21	-13432313.000000000
22	-13514985.000000000
23	-13596499.000000000
24	-13692415.000000000
25	-13789902.000000000
26	-13894735.000000000
27	-13977527.000000000
28	-14068707.000000000
29	-14156677.000000000
30	-14243679.000000000
31	-14313976.000000000
32	-14386685.000000000
33	-14463364.000000000
34	-14509390.000000000
35	-14563085.000000000
36	-14616221.000000000
37	-14669059.000000000
38	-14722849.000000000
39	-14779034.000000000
40	-14828002.000000000
41	-14871271.000000000
42	-14902160.000000000
43	-14928037.000000000
44	-14946817.000000000
45	-14953920.000000000
46	-14963461.000000000
47	-14965013.000000000
48	-14960860.000000000
49	-14958568.000000000
50	-14955448.000000000
51	-14954172.000000000
52	-14952066.000000000
53	-14946943.000000000
54	-14945078.000000000
55	-14943201.000000000
56	-14940452.000000000
57	-14933933.000000000
58	-14925763.000000000
59	-14904677.000000000
60	-14880060.000000000
61	-14847155.000000000
62	-14801330.000000000
63	-14736096.000000000
64	-14670612.000000000
65	-14606170.000000000
66	-14537198.000000000
67	-14463494.000000000
68	-14373248.000000000
69	-14273597.000000000
70	-14173589.000000000
71	-14086145.000000000
72	-13984732.000000000
73	-13897626.000000000
74	-13817374.000000000
75	-13749086.000000000
76	-13698055.000000000
77	-13669171.000000000
78	-13664455.000000000
79	-13684360.000000000
80	-13720707.000000000
81	-13765784.000000000
82	-13810590.000000000
83	-13861847.000000000
84	-13919113.000000000
85	-13976318.000000000
86	-14035748.000000000
87	-14084870.000000000
88	-14129516.000000000
89	-14166001.000000000
90	-14201318.000000000
91	-14226393.000000000
92	-14255876.000000000
93	-14292841.000000000
94	-14325950.000000000
95	-14350431.000000000
96	-14374594.000000000
97	-14404649.000000000
98	-14431013.000000000
99	-14453241.000000000
100	-14466058.000000000
101	-14459713.000000000
102	-14439236.000000000
103	-14387234.000000000
104	-14307411.000000000
105	-14203126.000000000
106	-14076325.000000000
107	-13940533.000000000
108	-13793930.000000000
109	-13648407.000000000
110	-13486693.000000000
111	-13320125.000000000
112	-13177468.000000000
113	-13044623.000000000
114	-12920623.000000000
115	-12827247.000000000
116	-12750499.000000000
117	-12706952.000000000
118	-12686387.000000000
119	-12703056.000000000
120	-12737111.000000000
121	-12782244.000000000
122	-12863914.000000000
123	-12949497.000000000
124	-13049413.000000000
125	-13152314.000000000
126	-13258801.000000000
127	-13374271.000000000
128	-13482785.000000000
129	-13595500.000000000
130	-13696357.000000000
131	-13806936.000000000
132	-13907370.000000000
133	-14002402.000000000
134	-14088419.000000000
135	-14164274.000000000
136	-14241303.000000000
137	-14322933.000000000
138	-14384770.000000000
139	-14452893.000000000
140	-14505466.000000000
141	-14543174.000000000
142	-14574481.000000000
143	-14600740.000000000
144	-14606703.000000000
145	-14606974.000000000
146	-14610805.000000000
147	-14597488.000000000
148	-14567718.000000000
149	-14520469.000000000
150	-14464250.000000000
151	-14398331.000000000
152	-14325704.000000000
153	-14245289.000000000
154	-14157685.000000000
155	-14060161.000000000
156	-13971300.000000000
157	-13892342.000000000
158	-13826662.000000000
159	-13763431.000000000
160	-13710101.000000000
161	-13675372.000000000
162	-13656893.000000000
163	-13656422.000000000
164	-13671772.000000000
165	-13701377.000000000
166	-13739702.000000000
167	-13798921.000000000
168	-13861841.000000000
169	-13930783.000000000
170	-13982388.000000000
171	-14046026.000000000
172	-14115480.000000000
173	-14190334.000000000
174	-14259371.000000000
175	-14330345.000000000
176	-14399824.000000000
177	-14463264.000000000
178	-14516460.000000000
179	-14564615.000000000
180	-14604292.000000000
181	-14647024.000000000
182	-14688168.000000000
183	-14729907.000000000
184	-14772653.000000000
185	-14806459.000000000
186	-14842468.000000000
187	-14867555.000000000
188	-14883665.000000000
189	-14904904.000000000
190	-14925524.000000000
191	-14937961.000000000
192	-14948221.000000000
193	-14954241.000000000
194	-14955828.000000000
195	-14954811.000000000
196	-14952135.000000000
197	-14948486.000000000
198	-14942775.000000000
199	-14941434.000000000
200	-14947840.000000000
201	-14955852.000000000
202	-14947472.000000000
203	-14944520.000000000
204	-14941949.000000000
205	-14934508.000000000
206	-14922750.000000000
207	-14903639.000000000
208	-14890847.000000000
209	-14868006.000000000
210	-14842544.000000000
211	-14815041.000000000
212	-14766157.000000000
213	-14705409.000000000
214	-14626658.000000000
215	-14563212.000000000
216	-14498922.000000000
217	-14427334.000000000
218	-14325039.000000000
219	-14219216.000000000
220	-14112334.000000000
221	-14018216.000000000
222	-13928537.000000000
223	-13846934.000000000
224	-13774098.000000000
225	-13711521.000000000
226	-13671562.000000000
227	-13630220.000000000
228	-13602830.000000000
229	-13601360.000000000
230	-13603147.000000000
231	-13631401.000000000
232	-13661360.000000000
233	-13705564.000000000
234	-13748185.000000000
235	-13809504.000000000
236	-13872943.000000000
237	-13945661.000000000
238	-13999168.000000000
239	-14054381.000000000
240	-14105901.000000000
241	-14157887.000000000
242	-14203918.000000000
243	-14238696.000000000
244	-14261747.000000000
245	-14289118.000000000
246	-14310824.000000000
247	-14322904.000000000
248	-14351516.000000000
249	-14377764.000000000
250	-14405674.000000000
251	-14402323.000000000
252	-14416211.000000000
253	-14440727.000000000
254	-14438296.000000000
255	-14430573.000000000
256	-14393653.000000000
257	-14338640.000000000
258	-14264666.000000000
259	-14163944.000000000
260	-14045441.000000000
261	-13907696.000000000
262	-13753535.000000000
263	-13608942.000000000
264	-13459411.000000000
265	-13300195.000000000
266	-13165762.000000000
267	-13038493.000000000
268	-12919646.000000000
269	-12814976.000000000
270	-12732530.000000000
271	-12677250.000000000
272	-12636821.000000000
273	-12615293.000000000
274	-12639115.000000000
275	-12670322.000000000
276	-12736519.000000000
277	-12828118.000000000
278	-12912695.000000000
279	-13006069.000000000
280	-13131318.000000000
281	-13251660.000000000
282	-13361642.000000000
283	-13486473.000000000
284	-13595055.000000000
285	-13690416.000000000
286	-13806419.000000000
287	-13915603.000000000
288	-14003040.000000000
289	-14091817.000000000
290	-14171700.000000000
291	-14241292.000000000
292	-14308823.000000000
293	-14357927.000000000
294	-14396765.000000000
295	-14429104.000000000
296	-14455222.000000000
297	-14494001.000000000
298	-14539176.000000000
299	-14580211.000000000
300	-14608405.000000000
301	-14625314.000000000
302	-14630694.000000000
303	-14632225.000000000
304	-14620131.000000000
305	-14598211.000000000
306	-14558871.000000000
307	-14502569.000000000
308	-14433120.000000000
309	-14376335.000000000
310	-14308480.000000000
311	-14230437.000000000
312	-14140345.000000000
313	-14048572.000000000
314	-13947633.000000000
315	-13856299.000000000
316	-13774819.000000000
317	-13707614.000000000
318	-13650377.000000000
319	-13613271.000000000
320	-13583182.000000000
321	-13581589.000000000
322	-13603407.000000000
323	-13621740.000000000
324	-13655715.000000000
325	-13695919.000000000
326	-13748470.000000000
327	-13813567.000000000
328	-13876565.000000000
329	-13941287.000000000
330	-14000525.000000000
331	-14080792.000000000
332	-14163281.000000000
333	-14234754.000000000
334	-14311966.000000000
335	-14377962.000000000
336	-14435993.000000000
337	-14493235.000000000
338	-14545910.000000000
339	-14584265.000000000
340	-14627850.000000000
341	-14664086.000000000
342	-14696166.000000000
343	-14733720.000000000
344	-14767373.000000000
345	-14795907.000000000
346	-14824259.000000000
347	-14856608.000000000
348	-14890041.000000000
349	-14916988.000000000
350	-14923960.000000000
351	-14939184.000000000
352	-14958023.000000000
353	-14965753.000000000
354	-14968252.000000000
355	-14973557.000000000
356	-14973683.000000000
357	-14977239.000000000
358	-14978137.000000000
359	-14978794.000000000
360	-14977129.000000000
361	-14969957.000000000
362	-14972126.000000000
363	-14969786.000000000
364	-14966146.000000000
365	-14962674.000000000
366	-14955883.000000000
367	-14947744.000000000
368	-14945391.000000000
369	-14940105.000000000
370	-14936578.000000000
371	-14923596.000000000
372	-14909644.000000000
373	-14893545.000000000
374	-14865582.000000000
375	-14823054.000000000
376	-14774601.000000000
377	-14713269.000000000
378	-14651442.000000000
379	-14581306.000000000
380	-14496688.000000000
381	-14406426.000000000
382	-14314909.000000000
383	-14226140.000000000
384	-14133239.000000000
385	-14032116.000000000
386	-13935912.000000000
387	-13837747.000000000
388	-13752852.000000000
389	-13675725.000000000
390	-13621790.000000000
391	-13580078.000000000
392	-13542576.000000000
393	-13533192.000000000
394	-13534996.000000000
395	-13556164.000000000
396	-13591089.000000000
397	-13621009.000000000
398	-13660500.000000000
399	-13710670.000000000
400	-13760101.000000000
401	-13811270.000000000
402	-13877218.000000000
