X	Y
0	-15157032.000000000
1	-15145928.000000000
2	-15027741.000000000
3	-14981210.000000000
4	-14941168.000000000
5	-14874535.000000000
6	-14756214.000000000
7	-14636127.000000000
8	-14498097.000000000
9	-14342453.000000000
10	-14169140.000000000
11	-14017530.000000000
12	-13842872.000000000
13	-13679488.000000000
14	-13517394.000000000
15	-13371529.000000000
16	-13232547.000000000
17	-13139954.000000000
18	-13079659.000000000
19	-13041418.000000000
20	-13008934.000000000
21	-13014673.000000000
22	-13040886.000000000
23	-13101476.000000000
24	-13171300.000000000
25	-13253069.000000000
26	-13343108.000000000
27	-13453852.000000000
28	-13576137.000000000
29	-13716016.000000000
30	-13845885.000000000
31	-13977715.000000000
32	-14101245.000000000
33	-14208818.000000000
34	-14305250.000000000
35	-14388800.000000000
36	-14476689.000000000
37	-14549243.000000000
38	-14617495.000000000
39	-14679364.000000000
40	-14748227.000000000
41	-14806821.000000000
42	-14876590.000000000
43	-14934041.000000000
44	-14978673.000000000
45	-15010932.000000000
46	-15031575.000000000
47	-15045603.000000000
48	-15061683.000000000
49	-15071690.000000000
50	-15077004.000000000
51	-15067889.000000000
52	-15068075.000000000
53	-15073085.000000000
54	-15069758.000000000
55	-15065154.000000000
56	-15063266.000000000
57	-15066919.000000000
58	-15052911.000000000
59	-15056123.000000000
60	-15051870.000000000
61	-15045861.000000000
62	-15032676.000000000
63	-15002624.000000000
64	-14957992.000000000
65	-14895180.000000000
66	-14814755.000000000
67	-14732087.000000000
68	-14650488.000000000
69	-14546391.000000000
70	-14439129.000000000
71	-14307605.000000000
72	-14170926.000000000
73	-14048914.000000000
74	-13934201.000000000
75	-13826839.000000000
76	-13733233.000000000
77	-13646870.000000000
78	-13583044.000000000
79	-13551385.000000000
80	-13537967.000000000
81	-13540815.000000000
82	-13550713.000000000
83	-13587878.000000000
84	-13642808.000000000
85	-13705378.000000000
86	-13768591.000000000
87	-13846836.000000000
88	-13940698.000000000
89	-14032435.000000000
90	-14121494.000000000
91	-14204579.000000000
92	-14288577.000000000
93	-14364732.000000000
94	-14458602.000000000
95	-14529392.000000000
96	-14594149.000000000
97	-14647457.000000000
98	-14703048.000000000
99	-14764184.000000000
100	-14809962.000000000
101	-14859779.000000000
102	-14902601.000000000
103	-14944788.000000000
104	-14982627.000000000
105	-15012675.000000000
106	-15031946.000000000
107	-15049682.000000000
108	-15058771.000000000
109	-15074782.000000000
110	-15077845.000000000
111	-15072262.000000000
112	-15077978.000000000
113	-15078045.000000000
114	-15082685.000000000
115	-15068384.000000000
116	-15062144.000000000
117	-15071457.000000000
118	-15067924.000000000
119	-15066888.000000000
120	-15061429.000000000
121	-15062143.000000000
122	-15057656.000000000
123	-15058748.000000000
124	-15065315.000000000
125	-15062822.000000000
126	-15059420.000000000
127	-15060773.000000000
128	-15069137.000000000
129	-15074706.000000000
130	-15074577.000000000
131	-15071449.000000000
132	-15067797.000000000
133	-15058114.000000000
134	-15053064.000000000
135	-15050968.000000000
136	-15045074.000000000
137	-15048975.000000000
138	-15043453.000000000
139	-15038391.000000000
140	-15040501.000000000
141	-15038629.000000000
142	-15035311.000000000
143	-15027340.000000000
144	-15017133.000000000
145	-15013420.000000000
146	-14999482.000000000
147	-14984649.000000000
148	-14954176.000000000
149	-14902057.000000000
150	-14836318.000000000
151	-14764262.000000000
152	-14677515.000000000
153	-14586993.000000000
154	-14487462.000000000
155	-14372323.000000000
156	-14242112.000000000
157	-14102005.000000000
158	-13974414.000000000
159	-13860708.000000000
160	-13752476.000000000
161	-13657223.000000000
162	-13557953.000000000
163	-13489616.000000000
164	-13450551.000000000
165	-13417489.000000000
166	-13415550.000000000
167	-13425768.000000000
168	-13464704.000000000
169	-13516649.000000000
170	-13568766.000000000
171	-13629379.000000000
172	-13710802.000000000
173	-13789756.000000000
174	-13874216.000000000
175	-13959052.000000000
176	-14038016.000000000
177	-14113731.000000000
178	-14206583.000000000
179	-14302308.000000000
180	-14384555.000000000
181	-14448088.000000000
182	-14506454.000000000
183	-14570374.000000000
184	-14626956.000000000
185	-14671575.000000000
186	-14713881.000000000
187	-14762145.000000000
188	-14796729.000000000
189	-14828616.000000000
190	-14859173.000000000
191	-14903058.000000000
192	-14938117.000000000
193	-14960797.000000000
194	-14966396.000000000
195	-14981069.000000000
196	-15005481.000000000
197	-15013747.000000000
198	-15012957.000000000
199	-15016861.000000000
200	-15024566.000000000
