X	Y
0	-10810795.000000000
1	-10757523.000000000
2	-10701578.000000000
3	-10659935.000000000
4	-10644133.000000000
5	-10643619.000000000
6	-10673039.000000000
7	-10716036.000000000
8	-10705234.000000000
9	-10692372.000000000
10	-10670583.000000000
11	-10594119.000000000
12	-10512577.000000000
13	-10397279.000000000
14	-10281019.000000000
15	-10161117.000000000
16	-10015711.000000000
17	-9863229.000000000
18	-9726891.000000000
19	-9608697.000000000
20	-9549680.000000000
21	-9518562.000000000
22	-9513729.000000000
23	-9560213.000000000
24	-9626976.000000000
25	-9698399.000000000
26	-9762210.000000000
27	-9855710.000000000
28	-9950064.000000000
29	-10032734.000000000
30	-10115932.000000000
31	-10181892.000000000
32	-10231228.000000000
33	-10270394.000000000
34	-10279826.000000000
35	-10290202.000000000
36	-10298851.000000000
37	-10308758.000000000
38	-10323229.000000000
39	-10356110.000000000
40	-10380531.000000000
41	-10414157.000000000
42	-10461159.000000000
43	-10500018.000000000
44	-10552805.000000000
45	-10617923.000000000
46	-10693618.000000000
47	-10772070.000000000
48	-10853642.000000000
49	-10937611.000000000
50	-11008240.000000000
51	-11070011.000000000
52	-11125942.000000000
53	-11195948.000000000
54	-11249520.000000000
55	-11323593.000000000
56	-11376511.000000000
57	-11429664.000000000
58	-11483158.000000000
59	-11537978.000000000
60	-11573611.000000000
61	-11610393.000000000
62	-11643675.000000000
63	-11677559.000000000
64	-11697158.000000000
65	-11699434.000000000
66	-11700795.000000000
67	-11693477.000000000
68	-11651318.000000000
69	-11580364.000000000
70	-11466100.000000000
71	-11323977.000000000
72	-11164319.000000000
73	-11016291.000000000
74	-10882825.000000000
75	-10771608.000000000
76	-10681730.000000000
77	-10599963.000000000
78	-10558037.000000000
79	-10546517.000000000
80	-10542411.000000000
81	-10552392.000000000
82	-10575041.000000000
83	-10565520.000000000
84	-10547632.000000000
85	-10514290.000000000
86	-10446230.000000000
87	-10354527.000000000
88	-10227722.000000000
89	-10097471.000000000
90	-9948672.000000000
91	-9802824.000000000
92	-9648938.000000000
93	-9534803.000000000
94	-9433549.000000000
95	-9368635.000000000
96	-9336570.000000000
97	-9339293.000000000
98	-9379466.000000000
99	-9447775.000000000
100	-9538361.000000000
101	-9621852.000000000
102	-9717202.000000000
103	-9812169.000000000
104	-9887722.000000000
105	-9953776.000000000
106	-10009676.000000000
107	-10063041.000000000
108	-10104204.000000000
109	-10134158.000000000
110	-10163240.000000000
111	-10183689.000000000
112	-10192029.000000000
