X	Y
0	-13314657.000000000
1	-13293486.000000000
2	-13272098.000000000
3	-13314079.000000000
4	-13367157.000000000
5	-13411868.000000000
6	-13464002.000000000
7	-13527948.000000000
8	-13568470.000000000
9	-13624841.000000000
10	-13684988.000000000
11	-13777137.000000000
12	-13885576.000000000
13	-13984264.000000000
14	-14062807.000000000
15	-14135463.000000000
16	-14207983.000000000
17	-14304032.000000000
18	-14367443.000000000
19	-14430287.000000000
20	-14490289.000000000
21	-14541667.000000000
22	-14589895.000000000
23	-14621607.000000000
24	-14672383.000000000
25	-14723918.000000000
26	-14757981.000000000
27	-14792565.000000000
28	-14818758.000000000
29	-14843292.000000000
30	-14862575.000000000
31	-14895629.000000000
32	-14919835.000000000
33	-14939986.000000000
34	-14954729.000000000
35	-14963900.000000000
36	-14982710.000000000
37	-14999405.000000000
38	-15013739.000000000
39	-15023667.000000000
40	-15036212.000000000
41	-15052925.000000000
42	-15063796.000000000
43	-15084419.000000000
44	-15107894.000000000
45	-15119772.000000000
46	-15145606.000000000
47	-15160423.000000000
48	-15166399.000000000
49	-15177141.000000000
50	-15197021.000000000
51	-15206017.000000000
52	-15220052.000000000
53	-15223259.000000000
54	-15231289.000000000
55	-15240995.000000000
56	-15249518.000000000
57	-15247577.000000000
58	-15256469.000000000
59	-15269164.000000000
60	-15278710.000000000
61	-15288071.000000000
62	-15287997.000000000
63	-15296912.000000000
64	-15297624.000000000
65	-15302685.000000000
66	-15309865.000000000
67	-15315645.000000000
68	-15314887.000000000
69	-15312121.000000000
70	-15316732.000000000
71	-15320247.000000000
72	-15335597.000000000
73	-15328576.000000000
74	-15330292.000000000
75	-15335118.000000000
76	-15336347.000000000
77	-15329048.000000000
78	-15319868.000000000
79	-15319449.000000000
80	-15316617.000000000
81	-15310977.000000000
82	-15292779.000000000
83	-15280306.000000000
84	-15281280.000000000
85	-15269302.000000000
86	-15246552.000000000
87	-15222423.000000000
88	-15211850.000000000
89	-15206424.000000000
90	-15192094.000000000
91	-15172995.000000000
92	-15160867.000000000
93	-15144086.000000000
94	-15121160.000000000
95	-15105727.000000000
96	-15090358.000000000
97	-15077020.000000000
98	-15068017.000000000
99	-15057894.000000000
100	-15049890.000000000
101	-15049198.000000000
102	-15050244.000000000
103	-15052142.000000000
104	-15054102.000000000
105	-15057623.000000000
106	-15060005.000000000
107	-15065020.000000000
108	-15059961.000000000
109	-15057129.000000000
110	-15054258.000000000
111	-15051896.000000000
112	-15045436.000000000
113	-15040642.000000000
114	-15036826.000000000
