X	Y
0	-16580197.000000000
1	-16602003.000000000
2	-16611388.000000000
3	-16614860.000000000
4	-16622520.000000000
5	-16622729.000000000
6	-16619845.000000000
7	-16619664.000000000
8	-16624070.000000000
9	-16618370.000000000
10	-16611125.000000000
11	-16585937.000000000
12	-16580602.000000000
13	-16605593.000000000
14	-16611630.000000000
15	-16607769.000000000
16	-16615786.000000000
17	-16610859.000000000
18	-16619431.000000000
19	-16628304.000000000
20	-16621565.000000000
21	-16615785.000000000
22	-16603366.000000000
23	-16598598.000000000
24	-16616072.000000000
25	-16633186.000000000
26	-16628869.000000000
27	-16615266.000000000
28	-16618000.000000000
29	-16619558.000000000
30	-16615771.000000000
31	-16608173.000000000
32	-16611114.000000000
33	-16601220.000000000
34	-16624805.000000000
35	-16642634.000000000
36	-16626150.000000000
37	-16606391.000000000
38	-16602435.000000000
39	-16605992.000000000
40	-16603821.000000000
41	-16616900.000000000
42	-16618829.000000000
43	-16607318.000000000
44	-16613339.000000000
45	-16622354.000000000
46	-16604990.000000000
47	-16606679.000000000
48	-16612303.000000000
49	-16621573.000000000
50	-16623511.000000000
51	-16612755.000000000
52	-16616736.000000000
53	-16618090.000000000
54	-16615912.000000000
55	-16616186.000000000
56	-16614362.000000000
57	-16594036.000000000
58	-16583903.000000000
59	-16604455.000000000
60	-16609956.000000000
61	-16599727.000000000
62	-16600567.000000000
63	-16602234.000000000
64	-16600838.000000000
65	-16608950.000000000
66	-16619235.000000000
67	-16609490.000000000
68	-16606786.000000000
69	-16603266.000000000
70	-16608039.000000000
71	-16600276.000000000
72	-16595412.000000000
73	-16630251.000000000
74	-16642230.000000000
75	-16622530.000000000
76	-16619975.000000000
77	-16631908.000000000
78	-16627737.000000000
79	-16611277.000000000
80	-16614017.000000000
81	-16611956.000000000
82	-16618471.000000000
83	-16636054.000000000
84	-16635348.000000000
85	-16623639.000000000
86	-16624513.000000000
87	-16628491.000000000
88	-16634684.000000000
89	-16624931.000000000
90	-16624870.000000000
91	-16638498.000000000
92	-16620299.000000000
93	-16610085.000000000
94	-16620567.000000000
95	-16632128.000000000
96	-16631642.000000000
97	-16597798.000000000
98	-16594916.000000000
99	-16592153.000000000
100	-16598393.000000000
101	-16609958.000000000
102	-16609254.000000000
103	-16608947.000000000
104	-16612790.000000000
105	-16605535.000000000
106	-16604903.000000000
107	-16611119.000000000
108	-16603465.000000000
109	-16599980.000000000
110	-16613473.000000000
111	-16619710.000000000
112	-16598206.000000000
113	-16586710.000000000
114	-16617365.000000000
115	-16614442.000000000
116	-16519150.000000000
117	-16223357.000000000
118	-15608869.000000000
119	-14644194.000000000
120	-13409475.000000000
121	-12202469.000000000
122	-11240953.000000000
123	-10581197.000000000
124	-10342735.000000000
125	-10377360.000000000
126	-10666108.000000000
