X	Y
0	-9533098.000000000
1	-9164779.000000000
2	-8882877.000000000
3	-8587879.000000000
4	-8320516.500000000
5	-8102019.000000000
6	-7923285.500000000
7	-7754999.000000000
8	-7615678.000000000
9	-7451840.500000000
10	-7250065.500000000
11	-7005521.000000000
12	-6748023.500000000
13	-6443025.000000000
14	-6107807.500000000
15	-5760354.000000000
16	-5412127.000000000
17	-5109334.000000000
18	-4850592.000000000
19	-4652314.000000000
20	-4492202.500000000
21	-4340283.000000000
22	-4283577.500000000
23	-4270383.500000000
24	-4292100.500000000
25	-4343668.000000000
26	-4419915.000000000
27	-4505167.000000000
28	-4625981.000000000
29	-4745321.500000000
30	-4860093.000000000
31	-4955135.500000000
32	-5050032.000000000
33	-5139030.000000000
34	-5194047.000000000
35	-5266222.000000000
36	-5326598.500000000
37	-5398133.000000000
38	-5459704.500000000
39	-5527450.500000000
40	-5596194.000000000
41	-5641908.500000000
42	-5613468.000000000
43	-5543745.500000000
44	-5435375.500000000
45	-5278498.500000000
46	-5111800.500000000
47	-4922920.500000000
48	-4727040.000000000
49	-4539284.000000000
50	-4372963.500000000
51	-4220363.000000000
52	-4094008.000000000
53	-3999187.500000000
54	-3958651.750000000
55	-3958293.500000000
56	-3992942.500000000
57	-4057968.500000000
58	-4148223.000000000
59	-4256050.000000000
60	-4390188.500000000
61	-4528590.000000000
62	-4670086.500000000
63	-4806129.000000000
64	-4940010.500000000
65	-5061807.000000000
66	-5167212.000000000
67	-5241235.500000000
68	-5316664.000000000
69	-5374915.000000000
70	-5431720.500000000
71	-5476679.500000000
72	-5507598.500000000
73	-5536738.500000000
74	-5570297.000000000
75	-5594590.000000000
76	-5617887.500000000
77	-5639313.500000000
78	-5653485.000000000
79	-5661870.000000000
80	-5675938.500000000
81	-5700022.500000000
82	-5746867.000000000
83	-5797906.500000000
84	-5853929.500000000
85	-5897469.500000000
86	-5917120.500000000
87	-5892989.500000000
88	-5817147.500000000
89	-5706865.500000000
90	-5553267.000000000
91	-5364166.000000000
92	-5143878.000000000
93	-4910005.500000000
94	-4688073.000000000
95	-4487325.000000000
96	-4322565.000000000
97	-4193734.500000000
98	-4105646.500000000
99	-4051920.500000000
100	-4049113.750000000
101	-4085024.000000000
102	-4162576.250000000
103	-4267784.500000000
104	-4400447.000000000
105	-4549680.000000000
106	-4706536.500000000
107	-4887971.000000000
108	-5064095.500000000
109	-5225204.500000000
110	-5389400.000000000
111	-5537101.000000000
112	-5684925.500000000
113	-5821415.500000000
114	-5944893.500000000
115	-6062485.500000000
116	-6183061.500000000
117	-6291073.500000000
118	-6373171.500000000
119	-6457631.500000000
120	-6511513.000000000
121	-6523945.000000000
122	-6496585.500000000
123	-6427440.500000000
124	-6323545.500000000
125	-6172585.000000000
126	-5999264.500000000
127	-5812243.500000000
128	-5623463.500000000
129	-5446515.000000000
130	-5288399.000000000
