X	Y
0	-16622456.000000000
1	-16617152.000000000
2	-16628724.000000000
3	-16644465.000000000
4	-16663998.000000000
5	-16664319.000000000
6	-16664576.000000000
7	-16656480.000000000
8	-16649027.000000000
9	-16647614.000000000
10	-16648835.000000000
11	-16648835.000000000
12	-16648899.000000000
13	-16649027.000000000
14	-16648706.000000000
15	-16648963.000000000
16	-16647108.000000000
17	-16649614.000000000
18	-16649421.000000000
19	-16650063.000000000
20	-16650449.000000000
21	-16650449.000000000
22	-16650063.000000000
23	-16649421.000000000
24	-16647815.000000000
25	-16645951.000000000
26	-16646851.000000000
27	-16646979.000000000
28	-16646979.000000000
29	-16646851.000000000
30	-16646465.000000000
31	-16646401.000000000
32	-16647879.000000000
33	-16646790.000000000
34	-16646212.000000000
35	-16645694.000000000
36	-16645566.000000000
37	-16647236.000000000
38	-16648264.000000000
39	-16649357.000000000
40	-16647043.000000000
41	-16648714.000000000
42	-16648200.000000000
43	-16649228.000000000
44	-16649485.000000000
45	-16648714.000000000
46	-16648714.000000000
47	-16647939.000000000
48	-16651787.000000000
49	-16650248.000000000
50	-16652296.000000000
51	-16651268.000000000
52	-16651782.000000000
53	-16652810.000000000
54	-16652296.000000000
55	-16653324.000000000
56	-16651782.000000000
57	-16653838.000000000
58	-16652810.000000000
59	-16651271.000000000
60	-16650758.000000000
61	-16649216.000000000
62	-16649730.000000000
63	-16650244.000000000
64	-16651408.000000000
65	-16649673.000000000
66	-16647689.000000000
67	-16647622.000000000
68	-16646915.000000000
69	-16646080.000000000
70	-16646144.000000000
71	-16644663.000000000
72	-16645240.000000000
73	-16644598.000000000
74	-16647169.000000000
75	-16649228.000000000
76	-16649742.000000000
77	-16649742.000000000
78	-16649742.000000000
79	-16648717.000000000
80	-16647173.000000000
81	-16648715.000000000
82	-16648395.000000000
83	-16648009.000000000
84	-16647174.000000000
85	-16647174.000000000
86	-16646981.000000000
87	-16647365.000000000
88	-16648908.000000000
89	-16648522.000000000
90	-16647688.000000000
91	-16646981.000000000
92	-16646275.000000000
93	-16647880.000000000
94	-16648716.000000000
