X	Y
0	-16634159.000000000
1	-16641653.000000000
2	-16571831.000000000
3	-16545385.000000000
4	-16464734.000000000
5	-16451359.000000000
6	-16440474.000000000
7	-16380538.000000000
8	-16204059.000000000
9	-15848916.000000000
10	-15232063.000000000
11	-14512318.000000000
12	-13904821.000000000
13	-13586352.000000000
14	-13427690.000000000
15	-13759588.000000000
16	-14270201.000000000
17	-14853418.000000000
18	-15284132.000000000
19	-15696239.000000000
20	-16072108.000000000
21	-16389832.000000000
22	-16531184.000000000
23	-16609893.000000000
24	-16605312.000000000
25	-16586078.000000000
26	-16510149.000000000
27	-16514753.000000000
28	-16526897.000000000
29	-16562324.000000000
30	-16551120.000000000
31	-16586163.000000000
32	-16584715.000000000
33	-16592751.000000000
34	-16593523.000000000
35	-16591594.000000000
36	-16588640.000000000
37	-16587354.000000000
38	-16588254.000000000
39	-16590952.000000000
40	-16592109.000000000
41	-16595000.000000000
42	-16596029.000000000
43	-16597891.000000000
44	-16598406.000000000
45	-16594421.000000000
46	-16591724.000000000
47	-16587997.000000000
48	-16597899.000000000
49	-16593980.000000000
50	-16593788.000000000
51	-16589225.000000000
52	-16590639.000000000
53	-16593916.000000000
54	-16593981.000000000
55	-16597064.000000000
56	-16604196.000000000
57	-16596357.000000000
58	-16595844.000000000
59	-16590639.000000000
60	-16591025.000000000
61	-16593209.000000000
62	-16591860.000000000
63	-16597899.000000000
64	-16590438.000000000
65	-16593262.000000000
66	-16591916.000000000
67	-16593458.000000000
68	-16593587.000000000
69	-16589796.000000000
70	-16590246.000000000
71	-16586904.000000000
72	-16593523.000000000
73	-16595450.000000000
74	-16596093.000000000
75	-16596927.000000000
76	-16596478.000000000
77	-16593972.000000000
78	-16593655.000000000
79	-16591788.000000000
80	-16591218.000000000
81	-16590384.000000000
82	-16593788.000000000
83	-16592631.000000000
84	-16592374.000000000
85	-16595394.000000000
86	-16593789.000000000
87	-16596295.000000000
88	-16586915.000000000
89	-16589870.000000000
90	-16590127.000000000
91	-16593982.000000000
92	-16594560.000000000
93	-16593339.000000000
94	-16593467.000000000
95	-16591346.000000000
96	-16593587.000000000
97	-16589921.000000000
98	-16589860.000000000
99	-16586326.000000000
100	-16586840.000000000
101	-16590888.000000000
102	-16591852.000000000
103	-16595514.000000000
104	-16598791.000000000
105	-16595643.000000000
106	-16594358.000000000
107	-16592687.000000000
108	-16593715.000000000
109	-16597442.000000000
110	-16597702.000000000
111	-16599819.000000000
112	-16598024.000000000
113	-16597638.000000000
114	-16598020.000000000
115	-16595578.000000000
116	-16594036.000000000
117	-16594036.000000000
118	-16593394.000000000
119	-16595321.000000000
120	-16588190.000000000
121	-16588704.000000000
122	-16589539.000000000
123	-16589025.000000000
124	-16589153.000000000
125	-16588896.000000000
126	-16588443.000000000
127	-16588250.000000000
128	-16595129.000000000
129	-16593072.000000000
130	-16592495.000000000
131	-16591723.000000000
132	-16591467.000000000
133	-16595578.000000000
134	-16595900.000000000
135	-16598341.000000000
136	-16592559.000000000
137	-16595385.000000000
138	-16597506.000000000
139	-16598855.000000000
140	-16598663.000000000
141	-16594486.000000000
142	-16592559.000000000
143	-16589284.000000000
144	-16596033.000000000
145	-16594491.000000000
146	-16595391.000000000
147	-16592693.000000000
148	-16593015.000000000
149	-16593785.000000000
150	-16593142.000000000
151	-16595197.000000000
152	-16600145.000000000
153	-16597124.000000000
154	-16596482.000000000
155	-16595003.000000000
156	-16593333.000000000
157	-16597380.000000000
158	-16599950.000000000
159	-16602968.000000000
160	-16592430.000000000
161	-16591531.000000000
162	-16591466.000000000
163	-16590503.000000000
164	-16589346.000000000
165	-16591274.000000000
166	-16592494.000000000
167	-16594550.000000000
168	-16591402.000000000
169	-16593394.000000000
170	-16594936.000000000
171	-16594165.000000000
172	-16594358.000000000
173	-16595771.000000000
174	-16595321.000000000
175	-16593651.000000000
176	-16587547.000000000
177	-16590181.000000000
178	-16593008.000000000
179	-16601939.000000000
180	-16599755.000000000
181	-16594101.000000000
182	-16593844.000000000
183	-16594165.000000000
184	-16591659.000000000
185	-16594358.000000000
186	-16597313.000000000
187	-16599048.000000000
188	-16596028.000000000
189	-16596349.000000000
190	-16596992.000000000
191	-16598020.000000000
192	-16593137.000000000
193	-16593650.000000000
194	-16594743.000000000
195	-16593265.000000000
196	-16592109.000000000
197	-16592044.000000000
198	-16590631.000000000
