X	Y
0	-13621162.000000000
1	-13372347.000000000
2	-13248478.000000000
3	-13156123.000000000
4	-13070164.000000000
5	-12970063.000000000
6	-12882926.000000000
7	-12820131.000000000
8	-12785779.000000000
9	-12773898.000000000
10	-12731270.000000000
11	-12679264.000000000
12	-12634485.000000000
13	-12610889.000000000
14	-12612476.000000000
15	-12626166.000000000
16	-12642078.000000000
17	-12693663.000000000
18	-12741796.000000000
19	-12801255.000000000
20	-12872316.000000000
21	-12931318.000000000
22	-12979185.000000000
23	-13019894.000000000
24	-13063235.000000000
25	-13101338.000000000
26	-13170182.000000000
27	-13208920.000000000
28	-13244574.000000000
29	-13297610.000000000
30	-13330574.000000000
31	-13368325.000000000
32	-13411878.000000000
33	-13441649.000000000
34	-13471064.000000000
35	-13511884.000000000
36	-13525323.000000000
37	-13543393.000000000
38	-13538772.000000000
39	-13534639.000000000
40	-13480510.000000000
41	-13400850.000000000
42	-13343372.000000000
43	-13276495.000000000
44	-13195451.000000000
45	-13106989.000000000
46	-13028374.000000000
47	-12959238.000000000
48	-12884167.000000000
49	-12833655.000000000
50	-12783208.000000000
51	-12724738.000000000
52	-12680879.000000000
53	-12652665.000000000
54	-12635275.000000000
55	-12635490.000000000
56	-12646262.000000000
57	-12681955.000000000
58	-12723618.000000000
59	-12756982.000000000
60	-12810047.000000000
61	-12888013.000000000
62	-12957455.000000000
63	-13025592.000000000
64	-13110530.000000000
65	-13199169.000000000
66	-13267238.000000000
67	-13344357.000000000
68	-13409944.000000000
69	-13451163.000000000
70	-13496196.000000000
71	-13552834.000000000
72	-13584768.000000000
73	-13612136.000000000
74	-13651132.000000000
75	-13668687.000000000
76	-13674063.000000000
77	-13680131.000000000
78	-13701372.000000000
79	-13743114.000000000
80	-13739162.000000000
81	-13735464.000000000
82	-13757207.000000000
83	-13776597.000000000
84	-13762879.000000000
85	-13777844.000000000
86	-13762410.000000000
87	-13732429.000000000
88	-13691735.000000000
89	-13629347.000000000
90	-13549722.000000000
91	-13452974.000000000
92	-13371568.000000000
93	-13261087.000000000
94	-13148477.000000000
95	-13062233.000000000
96	-12987726.000000000
97	-12900633.000000000
98	-12823440.000000000
99	-12746321.000000000
100	-12702569.000000000
101	-12668741.000000000
102	-12642845.000000000
103	-12620307.000000000
104	-12635539.000000000
105	-12640571.000000000
106	-12674967.000000000
107	-12724203.000000000
108	-12769926.000000000
109	-12813048.000000000
110	-12849934.000000000
111	-12903062.000000000
112	-12952232.000000000
113	-12996337.000000000
114	-13045546.000000000
115	-13075777.000000000
116	-13095375.000000000
117	-13125568.000000000
118	-13173924.000000000
119	-13214805.000000000
120	-13252011.000000000
121	-13269311.000000000
122	-13309506.000000000
123	-13366276.000000000
124	-13406445.000000000
125	-13451815.000000000
126	-13476009.000000000
127	-13482041.000000000
128	-13480010.000000000
129	-13464762.000000000
130	-13439935.000000000
131	-13399507.000000000
132	-13336953.000000000
133	-13259930.000000000
134	-13178172.000000000
135	-13111012.000000000
136	-13042141.000000000
137	-12966019.000000000
138	-12888481.000000000
139	-12807983.000000000
140	-12731924.000000000
141	-12662193.000000000
142	-12616771.000000000
143	-12597461.000000000
144	-12574554.000000000
145	-12577017.000000000
146	-12596642.000000000
147	-12621365.000000000
148	-12655340.000000000
149	-12695457.000000000
150	-12733057.000000000
151	-12769548.000000000
152	-12822614.000000000
153	-12888438.000000000
154	-12958078.000000000
155	-13017714.000000000
156	-13094838.000000000
157	-13156035.000000000
158	-13205604.000000000
159	-13253955.000000000
160	-13339184.000000000
161	-13394065.000000000
162	-13455868.000000000
163	-13493971.000000000
164	-13532949.000000000
165	-13556965.000000000
166	-13586371.000000000
167	-13622425.000000000
168	-13652701.000000000
169	-13669799.000000000
170	-13680788.000000000
171	-13690073.000000000
172	-13690846.000000000
173	-13702748.000000000
174	-13735531.000000000
175	-13748852.000000000
176	-13718776.000000000
177	-13705955.000000000
178	-13675599.000000000
179	-13632237.000000000
180	-13608401.000000000
181	-13557150.000000000
182	-13480112.000000000
183	-13372420.000000000
184	-13251963.000000000
185	-13127652.000000000
186	-13038552.000000000
187	-12936172.000000000
188	-12837317.000000000
189	-12760680.000000000
190	-12702929.000000000
191	-12646854.000000000
192	-12615771.000000000
193	-12600399.000000000
194	-12603469.000000000
195	-12598489.000000000
196	-12605348.000000000
197	-12630265.000000000
198	-12659241.000000000
199	-12684533.000000000
200	-12715448.000000000
201	-12772529.000000000
202	-12796698.000000000
203	-12831772.000000000
204	-12866901.000000000
205	-12908822.000000000
206	-12957509.000000000
207	-12991142.000000000
208	-13040021.000000000
209	-13079694.000000000
210	-13092940.000000000
211	-13132334.000000000
212	-13167017.000000000
213	-13203817.000000000
214	-13250068.000000000
215	-13297053.000000000
216	-13337804.000000000
217	-13367757.000000000
218	-13412356.000000000
219	-13441123.000000000
220	-13444333.000000000
221	-13445324.000000000
222	-13432999.000000000
223	-13414860.000000000
224	-13366994.000000000
225	-13290152.000000000
226	-13207495.000000000
227	-13113801.000000000
228	-13034188.000000000
229	-12936666.000000000
230	-12849237.000000000
231	-12764347.000000000
232	-12703774.000000000
233	-12637029.000000000
234	-12598704.000000000
235	-12572180.000000000
236	-12535548.000000000
237	-12535690.000000000
238	-12542582.000000000
239	-12542761.000000000
240	-12563262.000000000
241	-12602076.000000000
242	-12655077.000000000
243	-12715586.000000000
244	-12752275.000000000
245	-12795492.000000000
246	-12837858.000000000
247	-12881930.000000000
248	-12949347.000000000
249	-12986405.000000000
250	-13041713.000000000
251	-13106700.000000000
252	-13190020.000000000
253	-13225650.000000000
254	-13264816.000000000
255	-13327834.000000000
256	-13403283.000000000
257	-13437685.000000000
258	-13475590.000000000
259	-13520740.000000000
260	-13543400.000000000
261	-13574079.000000000
262	-13607466.000000000
263	-13630985.000000000
264	-13656186.000000000
265	-13667973.000000000
266	-13692851.000000000
267	-13703625.000000000
268	-13730033.000000000
269	-13737826.000000000
270	-13720256.000000000
271	-13709313.000000000
272	-13691687.000000000
273	-13642710.000000000
274	-13575319.000000000
275	-13522366.000000000
276	-13460516.000000000
277	-13333056.000000000
278	-13231478.000000000
279	-13144860.000000000
280	-13044346.000000000
281	-12951932.000000000
282	-12847561.000000000
283	-12750966.000000000
284	-12668758.000000000
285	-12604277.000000000
286	-12556022.000000000
287	-12523680.000000000
288	-12485782.000000000
289	-12489753.000000000
290	-12500588.000000000
291	-12533445.000000000
292	-12580528.000000000
293	-12600850.000000000
294	-12641755.000000000
295	-12694146.000000000
296	-12720419.000000000
297	-12759161.000000000
298	-12802508.000000000
299	-12841237.000000000
300	-12914294.000000000
301	-12943513.000000000
302	-12992115.000000000
303	-13034657.000000000
304	-13062958.000000000
305	-13090480.000000000
306	-13122725.000000000
307	-13152110.000000000
308	-13173254.000000000
309	-13190519.000000000
310	-13222160.000000000
311	-13249397.000000000
312	-13283368.000000000
313	-13322239.000000000
314	-13350984.000000000
315	-13358850.000000000
316	-13373364.000000000
317	-13355043.000000000
318	-13348875.000000000
319	-13316764.000000000
320	-13275142.000000000
321	-13192696.000000000
322	-13086539.000000000
323	-12995384.000000000
324	-12894284.000000000
325	-12809594.000000000
326	-12737007.000000000
327	-12640756.000000000
328	-12563098.000000000
329	-12493153.000000000
330	-12423196.000000000
331	-12382609.000000000
332	-12357202.000000000
333	-12355407.000000000
334	-12363634.000000000
335	-12387974.000000000
336	-12431199.000000000
337	-12498610.000000000
338	-12540090.000000000
339	-12600211.000000000
340	-12646839.000000000
341	-12734929.000000000
342	-12810058.000000000
343	-12863456.000000000
344	-12932573.000000000
345	-13000462.000000000
346	-13044120.000000000
347	-13107735.000000000
348	-13177922.000000000
349	-13211938.000000000
350	-13242049.000000000
351	-13306628.000000000
352	-13349626.000000000
353	-13397678.000000000
