X	Y
0	-14077039.000000000
1	-13931897.000000000
2	-13885521.000000000
3	-13867204.000000000
4	-13888002.000000000
5	-13927770.000000000
6	-13965652.000000000
7	-14042032.000000000
8	-14058933.000000000
9	-14063232.000000000
10	-14056258.000000000
11	-14017988.000000000
12	-13977057.000000000
13	-13905740.000000000
14	-13815661.000000000
15	-13692853.000000000
16	-13532216.000000000
17	-13360399.000000000
18	-13177172.000000000
19	-12963049.000000000
20	-12741646.000000000
21	-12525197.000000000
22	-12323499.000000000
23	-12149390.000000000
24	-12019594.000000000
25	-11930214.000000000
26	-11870894.000000000
27	-11870714.000000000
28	-11919637.000000000
29	-12006228.000000000
30	-12110955.000000000
31	-12238196.000000000
32	-12382530.000000000
33	-12526199.000000000
34	-12674803.000000000
35	-12834342.000000000
36	-13007622.000000000
37	-13171948.000000000
38	-13316498.000000000
39	-13455196.000000000
40	-13566410.000000000
41	-13686058.000000000
42	-13796833.000000000
43	-13890438.000000000
44	-13965609.000000000
45	-14019054.000000000
46	-14066566.000000000
47	-14104163.000000000
48	-14147590.000000000
49	-14186152.000000000
50	-14203342.000000000
51	-14228012.000000000
52	-14253729.000000000
53	-14264635.000000000
54	-14275856.000000000
55	-14297171.000000000
56	-14330026.000000000
57	-14357916.000000000
58	-14385037.000000000
59	-14410369.000000000
60	-14422647.000000000
61	-14453810.000000000
62	-14498150.000000000
63	-14524759.000000000
64	-14541418.000000000
65	-14567122.000000000
66	-14579675.000000000
67	-14590019.000000000
68	-14590863.000000000
69	-14604490.000000000
70	-14601003.000000000
71	-14613051.000000000
72	-14623609.000000000
73	-14617498.000000000
74	-14609990.000000000
75	-14613706.000000000
76	-14600718.000000000
77	-14581102.000000000
78	-14565671.000000000
79	-14543258.000000000
80	-14514178.000000000
81	-14481769.000000000
82	-14438656.000000000
83	-14407142.000000000
84	-14386511.000000000
85	-14360648.000000000
86	-14350236.000000000
87	-14336907.000000000
88	-14314875.000000000
89	-14275544.000000000
90	-14242584.000000000
91	-14197664.000000000
92	-14149562.000000000
93	-14114276.000000000
94	-14082974.000000000
95	-14050702.000000000
96	-14010637.000000000
97	-14002853.000000000
98	-14029371.000000000
99	-14054456.000000000
100	-14055513.000000000
101	-14050014.000000000
102	-14008227.000000000
103	-13934140.000000000
104	-13839548.000000000
105	-13720346.000000000
106	-13556540.000000000
107	-13370364.000000000
108	-13154391.000000000
109	-12928620.000000000
110	-12705265.000000000
111	-12485922.000000000
112	-12295480.000000000
113	-12124196.000000000
114	-12006684.000000000
115	-11919819.000000000
116	-11865943.000000000
117	-11844832.000000000
118	-11854124.000000000
119	-11897267.000000000
120	-11970735.000000000
121	-12069503.000000000
122	-12203795.000000000
123	-12359030.000000000
124	-12521895.000000000
125	-12715134.000000000
126	-12900994.000000000
127	-13058271.000000000
128	-13212277.000000000
129	-13361880.000000000
130	-13505420.000000000
131	-13632342.000000000
132	-13727347.000000000
133	-13821141.000000000
134	-13895696.000000000
135	-13970746.000000000
136	-14014352.000000000
137	-14071641.000000000
138	-14117170.000000000
139	-14168046.000000000
140	-14180908.000000000
141	-14211626.000000000
142	-14233149.000000000
143	-14262261.000000000
144	-14286823.000000000
145	-14312722.000000000
146	-14318006.000000000
147	-14344016.000000000
148	-14363138.000000000
149	-14388862.000000000
150	-14422487.000000000
151	-14447735.000000000
152	-14471509.000000000
153	-14496658.000000000
154	-14529012.000000000
155	-14541900.000000000
156	-14550244.000000000
157	-14555076.000000000
158	-14575823.000000000
159	-14595335.000000000
160	-14606156.000000000
161	-14596837.000000000
162	-14601180.000000000
163	-14606834.000000000
164	-14616966.000000000
165	-14610654.000000000
166	-14601535.000000000
167	-14605408.000000000
168	-14595974.000000000
169	-14593028.000000000
170	-14579051.000000000
171	-14548804.000000000
172	-14515256.000000000
173	-14487172.000000000
174	-14461358.000000000
175	-14422512.000000000
176	-14384244.000000000
177	-14359302.000000000
178	-14336764.000000000
179	-14309698.000000000
180	-14293149.000000000
181	-14269704.000000000
182	-14226237.000000000
183	-14185738.000000000
184	-14153996.000000000
185	-14127295.000000000
186	-14081877.000000000
187	-14047141.000000000
188	-14028578.000000000
189	-14019695.000000000
190	-13999989.000000000
191	-13995650.000000000
192	-14021649.000000000
193	-14029483.000000000
194	-14020679.000000000
195	-13973844.000000000
196	-13912036.000000000
197	-13818462.000000000
198	-13661137.000000000
199	-13481151.000000000
200	-13297967.000000000
201	-13084800.000000000
202	-12839698.000000000
203	-12603236.000000000
204	-12399366.000000000
205	-12205386.000000000
206	-12061894.000000000
207	-11928437.000000000
208	-11869615.000000000
209	-11830488.000000000
210	-11842917.000000000
211	-11869367.000000000
212	-11918643.000000000
213	-11999227.000000000
214	-12114308.000000000
215	-12225472.000000000
216	-12348805.000000000
217	-12484544.000000000
218	-12654122.000000000
219	-12847499.000000000
220	-13021146.000000000
221	-13181143.000000000
222	-13324659.000000000
223	-13433021.000000000
224	-13555440.000000000
225	-13672507.000000000
226	-13770221.000000000
227	-13829580.000000000
228	-13903412.000000000
229	-13947590.000000000
230	-14006308.000000000
231	-14052843.000000000
232	-14103857.000000000
233	-14129720.000000000
234	-14153391.000000000
235	-14184772.000000000
236	-14228269.000000000
237	-14246123.000000000
238	-14257963.000000000
239	-14272404.000000000
240	-14298025.000000000
241	-14331628.000000000
242	-14361715.000000000
243	-14390728.000000000
244	-14411634.000000000
245	-14433701.000000000
246	-14454397.000000000
247	-14482879.000000000
248	-14507173.000000000
249	-14523583.000000000
250	-14543621.000000000
251	-14549417.000000000
252	-14567528.000000000
253	-14601390.000000000
254	-14590498.000000000
255	-14596112.000000000
256	-14626506.000000000
257	-14626339.000000000
258	-14621312.000000000
259	-14631385.000000000
260	-14643587.000000000
261	-14642343.000000000
262	-14633730.000000000
263	-14627101.000000000
264	-14607025.000000000
265	-14588939.000000000
266	-14561170.000000000
267	-14557128.000000000
268	-14516614.000000000
269	-14454959.000000000
270	-14418077.000000000
271	-14388620.000000000
272	-14362629.000000000
273	-14336353.000000000
274	-14313198.000000000
275	-14295241.000000000
276	-14250483.000000000
277	-14229949.000000000
278	-14224171.000000000
279	-14196736.000000000
280	-14163845.000000000
281	-14145397.000000000
282	-14119783.000000000
283	-14076708.000000000
284	-14057709.000000000
285	-14054475.000000000
286	-14042379.000000000
287	-14031787.000000000
288	-14042500.000000000
289	-14032328.000000000
290	-14022243.000000000
291	-13984873.000000000
292	-13909275.000000000
293	-13793578.000000000
294	-13642526.000000000
295	-13478940.000000000
296	-13309781.000000000
297	-13118854.000000000
298	-12880769.000000000
299	-12658141.000000000
300	-12454408.000000000
301	-12259606.000000000
302	-12107354.000000000
303	-11988522.000000000
304	-11907036.000000000
305	-11865740.000000000
306	-11853944.000000000
307	-11895658.000000000
308	-11938218.000000000
309	-12015923.000000000
310	-12142086.000000000
311	-12251785.000000000
312	-12380601.000000000
313	-12518326.000000000
314	-12685119.000000000
315	-12853975.000000000
316	-13017695.000000000
317	-13165247.000000000
318	-13306680.000000000
319	-13424888.000000000
320	-13561408.000000000
321	-13671282.000000000
322	-13764710.000000000
323	-13853345.000000000
324	-13934163.000000000
325	-13999337.000000000
326	-14056896.000000000
327	-14093248.000000000
328	-14138526.000000000
329	-14163045.000000000
330	-14192670.000000000
331	-14224642.000000000
332	-14256234.000000000
333	-14279769.000000000
334	-14298151.000000000
335	-14312543.000000000
336	-14322292.000000000
337	-14368778.000000000
338	-14390327.000000000
339	-14417353.000000000
340	-14442519.000000000
341	-14459268.000000000
342	-14482506.000000000
343	-14507746.000000000
344	-14539780.000000000
345	-14551964.000000000
346	-14561567.000000000
347	-14579359.000000000
348	-14583220.000000000
349	-14599940.000000000
350	-14614586.000000000
351	-14636538.000000000
352	-14631756.000000000
353	-14646779.000000000
354	-14649096.000000000
355	-14658810.000000000
356	-14665674.000000000
357	-14680784.000000000
358	-14681737.000000000
359	-14663948.000000000
360	-14657477.000000000
361	-14651073.000000000
362	-14637265.000000000
363	-14617820.000000000
364	-14591149.000000000
365	-14562216.000000000
366	-14533680.000000000
367	-14480183.000000000
368	-14436603.000000000
369	-14390436.000000000
370	-14364650.000000000
371	-14336484.000000000
372	-14326047.000000000
373	-14322771.000000000
374	-14304154.000000000
375	-14290609.000000000
376	-14275013.000000000
377	-14253483.000000000
378	-14218537.000000000
379	-14177801.000000000
380	-14143259.000000000
381	-14116296.000000000
382	-14097936.000000000
383	-14077322.000000000
384	-14042269.000000000
385	-14037363.000000000
386	-14055014.000000000
387	-14070223.000000000
388	-14057860.000000000
389	-14046041.000000000
390	-14003258.000000000
391	-13939274.000000000
392	-13818059.000000000
393	-13675575.000000000
394	-13504285.000000000
395	-13341187.000000000
396	-13125513.000000000
397	-12878693.000000000
398	-12670796.000000000
399	-12463390.000000000
400	-12275238.000000000
401	-12147910.000000000
402	-12052801.000000000
403	-11969100.000000000
404	-11916808.000000000
405	-11909913.000000000
406	-11915795.000000000
407	-11943307.000000000
408	-12001377.000000000
409	-12101358.000000000
410	-12212114.000000000
411	-12350104.000000000
412	-12491975.000000000
413	-12636677.000000000
414	-12801114.000000000
415	-12946114.000000000
416	-13095328.000000000
417	-13249732.000000000
418	-13371671.000000000
419	-13495629.000000000
420	-13607296.000000000
421	-13705823.000000000
422	-13795534.000000000
423	-13872167.000000000
424	-13931998.000000000
425	-14001945.000000000
426	-14088071.000000000
427	-14139138.000000000
428	-14174042.000000000
429	-14193548.000000000
430	-14220567.000000000
431	-14253324.000000000
432	-14264206.000000000
433	-14295674.000000000
434	-14313338.000000000
435	-14337417.000000000
436	-14349406.000000000
437	-14373319.000000000
438	-14393353.000000000
439	-14417922.000000000
440	-14452182.000000000
441	-14479531.000000000
