X	Y
0	-16582149.000000000
1	-16582501.000000000
2	-16586179.000000000
3	-16587333.000000000
4	-16586443.000000000
5	-16585998.000000000
6	-16587732.000000000
7	-16588250.000000000
8	-16590892.000000000
9	-16586973.000000000
10	-16585109.000000000
11	-16586909.000000000
12	-16586466.000000000
13	-16584729.000000000
14	-16584857.000000000
15	-16583633.000000000
16	-16582806.000000000
17	-16585684.000000000
18	-16585231.000000000
19	-16588959.000000000
20	-16587354.000000000
21	-16584656.000000000
22	-16584270.000000000
23	-16585042.000000000
24	-16593589.000000000
25	-16590184.000000000
26	-16591341.000000000
27	-16587936.000000000
28	-16589479.000000000
29	-16588066.000000000
30	-16588197.000000000
31	-16590645.000000000
32	-16587752.000000000
33	-16586005.000000000
34	-16586517.000000000
35	-16588763.000000000
36	-16590890.000000000
37	-16591211.000000000
38	-16590312.000000000
39	-16589029.000000000
40	-16587230.000000000
41	-16585752.000000000
42	-16585945.000000000
43	-16585431.000000000
44	-16585624.000000000
45	-16585946.000000000
46	-16586143.000000000
47	-16585241.000000000
48	-16585432.000000000
49	-16589716.000000000
50	-16586836.000000000
51	-16588053.000000000
52	-16588247.000000000
53	-16590304.000000000
54	-16590315.000000000
55	-16587745.000000000
56	-16587358.000000000
57	-16585429.000000000
58	-16586407.000000000
59	-16586216.000000000
60	-16587631.000000000
61	-16587502.000000000
62	-16585334.000000000
63	-16585643.000000000
64	-16589561.000000000
65	-16582425.000000000
66	-16584417.000000000
67	-16585369.000000000
68	-16584729.000000000
69	-16584212.000000000
70	-16584402.000000000
71	-16585809.000000000
72	-16586581.000000000
73	-16586067.000000000
74	-16586461.000000000
75	-16588197.000000000
76	-16588072.000000000
77	-16588266.000000000
78	-16588850.000000000
79	-16587050.000000000
80	-16586532.000000000
81	-16588005.000000000
82	-16590391.000000000
83	-16587943.000000000
84	-16585110.000000000
85	-16583757.000000000
86	-16585877.000000000
87	-16587739.000000000
88	-16589860.000000000
89	-16590054.000000000
90	-16585753.000000000
91	-16582544.000000000
92	-16580938.000000000
93	-16582417.000000000
94	-16587751.000000000
95	-16589854.000000000
96	-16592033.000000000
97	-16587921.000000000
98	-16586004.000000000
99	-16585106.000000000
100	-16586776.000000000
101	-16586776.000000000
102	-16584531.000000000
103	-16585366.000000000
104	-16587230.000000000
105	-16589607.000000000
106	-16589539.000000000
107	-16586841.000000000
108	-16585106.000000000
109	-16584463.000000000
110	-16586459.000000000
111	-16589605.000000000
112	-16588588.000000000
113	-16587053.000000000
114	-16585961.000000000
115	-16584603.000000000
116	-16584595.000000000
117	-16586714.000000000
118	-16586516.000000000
119	-16589980.000000000
120	-16588625.000000000
121	-16591771.000000000
122	-16592354.000000000
123	-16592163.000000000
124	-16592106.000000000
125	-16590114.000000000
126	-16590115.000000000
127	-16588828.000000000
128	-16593776.000000000
129	-16588621.000000000
130	-16584140.000000000
131	-16584077.000000000
132	-16585433.000000000
133	-16586266.000000000
134	-16586393.000000000
135	-16585172.000000000
136	-16586585.000000000
137	-16585363.000000000
138	-16586460.000000000
139	-16586718.000000000
140	-16586594.000000000
141	-16584604.000000000
142	-16583911.000000000
143	-16581154.000000000
144	-16579291.000000000
145	-16582677.000000000
146	-16582683.000000000
147	-16586212.000000000
148	-16586088.000000000
149	-16584543.000000000
150	-16584607.000000000
151	-16582485.000000000
152	-16587944.000000000
153	-16589356.000000000
154	-16591675.000000000
155	-16587564.000000000
156	-16584805.000000000
157	-16583391.000000000
158	-16586482.000000000
159	-16589372.000000000
160	-16588658.000000000
161	-16587297.000000000
162	-16585750.000000000
163	-16586709.000000000
164	-16586451.000000000
165	-16587156.000000000
166	-16587991.000000000
167	-16589978.000000000
168	-16590170.000000000
169	-16590943.000000000
170	-16591585.000000000
171	-16590629.000000000
172	-16592172.000000000
173	-16590887.000000000
174	-16589407.000000000
175	-16589924.000000000
176	-16586783.000000000
177	-16580610.000000000
178	-16582607.000000000
179	-16581577.000000000
180	-16585430.000000000
181	-16584657.000000000
182	-16581125.000000000
183	-16582023.000000000
184	-16580865.000000000
185	-16586709.000000000
186	-16586969.000000000
187	-16590823.000000000
188	-16592049.000000000
189	-16590505.000000000
190	-16589800.000000000
191	-16588321.000000000
192	-16587303.000000000
193	-16588262.000000000
194	-16589227.000000000
195	-16588775.000000000
196	-16587430.000000000
197	-16584987.000000000
198	-16584537.000000000
199	-16587426.000000000
200	-16585628.000000000
201	-16587683.000000000
202	-16589098.000000000
203	-16592048.000000000
204	-16593336.000000000
