Probennummer	Von	Bis	delta_D	delta_D_stDev	delta_18O	delta_18O_stDev	delta_17O	delta_17O_stDev	gemessen am	Messgerät
114	01.01.2016	11.01.2016	-91,921	0,092	-12,674	0,041	-6,703	0,013	04.05.2017	LGR
115	11.01.2016	14.01.2016	-107,803	0,249	-14,886	0,024	-7,889	0,006	04.05.2017	LGR
116	14.01.2016	18.01.2016	-69,032	0,029	-10,21	0,035	-5,471	0,042	04.05.2017	LGR
117	18.01.2016	29.01.2016	-72,766	0,113	-9,67	0,019	-5,136	0,003	04.05.2017	LGR
118	29.01.2016	01.02.2016	-82,353	0,023	-10,956	0,002	-5,843	0,003	04.05.2017	LGR
119	01.02.2016	03.02.2016	-32,215	0,048	-5,392	0,021	-2,936	0,026	04.05.2017	LGR
120	03.02.2016	04.02.2016	-47,641	0,09	-7,822	0,023	-4,153	0,001	04.05.2017	LGR
121	04.02.2016	05.02.2016	Probe fehlt							
122	05.02.2016	09.02.2016	-48,435	0,079	-7,135	0,004	-3,802	0,025	04.05.2017	LGR
123	09.02.2016	11.02.2016	-67,209	0,047	-9,096	0,027	-4,726	0,024	04.05.2017	LGR
124	11.02.2016	16.02.2016	-62,85	0,122	-8,939	0,014	-4,62	0,035	04.05.2017	LGR
125	16.02.2016	24.02.2016	-81,777	0,152	-10,849	0,012	-5,69	0,114	04.05.2017	LGR
126	24.02.2016	04.03.2016	-99,434	0,034	-13,318	0,081	-7,06	0,004	08.05.2017	LGR
127	04.03.2016	08.03.2016	-96,101	0,056	-12,778	0,076	-6,667	0,029	08.05.2017	LGR
128	08.03.2016	29.03.2016	-71,58	0,028	-9,626	0,052	-4,984	0,057	08.05.2017	LGR
129	29.03.2016	31.03.2016	-52,802	0,195	-7,814	0,166	-4,136	0,326	08.05.2017	LGR
130	31.03.2016	05.04.2016	-38,124	0,126	-5,706	0,136	-3,042	0,351	08.05.2017	LGR
131	05.04.2016	12.04.2016	-59,695	0,028	-8,388	0,032	-4,385	0,037	08.05.2017	LGR
132	12.04.2016	14.04.2016	-40,489	0,01	-6,125	0,012	-3,164	0,009	08.05.2017	LGR
133	14.04.2016	18.04.2016	-100,024	0,355	-13,157	0,009	-7,094	0,075	08.05.2017	LGR
134	18.04.2016	26.04.2016	-53,406	-	-8,057	-	-4,217	-	08.05.2017	LGR
135	26.04.2016	02.05.2016	-42,066	0,139	-6,492	0,156	-3,611	0,168	08.05.2017	LGR
136	02.05.2016	06.05.2016	-39,333	-	-4,913	-	-2,571	-	08.05.2017	LGR
137	06.05.2016	11.05.2016	-19,873	-	-1,801	-	-1,188	-	08.05.2017	LGR
138	11.05.2016	14.05.2016	-41,544	-	-5,843	-	-3,043	-	08.05.2017	LGR
139	14.05.2016	17.05.2016	-13,611	-	-3,49	-	-2,062	-	08.05.2017	LGR
140	17.05.2016	20.05.2016	-45,738	-	-6,581	-	-3,414	-	08.05.2017	LGR
141	20.05.2016	24.05.2016	-61,331	-	-8,042	-	-4,101	-	08.05.2017	LGR
142	24.05.2016	28.05.2016	-30,015	-	-3,7	-	-1,84	-	08.05.2017	LGR
143	28.05.2016	29.05.2016	-41,192	-	-6,122	-	-3,338	-	08.05.2017	LGR
144	29.05.2016	30.05.2016	Probe fehlt							
145	30.05.2016	02.06.2016	-68,278	0,06	-9,231	0,062	-4,803	0,11	10.05.2017	LGR
146	02.06.2016	05.06.2016	-68,684	-	-8,76	-	-4,618	-	08.05.2017	LGR
147	05.06.2016	06.06.2016	-86,277	-	-10,346	-	-5,52	-	08.05.2017	LGR
148	06.06.2016	08.06.2016	-59,836	-	-8,707	-	-4,684	-	08.05.2017	LGR
149	08.06.2016	09.06.2016	-37,257	-	-5,764	-	-3,059	-	08.05.2017	LGR
150	09.06.2016	13.06.2016	-58,293	0,103	-7,78	0,111	-4,07	0,135	10.05.2017	LGR
151	13.06.2016	14.06.2016	-29,973	0,202	-3,42	00.01.1900	-1,781	0,156	10.05.2017	LGR
152	14.06.2016	20.06.2016	-39,055	0,181	-3,957	0,059	-2,133	0,168	10.05.2017	LGR
153	20.06.2016	25.06.2016	-43,972	-	-5,968	-	-3,391	-	08.05.2017	LGR
154	25.06.2016	28.06.2016	-37,961	-	-5,613	-	-3,107	-	08.05.2017	LGR
155	28.06.2016	01.07.2016	-12,302	-	-1,599	-	-1,093	-	08.05.2017	LGR
156	01.07.2016	04.07.2016	-20,389	-	-2,936	-	-1,804	-	08.05.2017	LGR
157	04.07.2016	12.07.2016	-8,9	-	-1,649	-	-1,139	-	08.05.2017	LGR
158	12.07.2016	15.07.2016	-42,473	-	-6,217	-	-3,445	-	08.05.2017	LGR
159	15.07.2016	21.07.2016	-1,518	0,411	-1,298	0,036	-0,684	0,015	08.05.2017	LGR
160	21.07.2016	24.07.2016	-29,807	-	-5,158	-	-2,697	-	08.05.2017	LGR
161	24.07.2016	03.08.2016	-23,624	-	-3,363	-	-1,69	-	08.05.2017	LGR
162	03.08.2016	05.08.2016	-41,344	-	-5,77	-	-2,825	-	08.05.2017	LGR
163	05.08.2016	14.08.2016	-13,241	-	-2,932	-	-1,23	-	08.05.2017	LGR
164	14.08.2016	22.08.2016	-34,542	-	-5,287	-	-2,905	-	08.05.2017	LGR
165	22.08.2016	05.09.2016	-29,135	-	-4,195	-	-2,275	-	08.05.2017	LGR
