Sample Name	H2O [N/cm^3]	Processed Delta 2H	Processed Delta 2H StDev	Processed Delta 18O	Processed Delta 18O StDev	Processed Delta 17O	Processed Delta 17O StDev	L1 Narrow Band Metric	L1 Broad Band Metric	Averaged #
VE	3.083733E+16	-60.314692	1.522086E+0	-8.440227	1.801275E-1	-4.426481	9.241802E-3	4.39332000	1.00170999	3
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.055863E+16	-176.095062	1.748215E+0	-22.653961	3.027367E-1	-12.016785	2.131471E-1	4.68289667	1.00154546	3
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	3.069430E+16	-49.844975	2.805406E+0	-7.945680	2.257971E-1	-3.958792	1.249076E-1	4.42538750	1.00158256	4
Sammelprobe	3.086832E+16	1.453592	6.672289E-1	7.922436	1.213092E-1	4.004573	2.477973E-2	4.50088250	1.00163621	4
40_1252	3.031437E+16	-60.303048	8.438359E-1	-8.095046	1.285197E-1	-4.309667	8.168852E-2	4.59328500	1.00146723	4
50_1252	3.060047E+16	-60.219461	1.453263E+0	-8.275383	1.423268E-1	-4.336513	1.421783E-1	4.49126333	1.00152221	3
40_1323	3.060622E+16	-59.777412	4.281096E-1	-8.005661	6.348091E-2	-4.357741	3.494488E-2	4.55408750	1.00152623	4
50_1324	3.080627E+16	-58.295342	5.024969E-1	-7.606959	8.389091E-2	-4.191668	8.335641E-2	4.54999750	1.00155037	4
40_1352	3.088942E+16	-58.208540	2.034004E+0	-7.819835	2.057823E-1	-4.308418	1.180085E-1	4.81086500	1.00155574	4
Colle	3.094377E+16	-49.465617	5.728130E-1	-8.079756	4.993762E-2	-4.553781	6.563139E-2	4.54117750	1.00158256	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.110800E+16	-175.933387	5.329997E-1	-22.541131	8.794429E-2	-11.966598	9.015159E-2	4.76614000	1.00157854	4
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	3.111442E+16	-60.949289	2.455778E-1	-8.680735	2.712746E-2	-4.618197	9.033065E-2	4.52913500	1.00153026	4
Sammelprobe	3.099840E+16	1.716676	4.610188E-1	8.015866	9.262809E-2	4.067795	6.910922E-2	4.79148250	1.00143237	4
50_1353	3.102185E+16	-55.993712	5.721311E-1	-6.825295	1.131026E-1	-3.953074	3.911386E-2	4.80648500	1.00140690	4
40_1423	3.111287E+16	-57.428049	1.083155E+0	-7.414698	8.756633E-2	-4.283632	9.548922E-2	4.76596250	1.00138008	4
50_1424	3.119687E+16	-53.686017	4.221167E-1	-6.372634	5.059743E-2	-3.726692	4.016931E-2	4.64681000	1.00140287	4
40_1453	3.122980E+16	-56.338804	4.503139E-1	-7.332182	4.703024E-2	-4.268941	2.338999E-2	4.73684500	1.00142701	4
