Sample Name	H2O [N/cm^3]	Processed Delta 2H	Processed Delta 2H StDev	Processed Delta 18O	Processed Delta 18O StDev	Processed Delta 17O	Processed Delta 17O StDev	L1 Narrow Band Metric	L1 Broad Band Metric	Averaged #
VE	3.082877E+16	-60.446245	3.820920E-1	-8.502508	5.159142E-2	-4.306145	4.753261E-2	4.57900250	1.00075812	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.099895E+16	-176.084364	3.429138E-1	-22.652069	9.253853E-2	-12.010500	1.121127E-1	4.71598500	1.00046552	4
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	3.111523E+16	-50.686988	7.492874E-1	-8.280067	6.988479E-2	-3.917963	1.099085E-1	4.54341333	1.00049713	3
Sammelprobe	3.117775E+16	1.862955	8.980062E-1	7.894756	1.304011E-1	4.105429	5.802915E-2	4.77966500	1.00041476	4
293	3.118555E+16	-12.121965	8.845922E-1	-2.948119	1.920901E-1	-1.674283	1.208116E-1	4.57744250	1.00035600	4
58	3.130655E+16	-43.279174	3.580335E-1	-6.788030	4.079931E-2	-3.694812	2.425006E-2	4.55159500	1.00036535	4
298	3.132680E+16	-38.818818	5.528451E-1	-6.269027	4.219797E-2	-3.305312	4.084603E-2	4.44159750	1.00034932	4
k009	3.142182E+16	-89.720405	1.261940E+0	-12.890511	9.962586E-2	-6.772371	3.610638E-2	4.48784750	1.00036535	4
w051	3.134010E+16	-73.946772	3.248847E-1	-10.106546	5.936349E-2	-5.389904	3.597828E-2	4.56136000	1.00032796	4
Sammelprobe	3.121845E+16	1.773193	8.530379E-1	8.075331	1.581658E-1	3.763976	6.880795E-2	4.56048000	1.00031193	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.114720E+16	-176.078695	7.490657E-1	-22.649791	1.176395E-1	-12.016562	6.662626E-2	4.74021250	1.00023049	4
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	3.118705E+16	-60.513542	1.097601E+0	-8.552923	1.203226E-1	-4.507355	1.304226E-1	4.49529000	1.00025318	4
Colle	3.114257E+16	-49.684763	7.795251E-1	-7.939286	9.782005E-2	-4.286083	3.822589E-2	4.65366500	1.00024117	4
w075	3.118007E+16	-94.308817	1.049801E+0	-12.757294	1.336435E-1	-6.929982	7.552143E-2	4.60062000	1.00023583	4
w023	3.124182E+16	-71.253412	1.000534E+0	-10.367466	1.284229E-1	-5.655830	1.004233E-1	4.45534000	1.00024517	4
w077	3.105217E+16	-29.968383	2.631786E-1	-5.669309	1.474207E-1	-3.186408	5.542478E-2	4.50635000	1.00020646	4
60_1321	3.104840E+16	-58.657980	4.524418E-1	-7.775090	1.002791E-1	-4.322850	4.519247E-2	4.55263250	1.00021180	4
60_1351	3.109885E+16	-55.406218	7.376044E-1	-6.638903	8.056317E-2	-3.652349	5.068779E-2	4.57363000	1.00023983	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.109687E+16	-175.982387	8.360799E-1	-22.593233	8.784995E-2	-11.990521	1.109640E-1	4.84225750	1.00013037	4
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	3.117985E+16	1.627673	7.125099E-1	7.973553	7.162796E-2	4.047915	5.547162E-2	4.76688250	1.00008232	4
VE	3.114632E+16	-60.297268	3.274673E-1	-8.552533	1.269210E-1	-4.537202	2.032742E-2	4.80597750	1.00001559	4
Colle	3.129780E+16	-49.666802	6.276680E-1	-8.102579	1.015935E-1	-4.267875	5.445843E-2	4.75707000	1.00003561	4
60_1421	3.105007E+16	-51.628385	7.925075E-1	-5.318043	9.017874E-2	-3.016084	5.143374E-2	4.78366250	0.99989683	4
60_1451	3.123835E+16	-48.396283	5.110144E-1	-4.188446	6.269229E-2	-2.342464	7.277002E-2	4.78601500	0.99999957	4
60_1521	3.118257E+16	-44.009859	1.294262E+0	-2.427498	1.821815E-1	-1.528404	7.441291E-2	4.79047750	0.99994220	4
60_1551	3.096882E+16	-39.782441	1.263617E+0	-0.783161	1.696433E-1	-0.810403	5.444253E-2	4.70594250	1.00001158	4
60_1621	3.098382E+16	-34.909826	1.232343E-1	0.988387	2.054950E-1	0.046214	3.827870E-2	5.04822000	1.00006897	4
VE	3.105172E+16	-60.781930	4.326290E-1	-8.309888	7.879405E-2	-4.515923	6.029226E-2	4.73228000	1.00010634	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.085247E+16	-175.978986	6.526589E-1	-22.577032	1.416845E-1	-11.966973	3.219430E-2	4.86833750	1.00010501	4
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	3.096772E+16	-49.989519	1.016101E+0	-8.156810	2.374671E-1	-4.360264	5.621055E-2	4.73490500	1.00013304	4
Sammelprobe	3.082830E+16	1.691504	4.517450E-1	7.990841	1.316431E-1	4.070236	3.526545E-2	4.88756500	1.00012770	4
293	3.095705E+16	-12.428752	9.384606E-1	-3.026870	9.199934E-2	-1.613195	6.838731E-2	4.67122500	1.00013838	4
58	3.124342E+16	-43.187059	1.030776E+0	-6.939758	7.481297E-2	-3.537792	5.221325E-2	4.75756250	1.00017175	4
298	3.144870E+16	-38.387055	9.141604E-1	-6.498383	6.234414E-2	-3.256819	4.216005E-2	4.64612000	1.00021447	4
k009	3.121877E+16	-88.825814	1.256743E+0	-12.836650	1.801275E-1	-6.691809	1.986799E-2	4.68493000	1.00013571	3
w051	3.107935E+16	-73.781767	1.987168E+0	-10.276836	8.850819E-2	-5.321903	1.254976E-1	4.63827000	1.00005963	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.095747E+16	-175.942977	6.456882E-1	-22.548878	1.603978E-1	-12.040542	1.950152E-2	4.79995250	0.99998356	4
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	3.081152E+16	1.699331	8.240338E-1	8.009675	1.172865E-1	4.004133	3.208656E-2	4.93656250	0.99987682	4
VE	3.104962E+16	-60.605417	4.929233E-1	-8.557049	6.229424E-2	-4.487771	4.384430E-2	4.78606250	0.99992485	4
Colle	3.088702E+16	-49.716631	4.421993E-1	-7.899774	1.573248E-1	-4.226595	5.526316E-2	4.83591500	0.99985547	4
w075	3.088212E+16	-95.139359	4.213576E-1	-12.810215	1.193105E-1	-6.817720	2.675079E-2	4.81078000	0.99985547	4
w023	3.100115E+16	-72.354532	5.160522E-1	-10.343642	1.093756E-1	-5.564720	2.087369E-2	4.90953500	0.99984747	4
w077	3.085332E+16	-30.910211	2.231039E-1	-5.561071	9.570993E-2	-3.192854	2.277748E-2	4.78240000	0.99975009	4
60_1321	3.081712E+16	-58.937000	7.157322E-2	-7.706177	6.387156E-2	-4.297532	4.731966E-2	4.96466000	0.99978211	4
60_1351	3.105552E+16	-56.184602	1.478070E-1	-6.832599	3.464450E-2	-3.762927	5.095464E-2	4.91810750	0.99980478	4
Colle	3.115920E+16	-49.540320	2.129260E-1	-8.049155	6.045346E-2	-4.346543	3.807462E-2	4.91049000	0.99979144	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.074595E+16	-175.790049	1.426368E+0	-22.523307	5.744689E-2	-11.983898	1.142516E-1	4.86281500	0.99981812	4
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	3.090950E+16	-61.347772	3.782232E-1	-8.712675	1.780905E-1	-4.586586	2.121647E-2	4.92224250	0.99981812	4
Sammelprobe	3.067727E+16	1.971821	4.725762E-1	8.029981	1.176747E-1	4.053484	6.158494E-2	4.97226000	0.99979945	4
60_1421	3.116290E+16	-50.427950	4.893816E-1	-5.288843	8.743604E-2	-2.721472	1.016371E-2	4.83928750	0.99981545	4
60_1451	3.119382E+16	-46.938448	1.122521E+0	-4.072265	5.766299E-2	-2.160961	5.749463E-2	4.79312250	0.99983680	4
60_1521	3.085997E+16	-42.152237	4.457280E-1	-2.123857	1.105913E-1	-1.241749	3.550194E-2	5.02918500	0.99972875	4
60_1551	3.081920E+16	-38.036455	4.966191E-1	-0.820213	1.183422E-1	-0.616138	5.521615E-2	4.64773250	1.00020245	4
60_1621	3.114387E+16	-32.586356	9.825535E-1	0.850523	8.681743E-2	0.361013	9.241802E-3	4.91817000	0.99991017	4
Colle	3.080700E+16	-48.967708	1.885846E+0	-7.989568	3.558636E-1	-4.340366	1.575783E-1	5.00115750	0.99969274	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.049680E+16	-176.001949	6.345830E-2	-22.652154	1.304885E-1	-12.017088	1.097876E-1	5.26808000	0.99937011	2
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	3.072522E+16	-61.254422	3.877499E-1	-8.644583	1.119698E-1	-4.695701	4.719755E-2	4.90235500	0.99956873	4
Sammelprobe	3.063407E+16	1.442270	2.075375E+0	7.919091	1.627075E-1	4.020473	8.052159E-2	5.14665000	0.99948741	4
VE	3.063770E+16	-60.071927	1.296008E+0	-8.287784	1.814061E-1	-4.482325	8.715719E-2	5.04009750	0.99964474	4
VE	3.096640E+16	-60.295921	1.877080E+0	-8.491724	1.599020E-1	-4.397447	1.091571E-1	4.99874667	0.99951496	6
