VC:2f90039 BD:Jan 22 2014 SN:LGR-14-0077
                     Time,        H2O_ppm,     H2O_ppm_sd,        O18_del,     O18_del_sd,          D_del,       D_del_sd,        O17_del,     O17_del_sd,         O18O16,      O18O16_sd,         O17O16,      O17O16_sd,             DH,          DH_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,            Gnd,         Gnd_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd,            R1a,         R1a_sd,            R1b,         R1b_sd,             R2,          R2_sd,             R3,          R3_sd,             R4,          R4_sd,            R2C,         R2C_sd,            R4C,         R4C_sd,            R3C,         R3C_sd,           BL0T,        BL0T_sd,           BL1T,        BL1T_sd,           BL2F,        BL2F_sd,           BL3F,        BL3F_sd,     H2O18_8_CT,  H2O18_8_CT_sd,     H2O18_8_AT,  H2O18_8_AT_sd,     H2O18_8_DF,  H2O18_8_DF_sd,     H2O18_8_PT,  H2O18_8_PT_sd,     H2Oa_10_CT,  H2Oa_10_CT_sd,     H2Oa_10_AT,  H2Oa_10_AT_sd,     H2Oa_10_DF,  H2Oa_10_DF_sd,     H2Oa_10_PT,  H2Oa_10_PT_sd,      HOD_11_CT,   HOD_11_CT_sd,      HOD_11_AT,   HOD_11_AT_sd,      HOD_11_DF,   HOD_11_DF_sd,      HOD_11_PF,   HOD_11_PF_sd,         BL0T_B,      BL0T_B_sd,         BL1T_B,      BL1T_B_sd,         BL2F_B,      BL2F_B_sd,         BL3F_B,      BL3F_B_sd,   H2Ob_10_CT_B,H2Ob_10_CT_B_sd,   H2Ob_10_AT_B,H2Ob_10_AT_B_sd,   H2Ob_10_DF_B,H2Ob_10_DF_B_sd,   H2Ob_10_PT_B,H2Ob_10_PT_B_sd,  H2O17_14_CT_B,H2O17_14_CT_B_sd,  H2O17_14_AT_B,H2O17_14_AT_B_sd,  H2O17_14_DF_B,H2O17_14_DF_B_sd,  H2O17_14_PT_B,H2O17_14_PT_B_sd,       Fit_Flag,   N_Fits_Avg'd,      MIU_VALVE,       MIU_DESC,  WVISS_VOLTAGE,     WVISS_DESC
  11/26/2018 09:40:00.632,    7.22681e+03,    1.17386e+01,   -2.47374e+01,    1.28077e+00,   -1.68090e+02,    2.29946e+00,   -1.09431e+01,    1.22301e+00,    1.95560e-03,    2.56820e-06,    3.75743e-04,    4.64622e-07,    1.29570e-04,    3.58141e-07,    4.01433e+01,    1.88617e-04,    4.65935e+01,    2.80585e-04,    6.13034e+00,    2.22610e-03,    5.88865e+00,    8.79760e-04,    2.15449e-01,    4.94757e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.20819e+03,    1.17288e+01,    7.06553e+03,    3.88923e+00,    1.41431e+01,    1.47924e-02,    2.65449e+00,    2.67944e-03,    1.85950e+00,    5.22801e-03,    1.40963e+01,    1.48005e-02,    1.86817e+00,    5.24902e-03,    2.65482e+00,    2.67853e-03,    1.85415e+00,    1.33027e-04,    1.52374e-04,    2.96229e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28525e+00,    5.47862e-04,    1.78659e-01,    1.68007e-04,    3.08950e-01,    1.35557e-07,    3.60218e+00,    6.59179e-03,   -4.78217e-02,    5.26004e-04,    1.22148e-01,    2.04680e-04,    3.25695e-01,    1.42904e-07,    4.06154e+00,    1.17401e-02,    5.05591e+00,    8.95812e-04,    1.31440e-02,    3.58826e-05,    3.16968e-01,    1.39075e-07,    1.82315e+00,    5.26990e-03,    2.22971e+00,    1.16726e-04,    2.32657e-04,    2.49659e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48706e+00,    3.63133e-04,    1.12023e-01,    6.56823e-05,    3.23634e-01,    1.42000e-07,    3.78114e+00,    6.07339e-03,    7.24823e+00,    3.28976e-04,    7.91169e-02,    8.08428e-05,    3.14980e-01,    1.38203e-07,    3.72898e+00,    1.16445e-02,              3,             10,              3,        3rd unk,              0,           REF0
  11/26/2018 09:40:10.666,    7.21841e+03,    9.29195e+00,   -2.45113e+01,    1.41133e+00,   -1.67665e+02,    3.10953e+00,   -1.07602e+01,    1.28816e+00,    1.95605e-03,    2.83000e-06,    3.75812e-04,    4.89372e-07,    1.29636e-04,    4.84310e-07,    4.01440e+01,    3.50918e-04,    4.65936e+01,    1.74560e-04,    6.13031e+00,    2.04425e-03,    5.88862e+00,    1.05662e-03,    2.15471e-01,    3.25412e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.19980e+03,    9.29100e+00,    7.05987e+03,    5.00499e+00,    1.41300e+01,    1.24093e-02,    2.65286e+00,    3.47445e-03,    1.85828e+00,    6.78999e-03,    1.40832e+01,    1.23795e-02,    1.86695e+00,    6.82070e-03,    2.65319e+00,    3.47727e-03,    1.85421e+00,    8.81305e-05,    1.52388e-04,    2.01364e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28530e+00,    2.50973e-04,    1.78496e-01,    1.27500e-04,    3.08950e-01,    8.43337e-08,    3.60579e+00,    4.35426e-03,   -4.79948e-02,    4.18763e-04,    1.22008e-01,    1.70165e-04,    3.25695e-01,    8.89045e-08,    4.06217e+00,    1.22387e-02,    5.05533e+00,    8.75362e-04,    1.31356e-02,    4.76526e-05,    3.16968e-01,    8.65224e-08,    1.82343e+00,    5.49375e-03,    2.22971e+00,    1.56378e-04,    2.32670e-04,    2.65604e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48712e+00,    4.36975e-04,    1.11935e-01,    9.18622e-05,    3.23634e-01,    8.83420e-08,    3.78661e+00,    7.05238e-03,    7.24832e+00,    2.71288e-04,    7.90694e-02,    1.06683e-04,    3.14980e-01,    8.59799e-08,    3.73761e+00,    1.19931e-02,              3,             10,              6,        6th unk,              0,           REF0
  11/26/2018 09:40:20.701,    7.21418e+03,    9.58556e+00,   -2.46809e+01,    1.44799e+00,   -1.66029e+02,    3.75764e+00,   -1.09419e+01,    7.65948e-01,    1.95571e-03,    2.90351e-06,    3.75743e-04,    2.90984e-07,    1.29891e-04,    5.85253e-07,    4.01433e+01,    2.88212e-04,    4.65937e+01,    1.44130e-04,    6.12988e+00,    1.49387e-03,    5.88883e+00,    1.31268e-03,    2.15467e-01,    2.88083e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.19559e+03,    9.58054e+00,    7.05095e+03,    3.47046e+00,    1.41193e+01,    1.44026e-02,    2.64904e+00,    2.12891e-03,    1.86084e+00,    8.72101e-03,    1.40725e+01,    1.43721e-02,    1.86953e+00,    8.75940e-03,    2.64935e+00,    2.13134e-03,    1.85430e+00,    9.51740e-05,    1.52336e-04,    2.37647e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28550e+00,    3.23332e-04,    1.78345e-01,    1.68943e-04,    3.08950e-01,    6.96322e-08,    3.60343e+00,    8.05804e-03,   -4.82151e-02,    3.79410e-04,    1.21926e-01,    1.59575e-04,    3.25695e-01,    7.34062e-08,    4.05890e+00,    1.18737e-02,    5.05562e+00,    6.55176e-04,    1.31525e-02,    6.03833e-05,    3.16968e-01,    7.14394e-08,    1.82197e+00,    5.32990e-03,    2.22967e+00,    1.11123e-04,    2.32815e-04,    2.88387e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48720e+00,    4.40529e-04,    1.11795e-01,    5.20021e-05,    3.23634e-01,    7.29417e-08,    3.77935e+00,    5.16976e-03,    7.24843e+00,    3.96294e-04,    7.89569e-02,    6.08292e-05,    3.14980e-01,    7.09914e-08,    3.72824e+00,    8.11207e-03,              3,             10,             11,    3rd miu ref,              0,           REF0
  11/26/2018 09:40:30.737,    7.21626e+03,    1.12650e+01,   -2.47687e+01,    1.68486e+00,   -1.67170e+02,    4.00532e+00,   -1.15863e+01,    1.47324e+00,    1.95553e-03,    3.37849e-06,    3.75498e-04,    5.59683e-07,    1.29713e-04,    6.23829e-07,    4.01434e+01,    6.05922e-04,    4.65935e+01,    1.04141e-04,    6.13039e+00,    1.49510e-03,    5.88853e+00,    8.32586e-04,    2.15497e-01,    3.95209e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.19767e+03,    1.12625e+01,    7.05312e+03,    4.85806e+00,    1.41221e+01,    1.73178e-02,    2.64812e+00,    3.15892e-03,    1.85883e+00,    8.29321e-03,    1.40753e+01,    1.72834e-02,    1.86750e+00,    8.33246e-03,    2.64843e+00,    3.15764e-03,    1.85417e+00,    1.07275e-04,    1.52409e-04,    1.93219e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28567e+00,    2.46458e-04,    1.78396e-01,    2.11011e-04,    3.08950e-01,    5.03129e-08,    3.60389e+00,    1.06911e-02,   -4.84505e-02,    3.68283e-04,    1.21971e-01,    1.84830e-04,    3.25695e-01,    5.30398e-08,    4.06092e+00,    1.34463e-02,    5.05518e+00,    1.20486e-03,    1.31394e-02,    5.71796e-05,    3.16968e-01,    5.16187e-08,    1.82287e+00,    6.03579e-03,    2.22968e+00,    1.03793e-04,    2.32798e-04,    2.85977e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48704e+00,    4.56797e-04,    1.11825e-01,    7.57756e-05,    3.23634e-01,    5.27042e-08,    3.78243e+00,    5.39943e-03,    7.24824e+00,    5.34728e-04,    7.89259e-02,    9.30998e-05,    3.14980e-01,    5.12950e-08,    3.72432e+00,    1.32230e-02,              3,             10,              2,        2nd unk,              0,           REF0
  11/26/2018 09:40:40.772,    7.21968e+03,    1.02448e+01,   -2.46483e+01,    1.59150e+00,   -1.68210e+02,    3.92997e+00,   -1.09098e+01,    7.84176e-01,    1.95578e-03,    3.19128e-06,    3.75755e-04,    2.97909e-07,    1.29551e-04,    6.12093e-07,    4.01436e+01,    4.36073e-04,    4.65934e+01,    1.14217e-04,    6.12980e+00,    1.37026e-03,    5.88797e+00,    7.67927e-04,    2.15504e-01,    3.81128e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.20108e+03,    1.02404e+01,    7.06056e+03,    5.51446e+00,    1.41305e+01,    1.34873e-02,    2.65272e+00,    1.88678e-03,    1.85739e+00,    9.13334e-03,    1.40837e+01,    1.34506e-02,    1.86606e+00,    9.17344e-03,    2.65304e+00,    1.89113e-03,    1.85435e+00,    1.23654e-04,    1.52350e-04,    1.64034e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28549e+00,    4.35003e-04,    1.78486e-01,    1.39958e-04,    3.08950e-01,    5.51808e-08,    3.60345e+00,    7.61376e-03,   -4.81339e-02,    4.00329e-04,    1.22018e-01,    1.78591e-04,    3.25695e-01,    5.81715e-08,    4.05876e+00,    1.30272e-02,    5.05600e+00,    6.57607e-04,    1.31281e-02,    6.54259e-05,    3.16968e-01,    5.66128e-08,    1.82190e+00,    5.84766e-03,    2.22971e+00,    1.16096e-04,    2.32794e-04,    2.90749e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48676e+00,    6.26489e-04,    1.11932e-01,    9.22002e-05,    3.23634e-01,    5.78034e-08,    3.78412e+00,    7.76213e-03,    7.24795e+00,    6.43199e-04,    7.90557e-02,    5.80016e-05,    3.14980e-01,    5.62579e-08,    3.73049e+00,    6.86339e-03,              3,             10,              5,        5th unk,              0,           REF0
  11/26/2018 09:40:50.807,    7.23704e+03,    9.25475e+00,   -2.51286e+01,    1.19588e+00,   -1.68105e+02,    2.93408e+00,   -1.17258e+01,    7.21332e-01,    1.95481e-03,    2.39797e-06,    3.75445e-04,    2.74034e-07,    1.29568e-04,    4.56983e-07,    4.01436e+01,    1.73673e-04,    4.65935e+01,    1.64332e-04,    6.12994e+00,    1.06261e-03,    5.88876e+00,    9.01462e-04,    2.15437e-01,    4.22984e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.21840e+03,    9.24688e+00,    7.07195e+03,    6.52362e+00,    1.41573e+01,    1.68458e-02,    2.65478e+00,    2.42307e-03,    1.86211e+00,    5.40168e-03,    1.41106e+01,    1.68291e-02,    1.87078e+00,    5.42958e-03,    2.65513e+00,    2.43088e-03,    1.85414e+00,    1.13836e-04,    1.52530e-04,    1.68535e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28557e+00,    2.73615e-04,    1.78829e-01,    2.03473e-04,    3.08950e-01,    7.93924e-08,    3.60350e+00,    6.71480e-03,   -4.82834e-02,    3.20126e-04,    1.22314e-01,    1.56568e-04,    3.25695e-01,    8.36954e-08,    4.06757e+00,    7.97738e-03,    5.05568e+00,    6.51724e-04,    1.31617e-02,    3.77284e-05,    3.16968e-01,    8.14529e-08,    1.82586e+00,    3.58090e-03,    2.22969e+00,    1.64417e-04,    2.32777e-04,    3.21317e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48665e+00,    6.94265e-04,    1.12128e-01,    1.01279e-04,    3.23634e-01,    8.31658e-08,    3.78331e+00,    5.51243e-03,    7.24790e+00,    6.11202e-04,    7.91279e-02,    7.27347e-05,    3.14980e-01,    8.09421e-08,    3.72477e+00,    5.37302e-03,              3,             10,              1,        1st unk,              0,           REF0
  11/26/2018 09:41:00.842,    7.25575e+03,    1.07339e+01,   -2.47094e+01,    1.00735e+00,   -1.68228e+02,    3.60275e+00,   -1.07715e+01,    1.19685e+00,    1.95565e-03,    2.01994e-06,    3.75808e-04,    4.54683e-07,    1.29548e-04,    5.61129e-07,    4.01441e+01,    2.20652e-04,    4.65937e+01,    1.23359e-04,    6.12886e+00,    1.32507e-03,    5.88816e+00,    1.01214e-03,    2.15459e-01,    6.09134e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.23705e+03,    1.07174e+01,    7.09456e+03,    1.11021e+01,    1.41999e+01,    1.74613e-02,    2.66581e+00,    5.56788e-03,    1.86666e+00,    8.06446e-03,    1.41532e+01,    1.74683e-02,    1.87534e+00,    8.10023e-03,    2.66619e+00,    5.58375e-03,    1.85432e+00,    1.37097e-04,    1.52238e-04,    2.13494e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28550e+00,    3.30167e-04,    1.79337e-01,    2.24051e-04,    3.08950e-01,    5.95972e-08,    3.60432e+00,    7.35553e-03,   -4.81994e-02,    4.64382e-04,    1.22610e-01,    1.82443e-04,    3.25695e-01,    6.28273e-08,    4.05978e+00,    7.14943e-03,    5.05535e+00,    9.83475e-04,    1.31917e-02,    5.46656e-05,    3.16968e-01,    6.11439e-08,    1.82236e+00,    3.20925e-03,    2.22968e+00,    1.25742e-04,    2.32733e-04,    3.27162e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48677e+00,    4.14385e-04,    1.12476e-01,    1.68313e-04,    3.23634e-01,    6.24298e-08,    3.78336e+00,    7.14292e-03,    7.24799e+00,    3.77268e-04,    7.94492e-02,    1.61442e-04,    3.14980e-01,    6.07605e-08,    3.73251e+00,    1.32718e-02,              3,             10,              4,        4th unk,              0,           REF0
  11/26/2018 09:41:10.877,    7.28890e+03,    1.60245e+01,   -2.49878e+01,    1.54511e+00,   -1.67620e+02,    3.62791e+00,   -1.16138e+01,    9.46930e-01,    1.95509e-03,    3.09826e-06,    3.75488e-04,    3.59739e-07,    1.29643e-04,    5.65047e-07,    4.01443e+01,    4.51511e-04,    4.65937e+01,    1.18010e-04,    6.12917e+00,    1.55476e-03,    5.88836e+00,    8.28362e-04,    2.15474e-01,    4.72393e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.27013e+03,    1.60057e+01,    7.12239e+03,    1.18035e+01,    1.42604e+01,    2.17527e-02,    2.67394e+00,    4.66760e-03,    1.87659e+00,    7.45518e-03,    1.42138e+01,    2.17756e-02,    1.88528e+00,    7.48818e-03,    2.67437e+00,    4.68443e-03,    1.85413e+00,    1.00504e-04,    1.52456e-04,    1.64842e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28450e+00,    3.13896e-04,    1.80111e-01,    2.94383e-04,    3.08950e-01,    5.70133e-08,    3.60496e+00,    6.52947e-03,   -4.71823e-02,    2.41363e-04,    1.23177e-01,    2.87239e-04,    3.25695e-01,    6.01033e-08,    4.06515e+00,    1.77202e-02,    5.05706e+00,    1.12360e-03,    1.32626e-02,    5.11486e-05,    3.16968e-01,    5.84929e-08,    1.82477e+00,    7.95429e-03,    2.22955e+00,    1.35770e-04,    2.32898e-04,    3.60998e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48671e+00,    3.73146e-04,    1.12922e-01,    1.79178e-04,    3.23634e-01,    5.97230e-08,    3.78087e+00,    6.07167e-03,    7.24797e+00,    6.03395e-04,    7.96944e-02,    1.32922e-04,    3.14980e-01,    5.81261e-08,    3.72367e+00,    7.26621e-03,              3,             10,              8,        8th unk,              0,           REF0
  11/26/2018 09:41:20.913,    7.32116e+03,    1.59512e+01,   -2.44523e+01,    1.60943e+00,   -1.68661e+02,    2.27813e+00,   -1.09886e+01,    1.15327e+00,    1.95617e-03,    3.22723e-06,    3.75725e-04,    4.38129e-07,    1.29481e-04,    3.54819e-07,    4.01435e+01,    2.74625e-04,    4.65937e+01,    9.50537e-05,    6.12809e+00,    1.21323e-03,    5.88799e+00,    9.09728e-04,    2.15454e-01,    3.38928e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.30229e+03,    1.59357e+01,    7.15749e+03,    9.00459e+00,    1.43311e+01,    2.05931e-02,    2.68876e+00,    3.84192e-03,    1.88257e+00,    5.55375e-03,    1.42845e+01,    2.06164e-02,    1.89126e+00,    5.57151e-03,    2.68925e+00,    3.85150e-03,    1.85429e+00,    1.06897e-04,    1.52209e-04,    2.36789e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28529e+00,    2.79132e-04,    1.80968e-01,    2.53678e-04,    3.08950e-01,    4.59224e-08,    3.60960e+00,    7.46754e-03,   -4.81028e-02,    4.04866e-04,    1.23698e-01,    2.61445e-04,    3.25695e-01,    4.84114e-08,    4.05982e+00,    1.67144e-02,    5.05560e+00,    4.58952e-04,    1.33023e-02,    3.93833e-05,    3.16968e-01,    4.71142e-08,    1.82238e+00,    7.50277e-03,    2.22963e+00,    1.45441e-04,    2.32874e-04,    3.55509e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48657e+00,    4.21672e-04,    1.13469e-01,    1.45130e-04,    3.23634e-01,    4.81051e-08,    3.78267e+00,    7.24218e-03,    7.24785e+00,    5.00324e-04,    8.01296e-02,    1.14707e-04,    3.14980e-01,    4.68188e-08,    3.73265e+00,    1.34625e-02,              3,             10,             16,    8th miu ref,              0,           REF0
  11/26/2018 09:41:30.948,    7.34642e+03,    1.52353e+01,   -2.50173e+01,    1.86768e+00,   -1.68511e+02,    4.20828e+00,   -1.08247e+01,    8.94276e-01,    1.95504e-03,    3.74507e-06,    3.75788e-04,    3.39736e-07,    1.29504e-04,    6.55439e-07,    4.01437e+01,    3.27583e-04,    4.65937e+01,    1.67459e-04,    6.12884e+00,    1.62172e-03,    5.88873e+00,    1.11139e-03,    2.15440e-01,    3.44461e-05,   -2.40471e+00,    0.00000e+00,   -2.11237e+00,    0.00000e+00,    7.32750e+03,    1.52269e+01,    7.18244e+03,    7.44963e+00,    1.43720e+01,    1.15397e-02,    2.69854e+00,    2.33215e-03,    1.88944e+00,    1.00118e-02,    1.43255e+01,    1.15533e-02,    1.89813e+00,    1.00526e-02,    2.69907e+00,    2.33898e-03,    1.85412e+00,    9.81764e-05,    1.52437e-04,    2.10327e-07,   -5.09555e-06,    8.92851e-22,    0.00000e+00,    0.00000e+00,   -5.28517e+00,    2.11396e-04,    1.81508e-01,    1.69573e-04,    3.08950e-01,    8.09032e-08,    3.60538e+00,    3.61867e-03,   -4.78169e-02,    3.72920e-04,    1.24141e-01,    2.72821e-04,    3.25695e-01,    8.52880e-08,    4.06162e+00,    1.77170e-02,    5.05612e+00,    1.16522e-03,    1.33526e-02,    7.06233e-05,    3.16968e-01,    8.30028e-08,    1.82319e+00,    7.95283e-03,    2.22954e+00,    1.39281e-04,    2.33004e-04,    2.80352e-07,    3.21880e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.48647e+00,    2.50442e-04,    1.13879e-01,    1.13740e-04,    3.23634e-01,    8.47484e-08,    3.78449e+00,    6.42205e-03,    7.24779e+00,    3.30610e-04,    8.04317e-02,    6.84758e-05,    3.14980e-01,    8.24823e-08,    3.73154e+00,    5.50162e-03,              3,             10,              4,        4th unk,              0,           REF0
