id	Date/time	Temperatur[°C]	Luftfeuchte[%rH]		
3565	11/26/2018 12:58:00 AM	23.9	28.2		
3566	11/26/2018 1:03:00 AM	23.9	28.2		
3567	11/26/2018 1:08:00 AM	23.9	28.1		
3568	11/26/2018 1:13:00 AM	23.9	28.2		
3569	11/26/2018 1:18:00 AM	23.9	28.3		
3570	11/26/2018 1:23:00 AM	23.9	28.3		
3571	11/26/2018 1:28:00 AM	23.9	28.4		
3572	11/26/2018 1:33:00 AM	23.9	28.4		
3573	11/26/2018 1:38:00 AM	23.9	28.5		
3574	11/26/2018 1:43:00 AM	23.9	28.5		
3575	11/26/2018 1:48:00 AM	23.9	28.5		
3576	11/26/2018 1:53:00 AM	23.9	28.5		
3577	11/26/2018 1:58:00 AM	23.9	28.5		
3578	11/26/2018 2:03:00 AM	23.9	28.4		
3579	11/26/2018 2:08:00 AM	23.9	28.4		
3580	11/26/2018 2:13:00 AM	23.9	28.4		
3581	11/26/2018 2:18:00 AM	23.9	28.1		
3582	11/26/2018 2:23:00 AM	23.9	27.7		
3583	11/26/2018 2:28:00 AM	23.9	27.5		
3584	11/26/2018 2:33:00 AM	23.9	27.4		
3585	11/26/2018 2:38:00 AM	23.9	27.3		
3586	11/26/2018 2:43:00 AM	23.9	27.2		
3587	11/26/2018 2:48:00 AM	23.9	27.2		
3588	11/26/2018 2:53:00 AM	23.9	27.1		
3589	11/26/2018 2:58:00 AM	23.9	27.2		
3590	11/26/2018 3:03:00 AM	23.9	27.1		
3591	11/26/2018 3:08:00 AM	23.9	27.2		
3592	11/26/2018 3:13:00 AM	23.9	27.1		
3593	11/26/2018 3:18:00 AM	23.9	27.1		
3594	11/26/2018 3:23:00 AM	23.9	27.1		
3595	11/26/2018 3:28:00 AM	23.9	27.1		
3596	11/26/2018 3:33:00 AM	23.9	27.2		
3597	11/26/2018 3:38:00 AM	23.9	27.1		
3598	11/26/2018 3:43:00 AM	23.9	27.1		
3599	11/26/2018 3:48:00 AM	23.9	27.1		
3600	11/26/2018 3:53:00 AM	23.9	27.1		
3601	11/26/2018 3:58:00 AM	23.9	27.1		
3602	11/26/2018 4:03:00 AM	23.9	27.1		
3603	11/26/2018 4:08:00 AM	23.9	27.0		
3604	11/26/2018 4:13:00 AM	23.9	27.0		
