VC:7e5b152 BD:Jun 11 2014 SN:LGR-14-0077
                     Time,  Injection No.,      Vial Name,       Vial S/N,       Tray-Pos,      [H2Oa]_ND,   [H2Oa]_ND_sd,            DHr,         DHr_sd,        O18O16r,     O18O16r_sd,        O17O16r,     O17O16r_sd,      Raw_D_del,    Raw_O18_del,    Raw_O17_del,   L1BaselineOS,  L1NarrowBandM,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,           Flag
  11/26/2018 16:14:27.114,              1,             VE,   181126-T1-01,           1-19,    2.72007e+16,    7.12936e+13,    1.43641e-04,    1.08288e-07,    1.99334e-03,    5.66089e-07,    3.78420e-04,    1.02252e-07,   -7.77481e+01,   -5.91238e+00,   -3.89450e+00,    1.86770e+00,    4.78395e+00,   -3.41032e-01,    9.86030e-03,    4.66066e+01,    1.77173e-04,    5.77420e+00,    3.38306e-03,    5.26298e+00,    1.52293e-03,           norm
  11/26/2018 16:16:18.590,              2,             VE,   181126-T1-01,           1-19,    3.04480e+16,    7.62350e+13,    1.44373e-04,    8.58202e-08,    1.99270e-03,    4.52288e-07,    3.78766e-04,    8.63233e-08,   -7.30447e+01,   -6.23460e+00,   -2.98425e+00,    1.86668e+00,    4.49744e+00,   -2.22073e-01,    9.98960e-03,    4.66083e+01,    1.69400e-04,    5.76910e+00,    3.66292e-03,    5.26376e+00,    1.93202e-03,           norm
  11/26/2018 16:18:10.066,              3,             VE,   181126-T1-01,           1-19,    3.08798e+16,    8.18094e+13,    1.44692e-04,    1.09366e-07,    1.99266e-03,    5.12901e-07,    3.78860e-04,    9.03308e-08,   -7.09957e+01,   -6.25378e+00,   -2.73645e+00,    1.86653e+00,    4.51658e+00,   -2.27887e-01,    1.00210e-02,    4.66094e+01,    2.41084e-04,    5.76797e+00,    3.50576e-03,    5.26300e+00,    1.85172e-03,           norm
  11/26/2018 16:20:01.542,              4,             VE,   181126-T1-01,           1-19,    3.06495e+16,    7.63620e+13,    1.44748e-04,    1.09962e-07,    1.99329e-03,    5.12425e-07,    3.78834e-04,    1.24563e-07,   -7.06397e+01,   -5.94108e+00,   -2.80536e+00,    1.86670e+00,    4.26193e+00,   -2.16221e-01,    1.02276e-02,    4.66104e+01,    1.48025e-04,    5.76880e+00,    3.05655e-03,    5.26374e+00,    1.72748e-03,           norm
  11/26/2018 16:21:52.069,              5,             VE,   181126-T1-01,           1-19,    3.09327e+16,    7.87289e+13,    1.44607e-04,    9.97125e-08,    1.99254e-03,    5.57426e-07,    3.78882e-04,    9.84314e-08,   -7.15415e+01,   -6.31360e+00,   -2.67891e+00,    1.86667e+00,    4.44266e+00,   -2.01149e-01,    1.00774e-02,    4.66110e+01,    1.81257e-04,    5.76892e+00,    3.75862e-03,    5.26494e+00,    1.86689e-03,           norm
  11/26/2018 16:23:43.578,              6,             VE,   181126-T1-01,           1-19,    3.06353e+16,    1.65361e+14,    1.44689e-04,    1.29570e-07,    1.99245e-03,    4.43782e-07,    3.78790e-04,    9.11325e-08,   -7.10152e+01,   -6.35922e+00,   -2.92188e+00,    1.86677e+00,    4.48978e+00,   -2.05336e-01,    1.30717e-02,    4.66107e+01,    3.60732e-04,    5.76912e+00,    2.94894e-03,    5.26444e+00,    1.77441e-03,           norm
  11/26/2018 16:25:35.071,              7,             VE,   181126-T1-01,           1-19,    3.08549e+16,    6.90025e+13,    1.44483e-04,    1.19973e-07,    1.99285e-03,    4.42840e-07,    3.78889e-04,    8.91767e-08,   -7.23411e+01,   -6.15986e+00,   -2.66095e+00,    1.86670e+00,    4.30423e+00,   -2.31751e-01,    9.91023e-03,    4.66116e+01,    2.08134e-04,    5.76990e+00,    2.99631e-03,    5.26494e+00,    1.74033e-03,           norm
  11/26/2018 16:27:26.613,              8,             VE,   181126-T1-01,           1-19,    3.07244e+16,    7.00954e+13,    1.44942e-04,    1.10802e-07,    1.99326e-03,    5.91168e-07,    3.78886e-04,    9.83972e-08,   -6.93960e+01,   -5.95516e+00,   -2.66881e+00,    1.86688e+00,    4.43307e+00,   -2.13883e-01,    9.69808e-03,    4.66123e+01,    2.98241e-04,    5.76876e+00,    3.20695e-03,    5.26523e+00,    1.60697e-03,           norm
  11/26/2018 16:29:18.123,              9,          Alpen,   181126-T1-02,           1-20,    3.07399e+16,    7.12425e+13,    1.30460e-04,    1.27522e-07,    1.96768e-03,    5.54646e-07,    3.76481e-04,    8.82852e-08,   -1.62372e+02,   -1.87089e+01,   -8.99958e+00,    1.86694e+00,    4.71333e+00,   -2.13278e-01,    9.70973e-03,    4.66114e+01,    2.91063e-04,    5.76911e+00,    3.53568e-03,    5.26524e+00,    2.12311e-03,           norm
  11/26/2018 16:31:09.615,             10,          Alpen,   181126-T1-02,           1-20,    3.05936e+16,    7.19898e+13,    1.28586e-04,    1.14091e-07,    1.96530e-03,    4.39921e-07,    3.76201e-04,    1.18134e-07,   -1.74411e+02,   -1.99002e+01,   -9.73668e+00,    1.86694e+00,    4.69044e+00,   -2.37163e-01,    9.92352e-03,    4.66108e+01,    2.65783e-04,    5.77086e+00,    2.83538e-03,    5.26519e+00,    1.82893e-03,           norm
  11/26/2018 16:33:00.076,             11,          Alpen,   181126-T1-02,           1-20,    3.07622e+16,    7.21753e+13,    1.27931e-04,    1.06669e-07,    1.96434e-03,    5.62138e-07,    3.76133e-04,    1.11886e-07,   -1.78614e+02,   -2.03753e+01,   -9.91462e+00,    1.86685e+00,    4.59908e+00,   -2.33515e-01,    9.93688e-03,    4.66110e+01,    1.60370e-04,    5.76906e+00,    3.17528e-03,    5.26479e+00,    1.90072e-03,           norm
  11/26/2018 16:34:51.552,             12,          Alpen,   181126-T1-02,           1-20,    3.06559e+16,    7.03606e+13,    1.27596e-04,    8.21835e-08,    1.96398e-03,    4.04635e-07,    3.76076e-04,    8.88109e-08,   -1.80767e+02,   -2.05585e+01,   -1.00651e+01,    1.86698e+00,    4.81886e+00,   -2.36494e-01,    9.64787e-03,    4.66121e+01,    3.03725e-04,    5.76880e+00,    2.79528e-03,    5.26494e+00,    1.67834e-03,           norm
  11/26/2018 16:36:41.996,             13,          Alpen,   181126-T1-02,           1-20,    3.04806e+16,    6.81697e+13,    1.27478e-04,    1.13646e-07,    1.96404e-03,    5.50501e-07,    3.76072e-04,    1.11789e-07,   -1.81525e+02,   -2.05281e+01,   -1.00756e+01,    1.86708e+00,    4.58218e+00,   -2.39970e-01,    9.69777e-03,    4.66120e+01,    2.70458e-04,    5.76977e+00,    2.78779e-03,    5.26668e+00,    1.77140e-03,           norm
  11/26/2018 16:38:33.472,             14,          Alpen,   181126-T1-02,           1-20,    3.04533e+16,    6.83755e+13,    1.27384e-04,    9.92276e-08,    1.96380e-03,    5.41761e-07,    3.76048e-04,    9.89513e-08,   -1.82126e+02,   -2.06470e+01,   -1.01395e+01,    1.86712e+00,    4.66994e+00,   -2.42710e-01,    9.53097e-03,    4.66112e+01,    2.96117e-04,    5.76982e+00,    2.94967e-03,    5.26598e+00,    2.11250e-03,           norm
  11/26/2018 16:40:24.949,             15,          Alpen,   181126-T1-02,           1-20,    3.09815e+16,    7.04460e+13,    1.27114e-04,    1.06532e-07,    1.96311e-03,    5.12987e-07,    3.76030e-04,    1.07249e-07,   -1.83856e+02,   -2.09890e+01,   -1.01866e+01,    1.86682e+00,    4.82781e+00,   -2.22993e-01,    9.98843e-03,    4.66116e+01,    1.69383e-04,    5.76979e+00,    3.41459e-03,    5.26590e+00,    1.85879e-03,           norm
  11/26/2018 16:42:16.442,             16,          Alpen,   181126-T1-02,           1-20,    2.93468e+16,    6.62037e+13,    1.26940e-04,    1.04610e-07,    1.96438e-03,    4.60001e-07,    3.75999e-04,    7.81651e-08,   -1.84976e+02,   -2.03566e+01,   -1.02690e+01,    1.86742e+00,    4.57945e+00,   -2.86598e-01,    9.81521e-03,    4.66108e+01,    1.82305e-04,    5.77224e+00,    2.78547e-03,    5.26562e+00,    1.61680e-03,           norm
  11/26/2018 16:44:06.886,             17,          Alpen,   181126-T1-02,           1-20,    3.11438e+16,    7.53920e+13,    1.27172e-04,    1.04350e-07,    1.96303e-03,    5.27545e-07,    3.76064e-04,    1.08967e-07,   -1.83487e+02,   -2.10289e+01,   -1.00981e+01,    1.86687e+00,    4.47911e+00,   -2.03851e-01,    9.95593e-03,    4.66108e+01,    3.31659e-04,    5.76792e+00,    3.41902e-03,    5.26640e+00,    1.83229e-03,           norm
  11/26/2018 16:45:58.363,             18,          Alpen,   181126-T1-02,           1-20,    2.96681e+16,    6.11676e+13,    1.27157e-04,    1.00778e-07,    1.96432e-03,    6.50049e-07,    3.76008e-04,    1.02435e-07,   -1.83584e+02,   -2.03869e+01,   -1.02459e+01,    1.86734e+00,    4.55980e+00,   -2.66412e-01,    9.61581e-03,    4.66101e+01,    2.60713e-04,    5.77075e+00,    2.03798e-03,    5.26542e+00,    1.74580e-03,           norm
  11/26/2018 16:47:49.856,             19,          Alpen,   181126-T1-02,           1-20,    3.09309e+16,    7.17199e+13,    1.26935e-04,    1.05402e-07,    1.96283e-03,    4.32419e-07,    3.76003e-04,    9.06148e-08,   -1.85009e+02,   -2.11298e+01,   -1.02583e+01,    1.86687e+00,    5.05571e+00,   -2.24138e-01,    9.74927e-03,    4.66098e+01,    3.05180e-04,    5.77031e+00,    4.20517e-03,    5.26615e+00,    1.33422e-03,           norm
  11/26/2018 16:49:41.332,             20,          Alpen,   181126-T1-02,           1-20,    2.90838e+16,    5.95314e+13,    1.26993e-04,    1.00105e-07,    1.96470e-03,    5.80060e-07,    3.75925e-04,    1.10349e-07,   -1.84636e+02,   -2.01987e+01,   -1.04622e+01,    1.86754e+00,    4.36551e+00,   -2.81686e-01,    9.76872e-03,    4.66092e+01,    2.56790e-04,    5.77163e+00,    3.35939e-03,    5.26620e+00,    2.08156e-03,           norm
  11/26/2018 16:51:31.777,             21,          Alpen,   181126-T1-02,           1-20,    3.09597e+16,    7.57537e+13,    1.27389e-04,    1.12149e-07,    1.96345e-03,    5.95790e-07,    3.76092e-04,    1.16441e-07,   -1.82093e+02,   -2.08234e+01,   -1.00238e+01,    1.86688e+00,    4.71002e+00,   -2.19906e-01,    9.81499e-03,    4.66087e+01,    2.15288e-04,    5.76912e+00,    3.88445e-03,    5.26631e+00,    1.94478e-03,           norm
