   496,0
     8,0       0,003737
    10,0       0,019431
    12,0       0,009480
    14,0       0,012165
    16,0       0,000072
    18,0       0,020649
    20,0       0,044742
    22,0       0,028619
    24,0       0,002931
    26,0       0,062084
    28,0       0,030295
    30,0       0,007464
    32,0       0,000940
    34,0       0,005633
    36,0       0,015867
    38,0       0,000476
    40,0       0,003396
    42,0       0,041613
    44,0       0,018966
    46,0       0,033006
    48,0       0,078595
    50,0       0,350500
    52,0       0,253427
    54,0       0,062400
    56,0       0,009548
    58,0       0,013812
    60,0       0,029434
    62,0       0,000483
    64,0       0,018197
    66,0       0,113023
    68,0       0,035958
    70,0       0,019460
    72,0       0,064901
    74,0       0,013130
    76,0       0,104448
    78,0       0,008715
    80,0       0,064511
    82,0       0,015017
    84,0       0,085684
    86,0       0,003015
    88,0       0,001423
    90,0       0,036697
    92,0       0,024272
    94,0       0,083841
    96,0       0,067638
    98,0       0,120874
   100,0       0,003841
   102,0       0,016801
   104,0       0,014831
   106,0       0,028982
   108,0       0,013810
   110,0       0,018006
   112,0       0,012997
   114,0       0,033959
   116,0       0,003492
   118,0       0,041137
   120,0       0,100697
   122,0       0,017777
   124,0       0,024609
   126,0       0,008492
   128,0       0,061183
   130,0       0,012947
   132,0       0,010102
   134,0       0,031001
   136,0       0,011536
   138,0       0,100049
   140,0       0,065189
   142,0       0,036581
   144,0       0,087150
   146,0       0,011168
   148,0       0,051924
   150,0       0,015407
   152,0       0,182686
   154,0       0,135486
   156,0       0,053901
   158,0       0,037110
   160,0       0,077731
   162,0       0,032498
   164,0       0,054325
   166,0       0,003030
   168,0       0,032179
   170,0       0,002898
   172,0       0,056899
   174,0       0,016130
   176,0       0,042202
   178,0       0,022515
   180,0       0,018187
   182,0       0,037914
   184,0       0,058325
   186,0       0,092252
   188,0       0,025631
   190,0       0,016920
   192,0       0,008686
   194,0       0,030448
   196,0       0,083256
   198,0       0,010839
   200,0       0,066034
   202,0       0,025200
   204,0       0,011628
   206,0       0,040969
   208,0       0,019393
   210,0       0,064970
   212,0       0,010215
   214,0       0,106321
   216,0       0,098981
   218,0       0,048520
   220,0       0,076861
   222,0       0,022687
   224,0       0,029913
   226,0       0,082313
   228,0       0,129005
   230,0       0,102506
   232,0       0,146465
   234,0       0,024077
   236,0       0,089221
   238,0       0,064223
   240,0       0,044046
   242,0       0,090305
   244,0       0,041634
   246,0       0,150248
   248,0       0,064905
   250,0       0,278345
   252,0       0,065775
   254,0       0,065000
   256,0       0,065511
   258,0       0,054023
   260,0       0,070057
   262,0       0,019843
   264,0       0,238899
   266,0       0,050038
   268,0       0,040173
   270,0       0,003875
   272,0       0,043363
   274,0       0,280414
   276,0       0,073478
   278,0       0,089697
   280,0       0,129528
   282,0       0,080345
   284,0       0,102835
   286,0       0,151990
   288,0       0,161552
   290,0       0,188104
   292,0       0,060761
   294,0       0,157365
   296,0       0,066188
   298,0       0,094801
   300,0       0,136456
   302,0       0,066563
   304,0       0,197429
   306,0       0,098734
   308,0       0,094593
   310,0       0,271203
   312,0       0,129594
   314,0       0,190060
   316,0       0,090239
   318,0       0,395052
   320,0       0,270174
   322,0       0,324743
   324,0       0,445369
   326,0       0,690103
   328,0       0,986118
   330,0       1,018133
   332,0       0,829035
   334,0       1,162352
   336,0       0,346345
   338,0       0,294325
   340,0       0,109291
   342,0       0,365177
   344,0       0,130428
   346,0       0,092030
   348,0       0,143312
   350,0       0,312868
   352,0       0,313984
   354,0       0,723972
   356,0       0,677626
   358,0       1,556927
   360,0       0,912774
   362,0       1,513463
   364,0       1,078741
   366,0       1,400260
   368,0       2,595537
   370,0       5,110299
   372,0       7,315234
   374,0      12,317403
   376,0      13,998746
   378,0      11,765501
   380,0      10,816992
   382,0      10,132336
   384,0       6,286695
   386,0       4,153838
   388,0       2,224534
   390,0       1,734624
   392,0       1,260867
   394,0       0,738461
   396,0       0,384043
   398,0       0,164570
   400,0       0,133178
   402,0       0,302657
   404,0       0,401182
   406,0       1,037185
   408,0       1,985570
   410,0       2,978885
   412,0       2,728535
   414,0       2,302946
   416,0       1,722230
   418,0       1,672678
   420,0       1,281398
   422,0       0,755312
