   496,0
     8,0       0,008300
    10,0       0,005892
    12,0       0,049837
    14,0       0,021776
    16,0       0,059274
    18,0       0,089702
    20,0       0,088995
    22,0       0,014891
    24,0       0,006031
    26,0       0,007626
    28,0       0,142554
    30,0       0,001472
    32,0       0,006788
    34,0       0,005031
    36,0       0,009699
    38,0       0,033372
    40,0       0,002711
    42,0       0,009741
    44,0       0,037199
    46,0       0,018920
    48,0       0,052002
    50,0       0,466236
    52,0       0,321772
    54,0       0,006469
    56,0       0,003342
    58,0       0,022761
    60,0       0,045175
    62,0       0,057164
    64,0       0,012813
    66,0       0,004535
    68,0       0,052395
    70,0       0,014393
    72,0       0,000235
    74,0       0,012640
    76,0       0,006289
    78,0       0,073726
    80,0       0,041159
    82,0       0,006281
    84,0       0,001011
    86,0       0,005881
    88,0       0,033883
    90,0       0,014286
    92,0       0,062373
    94,0       0,038271
    96,0       0,044478
    98,0       0,028869
   100,0       0,000784
   102,0       0,019198
   104,0       0,009081
   106,0       0,026633
   108,0       0,023963
   110,0       0,004066
   112,0       0,027757
   114,0       0,041122
   116,0       0,000002
   118,0       0,094913
   120,0       0,031071
   122,0       0,065437
   124,0       0,077942
   126,0       0,028657
   128,0       0,066142
   130,0       0,076090
   132,0       0,039538
   134,0       0,021525
   136,0       0,003622
   138,0       0,089290
   140,0       0,027071
   142,0       0,149202
   144,0       0,156294
   146,0       0,074237
   148,0       0,157075
   150,0       0,211726
   152,0       0,282081
   154,0       0,136970
   156,0       0,083920
   158,0       0,115235
   160,0       0,268655
   162,0       0,206037
   164,0       0,170099
   166,0       0,091340
   168,0       0,283133
   170,0       0,104341
   172,0       0,117803
   174,0       0,264548
   176,0       0,421493
   178,0       0,256930
   180,0       0,342900
   182,0       0,440824
   184,0       0,989624
   186,0       1,520014
   188,0       3,007488
   190,0       5,598018
   192,0      10,572025
   194,0       8,835916
   196,0      10,657975
   198,0       4,906215
   200,0       3,184466
   202,0       2,473615
   204,0       1,498716
   206,0       1,231165
   208,0       0,737572
   210,0       0,374138
   212,0       0,572790
   214,0       0,563617
   216,0       0,228957
   218,0       0,209158
   220,0       0,536659
   222,0       0,221660
   224,0       0,103339
   226,0       0,102613
   228,0       0,051874
   230,0       0,114781
   232,0       0,072955
   234,0       0,189605
   236,0       0,044368
   238,0       0,080325
   240,0       0,101189
   242,0       0,024745
   244,0       0,010469
   246,0       0,034498
   248,0       0,000388
   250,0       0,014683
   252,0       0,038102
   254,0       0,010438
   256,0       0,151376
   258,0       0,014917
   260,0       0,054222
   262,0       0,020934
   264,0       0,055637
   266,0       0,120911
   268,0       0,021274
   270,0       0,141994
   272,0       0,226845
   274,0       0,149001
   276,0       0,400441
   278,0       0,218809
   280,0       0,240389
   282,0       0,713124
   284,0       0,862366
   286,0       1,749885
   288,0       3,230630
   290,0       6,502603
   292,0       8,662444
   294,0      10,570743
   296,0       7,141368
   298,0       5,155349
   300,0       3,474493
   302,0       2,493289
   304,0       1,614240
   306,0       1,210301
   308,0       1,053440
   310,0       0,859795
   312,0       1,047924
   314,0       0,731233
   316,0       0,476856
   318,0       0,391373
   320,0       0,190351
   322,0       0,219197
   324,0       0,309455
   326,0       0,430964
   328,0       0,314306
   330,0       0,149097
   332,0       0,181215
   334,0       0,194534
   336,0       0,057476
   338,0       0,026338
   340,0       0,079949
   342,0       0,022202
   344,0       0,085008
   346,0       0,054132
   348,0       0,152735
   350,0       0,017474
   352,0       0,159880
   354,0       0,067708
   356,0       0,149774
   358,0       0,041358
   360,0       0,023687
   362,0       0,085746
   364,0       0,084622
   366,0       0,082928
   368,0       0,045653
   370,0       0,090702
   372,0       0,062546
   374,0       0,036452
   376,0       0,121744
   378,0       0,133783
   380,0       0,104754
   382,0       0,039064
   384,0       0,029826
   386,0       0,061422
   388,0       0,163846
   390,0       0,009150
   392,0       0,123234
   394,0       0,042707
   396,0       0,009541
   398,0       0,157864
   400,0       0,003391
   402,0       0,057386
   404,0       0,060242
   406,0       0,071960
   408,0       0,097262
   410,0       0,031901
   412,0       0,037461
   414,0       0,048598
   416,0       0,022342
   418,0       0,072271
   420,0       0,053709
   422,0       0,113717
   424,0       0,000162
   426,0       0,012721
   428,0       0,006961
   430,0       0,006522
   432,0       0,005068
   434,0       0,013490
   436,0       0,000891
   438,0       0,053858
   440,0       0,040098
   442,0       0,118652
   444,0       0,014735
   446,0       0,036707
   448,0       0,013466
   450,0       0,014848
   452,0       0,042771
   454,0       0,039548
   456,0       0,011397
   458,0       0,130708
   460,0       0,051939
   462,0       0,058560
   464,0       0,100410
   466,0       0,008975
   468,0       0,013900
   470,0       0,056068
   472,0       0,119511
   474,0       0,027275
   476,0       0,053996
   478,0       0,021479
   480,0       0,020427
   482,0       0,010092
   484,0       0,034023
   486,0       0,105880
   488,0       0,000493
   490,0       0,058572
   492,0       0,026455
   494,0       0,001689
   496,0       0,000327
   498,0       0,082828
   500,0       0,083291
   502,0       0,076548
   504,0       0,016415
   506,0       0,018558
   508,0       0,033350
   510,0       0,066935
   512,0       0,011881
   514,0       0,036960
   516,0       0,023670
   518,0       0,059058
   520,0       0,010713
   522,0       0,048062
   524,0       0,031503
   526,0       0,015621
   528,0       0,004661
   530,0       0,001735
   532,0       0,004896
   534,0       0,009212
   536,0       0,047455
   538,0       0,007206
   540,0       0,042092
   542,0       0,008339
   544,0       0,079854
   546,0       0,030479
   548,0       0,032313
   550,0       0,035656
   552,0       0,019426
   554,0       0,072812
   556,0       0,025414
   558,0       0,003401
   560,0       0,021529
   562,0       0,017480
   564,0       0,056209
   566,0       0,031887
   568,0       0,089432
   570,0       0,007268
   572,0       0,008665
   574,0       0,007977
   576,0       0,069979
   578,0       0,039862
   580,0       0,015459
   582,0       0,002605
   584,0       0,008801
   586,0       0,007877
   588,0       0,020558
   590,0       0,000980
   592,0       0,029179
   594,0       0,037522
   596,0       0,022268
   598,0       0,017942
   600,0       0,033167
   602,0       0,013897
   604,0       0,019925
   606,0       0,030533
   608,0       0,069539
   610,0       0,095962
   612,0       0,036219
   614,0       0,012265
   616,0       0,013696
   618,0       0,035792
   620,0       0,009705
   622,0       0,102977
   624,0       0,064074
   626,0       0,051311
   628,0       0,091686
   630,0       0,019799
   632,0       0,054165
   634,0       0,012944
   636,0       0,006033
   638,0       0,009714
   640,0       0,012885
   642,0       0,102690
   644,0       0,014975
   646,0       0,049549
   648,0       0,105538
   650,0       0,101527
   652,0       0,007687
   654,0       0,023702
   656,0       0,069665
   658,0       0,023595
   660,0       0,010585
   662,0       0,022337
   664,0       0,080892
   666,0       0,012052
   668,0       0,020043
   670,0       0,007615
   672,0       0,072016
   674,0       0,087280
   676,0       0,033517
   678,0       0,000973
   680,0       0,037777
   682,0       0,008485
   684,0       0,030893
   686,0       0,007876
   688,0       0,001730
   690,0       0,000309
   692,0       0,028845
   694,0       0,037281
   696,0       0,015456
   698,0       0,036650
   700,0       0,030437
   702,0       0,012508
   704,0       0,021014
   706,0       0,007177
   708,0       0,002596
   710,0       0,032614
   712,0       0,000451
   714,0       0,005745
   716,0       0,033107
   718,0       0,005011
   720,0       0,055596
   722,0       0,039351
   724,0       0,020004
   726,0       0,005045
   728,0       0,005120
   730,0       0,071573
   732,0       0,015266
   734,0       0,044272
   736,0       0,001450
   738,0       0,020304
   740,0       0,024323
   742,0       0,021201
   744,0       0,012787
   746,0       0,015990
   748,0       0,022900
   750,0       0,006616
   752,0       0,167282
   754,0       0,007968
   756,0       0,027598
   758,0       0,108787
   760,0       0,001491
   762,0       0,026319
   764,0       0,002633
   766,0       0,017163
   768,0       0,004429
   770,0       0,027121
   772,0       0,016275
   774,0       0,025026
   776,0       0,024820
   778,0       0,031760
   780,0       0,019652
   782,0       0,000514
   784,0       0,011843
   786,0       0,035321
   788,0       0,076136
   790,0       0,018088
   792,0       0,035897
   794,0       0,001822
   796,0       0,051460
   798,0       0,024877
   800,0       0,008421
   802,0       0,098559
   804,0       0,021129
   806,0       0,053510
   808,0       0,013448
   810,0       0,022415
   812,0       0,002363
   814,0       0,008535
   816,0       0,001348
   818,0       0,014349
   820,0       0,052510
   822,0       0,044182
   824,0       0,006858
   826,0       0,058450
   828,0       0,017434
   830,0       0,014394
   832,0       0,009502
   834,0       0,019925
   836,0       0,039934
   838,0       0,019644
   840,0       0,021371
   842,0       0,004172
   844,0       0,072864
   846,0       0,072041
   848,0       0,046200
   850,0       0,012138
   852,0       0,003661
   854,0       0,010505
   856,0       0,066607
   858,0       0,032605
   860,0       0,066222
   862,0       0,044043
   864,0       0,030590
   866,0       0,063788
   868,0       0,024419
   870,0       0,024446
   872,0       0,032944
   874,0       0,022168
   876,0       0,028685
   878,0       0,041293
   880,0       0,006459
   882,0       0,006801
   884,0       0,001294
   886,0       0,093543
   888,0       0,017648
   890,0       0,005222
   892,0       0,031843
   894,0       0,006330
   896,0       0,024936
   898,0       0,039342
   900,0       0,020790
   902,0       0,011523
   904,0       0,010788
   906,0       0,043338
   908,0       0,002900
   910,0       0,017898
   912,0       0,022519
   914,0       0,021054
   916,0       0,126452
