   496,0
     8,0       0,002762
    10,0       0,017336
    12,0       0,038076
    14,0       0,026932
    16,0       0,103190
    18,0       0,006036
    20,0       0,027163
    22,0       0,076623
    24,0       0,007659
    26,0       0,023928
    28,0       0,004731
    30,0       0,067899
    32,0       0,034159
    34,0       0,033165
    36,0       0,044463
    38,0       0,001389
    40,0       0,004177
    42,0       0,054596
    44,0       0,028403
    46,0       0,047589
    48,0       0,194127
    50,0       0,161780
    52,0       0,470082
    54,0       0,018904
    56,0       0,075172
    58,0       0,001114
    60,0       0,024132
    62,0       0,004183
    64,0       0,018581
    66,0       0,008119
    68,0       0,019658
    70,0       0,047209
    72,0       0,005611
    74,0       0,048589
    76,0       0,012413
    78,0       0,033810
    80,0       0,033978
    82,0       0,017516
    84,0       0,062508
    86,0       0,009038
    88,0       0,021730
    90,0       0,011877
    92,0       0,010608
    94,0       0,066331
    96,0       0,003838
    98,0       0,004211
   100,0       0,008869
   102,0       0,011684
   104,0       0,062892
   106,0       0,009214
   108,0       0,028003
   110,0       0,038844
   112,0       0,065077
   114,0       0,036767
   116,0       0,004627
   118,0       0,077211
   120,0       0,017015
   122,0       0,001485
   124,0       0,111157
   126,0       0,001131
   128,0       0,062749
   130,0       0,016326
   132,0       0,047460
   134,0       0,001543
   136,0       0,012083
   138,0       0,021482
   140,0       0,020098
   142,0       0,121207
   144,0       0,048496
   146,0       0,036891
   148,0       0,001979
   150,0       0,027995
   152,0       0,198983
   154,0       0,012008
   156,0       0,006260
   158,0       0,006684
   160,0       0,004929
   162,0       0,005892
   164,0       0,033112
   166,0       0,020306
   168,0       0,053648
   170,0       0,006700
   172,0       0,000685
   174,0       0,003930
   176,0       0,004753
   178,0       0,023449
   180,0       0,037927
   182,0       0,016950
   184,0       0,139557
   186,0       0,031579
   188,0       0,011387
   190,0       0,004167
   192,0       0,078710
   194,0       0,004846
   196,0       0,009399
   198,0       0,001659
   200,0       0,012524
   202,0       0,012035
   204,0       0,087706
   206,0       0,006842
   208,0       0,075983
   210,0       0,053894
   212,0       0,019469
   214,0       0,015788
   216,0       0,016628
   218,0       0,002348
   220,0       0,016599
   222,0       0,083524
   224,0       0,033529
   226,0       0,109440
   228,0       0,014447
   230,0       0,144753
   232,0       0,012575
   234,0       0,008741
   236,0       0,026144
   238,0       0,025630
   240,0       0,048715
   242,0       0,056540
   244,0       0,054170
   246,0       0,006947
   248,0       0,071181
   250,0       0,022938
   252,0       0,113717
   254,0       0,154817
   256,0       0,083086
   258,0       0,000987
   260,0       0,068171
   262,0       0,076085
   264,0       0,030323
   266,0       0,097700
   268,0       0,005455
   270,0       0,279917
   272,0       0,135747
   274,0       0,034511
   276,0       0,285434
   278,0       0,127788
   280,0       0,052223
   282,0       0,009024
   284,0       0,032531
   286,0       0,113590
   288,0       0,099109
   290,0       0,120725
   292,0       0,220812
   294,0       0,050537
   296,0       0,155542
   298,0       0,101922
   300,0       0,103157
   302,0       0,127926
   304,0       0,060590
   306,0       0,197693
   308,0       0,253685
   310,0       0,068697
   312,0       0,059851
   314,0       0,356189
   316,0       0,084738
   318,0       0,048120
   320,0       0,254656
   322,0       0,408591
   324,0       0,141001
   326,0       0,173979
   328,0       0,231644
   330,0       0,305554
   332,0       0,165025
   334,0       0,518426
